,,Coverage,Quality,VoLTE,,,,,Data,,,,,,,
VIP_001,9:10,-112,-10,1.56,3.15,5.81,11.3,128371,1.21,3.16,8.1,617683,14458,3787,4771,1169
VIP_002,9:10,-86,-9,3.32,3.39,9.64,18.8,219834,5.13,5.44,9.69,330342,47928,15091,3889,2330
VIP_003,9:10,-118,-16,4.88,2.64,11.13,4.3,809791,2.38,4.55,2.64,866211,3294,27881,4673,2658
VIP_004,9:10,-81,-14,1.07,0.16,4.55,7.6,577083,0.49,3.96,9.39,613097,10313,47280,4259,431
VIP_005,9:10,-113,-13,1.45,3.52,2.94,17.6,370808,4.4,5.02,0.13,256235,39567,6299,4343,1010
VIP_006,9:10,-68,-11,2.32,2.43,1.6,14.1,414656,1.62,2.37,1.2,390456,18958,23259,2908,2739
VIP_007,9:10,-67,-10,0.58,1.71,1.49,16.6,709168,3.23,3.37,9,355957,18353,30824,499,676
VIP_008,9:10,-91,-15,2.08,5.19,3.22,14.1,446465,4.39,2.29,10.42,456972,31178,46052,4598,182
VIP_009,9:10,-94,-12,3.74,2.68,5.67,1,906161,2.54,5.43,6.48,856633,28119,17137,4384,2365
VIP_010,9:10,-106,-12,1.79,0.16,9.44,17.8,604007,2.09,0.07,10.24,612677,32088,6153,776,1398
VIP_011,9:10,-78,-7,1.95,2.61,11.82,1.5,109887,3.42,4.44,3.56,318163,9659,39140,2619,1078
VIP_012,9:10,-86,-16,2.76,3.53,7.86,9.1,172316,1.53,1.61,2.28,432482,40820,28490,2391,1427
VIP_013,9:10,-66,-13,1.66,2.54,6.94,14.3,161812,4.43,2.42,0.67,481565,14892,8350,1395,1211
VIP_014,9:10,-69,-13,3.9,1.45,2.76,15.2,196497,2.14,5.11,2.49,630759,46229,7717,4913,3
VIP_015,9:10,-96,-15,2.91,4.92,8.58,1.5,783476,1.44,5.41,6.41,495716,38301,29777,1724,584
VIP_016,9:10,-100,-15,2.15,0.85,2.44,3.9,752062,4.64,0.14,5.8,296180,36448,12628,3315,2368
VIP_017,9:10,-66,-12,4.23,3.87,7.56,5.8,455215,1.02,1.21,11.69,933598,42644,42433,4400,2659
VIP_018,9:10,-119,-11,4.23,2.33,3.31,6.9,644666,1.61,0.86,10.74,654164,36872,46178,1146,1005
VIP_019,9:10,-93,-11,3.77,0.56,2.01,16,232284,3.37,0.87,11.39,541267,4713,48948,1007,1563
VIP_020,9:10,-70,-16,3.56,0.2,5.15,11,186689,2.51,1.78,2.22,791496,4237,38171,4604,12
VIP_021,9:10,-116,-11,0.66,3.05,7.8,11.9,817269,2.97,2.78,7.94,550417,10484,37022,3376,611
VIP_022,9:10,-62,-11,4.09,4.01,7.2,2.7,965593,3.48,5.16,4.81,536023,43526,43008,3549,1271
VIP_023,9:10,-82,-14,4.41,5.01,7.25,14.4,158692,4.25,2.71,7.75,837355,42326,3341,2755,2644
VIP_024,9:10,-61,-16,0.99,0.86,1.99,19.3,372974,1.28,4.82,1.85,401492,9078,38715,3389,122
VIP_025,9:10,-119,-14,0.77,2.41,6.32,19.8,766547,1.79,2.19,11.43,679600,41237,17196,255,1101
VIP_026,9:10,-83,-16,1.34,4.51,4.17,9.2,932547,1.43,1.92,7.68,598145,21420,41644,4604,2739
VIP_027,9:10,-119,-10,1.63,4.38,5.54,14,780785,3.29,3.16,3.68,832286,14234,42805,3869,179
VIP_028,9:10,-95,-14,4.31,0.82,0.21,19.8,392105,1.37,1.69,9.13,344061,2097,24374,1449,1249
VIP_029,9:10,-91,-9,1.25,3.59,10.99,10.3,824189,0.53,4.92,10.98,679872,12273,3294,4106,2395
VIP_030,9:10,-115,-16,0.2,1.9,11.22,2.1,891631,1.51,3.9,10.53,389682,3995,37778,3893,2699
VIP_031,9:10,-92,-15,1.75,1.7,3.57,9.1,681584,0.27,4.49,5.63,101991,48390,40568,3815,2665
VIP_032,9:10,-66,-15,2.26,4.61,6.79,2.3,674342,4.51,5.22,7.38,737922,36422,35381,4102,2170
VIP_033,9:10,-86,-6,4.27,5.36,6.92,1.8,640764,4.34,5.22,4.76,425230,17135,45857,3714,185
VIP_034,9:10,-94,-10,5.34,1.31,3.1,9.1,101856,1,1.2,2.12,683604,35992,39614,3575,2644
VIP_035,9:10,-93,-10,0.41,3.98,11.52,19.4,661540,5.22,3.2,0.27,780980,27003,4709,391,819
VIP_036,9:10,-109,-14,3.92,5.18,7.88,15.9,736201,1.67,4.37,7.06,441037,43316,37905,2683,1754
VIP_037,9:10,-76,-16,3.7,4.6,3.09,17.2,519191,5.5,2.43,0.36,800283,33260,22948,138,1616
VIP_038,9:10,-70,-16,3.14,0.41,4.62,4.4,780193,3.1,3.13,5.23,338956,16895,34038,198,2624
VIP_039,9:10,-111,-10,4.88,4.57,1.94,14.5,133775,4.52,2.2,1.11,967564,3093,19758,4495,2135
VIP_040,9:10,-69,-9,3.17,1.4,4.45,9.6,485908,0.86,5.28,5.24,311566,20562,3493,4637,1256
VIP_041,9:10,-102,-11,2.39,4.92,2.22,2.9,808456,4.94,5.09,8.91,418529,15081,23158,54,1856
VIP_042,9:10,-94,-13,1.43,2.19,9.66,14.5,229938,2.53,3.46,1.27,450921,42373,35775,2609,189
VIP_043,9:10,-109,-8,1,2.49,0.13,6.2,154359,4.05,1.94,1.21,929102,34173,34740,164,2214
VIP_044,9:10,-65,-10,3.64,0.07,7.05,18.2,973371,5.12,3.71,5.73,663668,17277,22515,2041,1996
VIP_045,9:10,-90,-16,2.57,0.69,7.89,17,414988,5.31,3.75,7.16,617352,14123,26990,3043,1746
VIP_046,9:10,-71,-7,4.6,2.29,5.79,15.6,391857,2.44,4.6,2.06,388335,33210,25948,3383,1520
VIP_047,9:10,-60,-16,5.39,3.45,7.38,2.2,692734,1.06,4.33,4.68,142073,16308,17142,4101,1730
VIP_048,9:10,-95,-8,4.63,1.38,7.81,17.4,500516,0.62,3.77,2.76,306906,42636,43093,3801,2016
VIP_049,9:10,-88,-7,3.69,5.26,6.31,6.4,458035,3.11,0.09,10.17,377585,37409,22312,2116,600
VIP_050,9:10,-92,-15,5.14,0.81,4.67,4.8,388244,0.27,2.68,8.16,172456,9611,19380,901,128
VIP_051,9:10,-70,-13,0.71,1.32,1.01,8.5,430899,2.44,4.23,1.68,339167,28685,22517,561,2993
VIP_052,9:10,-83,-16,5.17,4.21,2.17,15.1,837451,2.96,2.33,7.96,331866,5107,29662,722,587
VIP_053,9:10,-91,-8,2.31,5.42,1.38,7.3,224121,4.34,4.92,6.85,845013,3063,43727,3698,2358
VIP_054,9:10,-94,-14,0.56,5.45,2.8,2.3,124686,3.49,3.63,11.03,215644,8901,39958,1322,712
VIP_055,9:10,-85,-7,1.85,3.58,4.97,17,236228,0.44,3.8,4.6,608559,37601,36115,4598,398
VIP_056,9:10,-63,-9,4.28,1.23,9.88,12.8,228436,4.53,2.04,7.45,392004,30026,49659,4407,620
VIP_057,9:10,-90,-8,3.31,5.05,0.98,15,841630,4.67,0.6,10.5,642037,22026,6844,2125,2963
VIP_058,9:10,-105,-11,5.04,4,0.82,2.7,750541,4.4,4.42,9.93,153091,31735,18218,3994,2228
VIP_059,9:10,-107,-11,0.88,1.46,10,14.4,929395,2.62,2.14,11.22,606720,22111,21780,2104,749
VIP_060,9:10,-67,-13,4.68,4.36,7.52,12.2,504612,5.19,3.27,9.88,188954,5812,5449,452,1977
VIP_061,9:10,-82,-8,1.71,1.19,11.18,1,641561,1.82,4.54,6.32,269090,9121,47544,3155,1612
VIP_062,9:10,-109,-13,1.01,1.74,1.3,16.7,306642,4.3,5.34,7.51,995899,28504,3735,4679,1333
VIP_063,9:10,-81,-9,2.6,3.85,1.88,8.2,405170,0.4,0.41,6.29,996348,32050,20560,1227,1134
VIP_064,9:10,-117,-12,0.71,1.79,2.31,11.3,897004,1.98,3.09,11.76,874218,17029,11965,2218,2293
VIP_065,9:10,-61,-12,5.15,3.61,8.12,9.9,996475,0.68,5.25,7.26,206318,18595,44581,2763,338
VIP_066,9:10,-118,-8,0.31,2.34,6.97,5.4,847779,2.31,3.09,11.98,222882,5071,5598,1783,98
VIP_067,9:10,-67,-8,3.08,2.06,3.62,13.4,129329,4.47,2.59,11.04,372692,8634,36191,708,1685
VIP_068,9:10,-60,-16,1.43,1.72,3.87,14.1,281437,1.87,5.15,7.08,926808,38733,30983,3881,1784
VIP_069,9:10,-103,-10,1.53,1.18,3.05,9.3,213685,4.24,1.93,4.5,609152,16144,21201,1395,2299
VIP_070,9:10,-114,-6,2.97,0.12,9.98,5.5,199901,5.05,3.62,6.66,488344,43207,7630,4505,1515
VIP_071,9:10,-92,-7,4.19,2.07,3.69,5.6,742422,2.69,2.38,2.81,389348,26424,20194,3240,1
VIP_072,9:10,-94,-9,1.98,2.09,0.06,11.7,691255,0.36,5.03,1.23,743385,27756,27491,2658,804
VIP_073,9:10,-109,-7,3.52,2.43,3.91,6.7,221417,0.56,5.3,5.16,414427,27423,47170,3864,226
VIP_074,9:10,-106,-6,1.33,1.1,2.35,19.9,894090,2.74,0.2,8.14,827137,35267,33891,3970,2760
VIP_075,9:10,-98,-14,4.76,2.23,3.85,14.8,437046,3.28,0.75,4.63,686946,5885,30966,3974,2518
VIP_076,9:10,-97,-16,4.56,0.77,11.48,19.9,487648,3.01,0.48,2.77,550415,16405,42801,3005,1355
VIP_077,9:10,-71,-6,0.99,3.48,8.34,11.1,161795,2.04,3.61,10.13,707219,13152,36332,3614,1982
VIP_078,9:10,-85,-8,3.26,1.02,2.25,9,702244,2.82,4.81,2.67,282151,19635,3992,1614,2552
VIP_079,9:10,-84,-10,1.35,0.14,6.13,7.5,469963,3.64,1.62,0.66,919760,39212,41881,3130,1176
VIP_080,9:10,-82,-16,5.34,1.42,3.2,5.1,896533,4.71,3.94,10.57,138176,48053,20754,1330,1760
VIP_081,9:10,-93,-16,1.36,5.27,0.79,16.8,429273,2.05,3.45,9.77,111682,45396,37076,3871,730
VIP_082,9:10,-115,-11,4.36,1.46,8,3.6,794172,2.55,5.33,3.02,551209,6867,8675,4183,698
VIP_083,9:10,-75,-8,3.59,3.97,1.63,19.2,457362,0.37,1.71,10.55,209383,27697,17850,437,235
VIP_084,9:10,-111,-12,3.42,0.96,7.88,18.5,313480,5.1,3.09,1.1,396659,1050,5172,2214,2977
VIP_085,9:10,-81,-8,2.02,4.83,2.51,18.2,926446,2.67,1.83,6.99,410520,33717,21377,4607,1983
VIP_086,9:10,-94,-11,4.65,0.87,11.45,13.6,880571,4.5,1.75,3.19,675608,47828,11082,4526,1821
VIP_087,9:10,-71,-7,3.69,2.15,8.1,13.6,435843,2.92,2.06,8.87,918468,27332,47852,4249,2156
VIP_088,9:10,-116,-12,3.86,2.7,8.91,4.8,305252,5.47,0.39,9.47,119739,27829,23051,2604,2613
VIP_089,9:10,-82,-13,5.26,1,4.57,4.5,950303,2.98,3.01,8.58,828254,10863,17843,4637,2473
VIP_090,9:10,-78,-9,2.33,0.92,9.93,4.4,296153,0.66,4.72,2.61,487164,25113,41689,307,1305
VIP_091,9:10,-75,-15,3.77,1.79,11.68,5.8,231918,4.06,3.29,3.73,189893,43890,18612,4933,2290
VIP_092,9:10,-114,-6,1.82,4.67,0.96,13.2,978108,0.13,1.93,6.4,711040,22857,7172,2290,2306
VIP_093,9:10,-64,-7,1.51,1.37,4.47,18.4,808680,1.81,3.05,3.42,314912,38795,6176,3147,1258
VIP_094,9:10,-84,-9,1.29,1.18,5.35,17.8,664961,1.38,2.9,5.15,969653,31454,11467,1791,2246
VIP_095,9:10,-102,-12,3.42,5.47,6.98,15.5,500574,5.14,3.91,5.49,111547,41069,29092,2901,349
VIP_096,9:10,-60,-9,2.64,0.14,6.36,6.9,237059,4.05,0.12,2.19,944066,39213,20095,299,1324
VIP_097,9:10,-87,-8,3.35,4.33,3.08,9.9,258439,1.72,4.04,0.52,611785,47705,30818,3979,2110
VIP_098,9:10,-77,-14,0.41,1.02,4.2,13,869771,1.68,3.28,10.22,994447,2874,28165,2616,435
VIP_099,9:10,-109,-13,3.93,1.14,10.28,18.1,977075,1.11,2,1.9,690642,21299,31608,3952,2746
VIP_100,9:10,-117,-8,1.12,4.65,10.22,16.5,722596,0.57,2.97,11.15,299030,2898,15073,3160,500
VIP_101,9:10,-75,-14,3.48,5.41,9.65,7.2,882114,4.74,1.12,8.17,135613,23064,34115,3569,997
VIP_102,9:10,-102,-14,1.76,1.55,1.15,18.7,492590,3.33,3.79,11.83,181436,44535,6723,3621,1796
VIP_103,9:10,-63,-7,4.55,2.09,6.77,8.2,480057,4.22,4.5,3.14,497981,34932,29239,4292,599
VIP_104,9:10,-69,-9,2.8,3.9,9.08,9.7,235805,5.21,4.57,3.85,870240,16666,43291,3278,114
VIP_105,9:10,-92,-10,3.74,5.09,0.73,17.3,241556,0.97,3.21,3.03,421818,21379,26913,3944,2815
VIP_106,9:10,-96,-13,3.87,0.77,11.67,10.3,281937,0.84,4.08,2.86,846990,30190,11073,3104,2734
VIP_107,9:10,-89,-11,0.63,1.53,3.6,6.8,825124,2.58,3.6,10.59,578876,28310,32239,4218,1137
VIP_108,9:10,-120,-12,5.42,1.84,8.12,11.1,575152,0.66,0.09,5.9,405484,33623,5809,3204,2262
VIP_109,9:10,-111,-12,3.15,0.09,8.03,4.5,708821,1.51,2.65,4.28,438764,30465,12089,550,2969
VIP_110,9:10,-102,-16,0.75,2.35,2.37,1.6,229973,2.42,2.73,5.85,763392,49322,5991,1032,1645
VIP_111,9:10,-117,-10,4.44,3.59,6.61,9.3,657927,5.27,1.4,9.53,502593,36191,12015,4994,1562
VIP_112,9:10,-84,-16,5.36,0.28,8.79,19.6,944579,2,4.14,9.71,323565,37003,10673,3398,1318
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
VIP_001,9:15,-75,-11,5.06,0.85,10.12,2.4,895110,5.39,0.6,3.93,258793,24363,1895,780,2323
VIP_002,9:15,-72,-6,1.91,0.15,2.31,11.3,307486,0.13,5.19,6.1,849240,38589,4833,4450,2158
VIP_003,9:15,-100,-16,4.16,2.23,11.71,4.7,168854,1.21,2.41,5.07,867737,2281,22152,2804,1258
VIP_004,9:15,-91,-6,4.96,4.29,6.76,10.1,603361,1.16,0.7,5.17,708177,2665,23613,3414,1560
VIP_005,9:15,-79,-8,4,4.53,10.28,1.5,475431,2.74,5.02,4.14,108682,32725,37489,2547,1822
VIP_006,9:15,-115,-7,1.57,2.99,7.3,15.4,423635,5.1,3.22,3.08,856855,6043,35319,327,406
VIP_007,9:15,-62,-8,3.55,0.29,7.38,4.8,117217,2.64,0.14,1.05,832712,13895,29221,3629,1364
VIP_008,9:15,-116,-7,2.58,0.66,3.99,13.3,934916,4.14,3.86,10.89,527869,42255,33037,412,2691
VIP_009,9:15,-115,-11,0.05,0.85,5.91,5.9,168998,4.94,0.36,7.8,483081,13688,21982,4212,944
VIP_010,9:15,-110,-11,0.27,4.14,0.54,11.1,860753,4.37,3.02,5.34,402301,43322,41974,1535,1001
VIP_011,9:15,-63,-8,3.18,0.17,8.22,6.7,844330,5.25,3.17,7.95,436900,23034,29935,1817,1578
VIP_012,9:15,-114,-9,4.59,4.59,1.51,19.4,519870,2.31,1.04,8.79,546542,32738,47819,1945,2579
VIP_013,9:15,-109,-14,0.77,3.5,6.51,12.9,932087,3.89,0.35,4.02,556686,25092,8622,3391,876
VIP_014,9:15,-105,-14,4.68,5.07,9.88,3.5,590793,2.49,1.03,10.12,725374,1298,12447,1976,1846
VIP_015,9:15,-80,-6,0.77,5.18,0.07,13.8,866719,2.67,5.1,3.85,249435,10669,21646,3255,2121
VIP_016,9:15,-101,-9,2.56,1.85,6.63,18.8,607595,4.2,2.04,8.64,332775,12549,32839,2255,1897
VIP_017,9:15,-73,-8,2.85,2.4,6.13,7.8,411525,3.61,5.31,0.43,706236,44785,33229,2080,2329
VIP_018,9:15,-85,-8,2.18,3.94,4.22,14.3,112356,1.55,3.68,10.82,496518,12340,23932,1659,2951
VIP_019,9:15,-69,-6,0.75,0.82,4.21,6.2,430564,1.39,1.67,5.31,460180,11428,23443,534,297
VIP_020,9:15,-89,-7,4.71,4.85,0.93,18,877669,4.31,0.41,5.35,984022,36431,13420,4779,910
VIP_021,9:15,-93,-6,3.38,4.85,0.3,0.8,642128,1.79,1.43,1,349084,41896,1078,1250,1745
VIP_022,9:15,-79,-11,0.73,0.55,2.22,18.8,380151,4.86,3.81,6.36,204583,27344,3732,1495,466
VIP_023,9:15,-111,-9,5.17,5.3,7.97,8.8,701736,3.61,1.45,6.18,550081,19389,41443,974,65
VIP_024,9:15,-84,-9,2.52,4.27,6.88,2.2,764859,0.39,0.88,4.97,301631,39160,8225,3149,467
VIP_025,9:15,-100,-7,2.08,5.21,3.84,16.6,735463,4.71,5.01,9.97,322650,31719,27558,3086,1990
VIP_026,9:15,-98,-10,0.62,1.09,1.51,20,562255,1.63,2.8,5.57,892434,23876,8798,4997,1821
VIP_027,9:15,-109,-7,2.13,2.05,1.32,14.9,551580,3.35,5.22,8.74,812270,28993,27577,487,111
VIP_028,9:15,-64,-14,3.03,3.96,9.44,16.9,134232,3.29,1.27,10.6,785355,39833,46802,2571,1258
VIP_029,9:15,-67,-12,5.5,1.02,2.71,15.8,855885,5.47,3.68,11.44,889371,27306,17301,3228,1170
VIP_030,9:15,-98,-11,0.17,3.31,10.25,16.7,714705,0.48,4.68,6.17,266943,15615,5538,4348,831
VIP_031,9:15,-84,-8,3.57,3.9,4.81,2.9,107746,0.41,1.7,6.57,980968,13302,30274,2741,2127
VIP_032,9:15,-113,-11,4.07,0.63,1.12,15.4,875453,3.97,4.28,2.05,639834,23390,43380,3039,2750
VIP_033,9:15,-97,-9,3.34,0.87,8.78,15.4,851580,3.01,0.17,8.64,332027,4593,8350,1427,1671
VIP_034,9:15,-116,-11,1.35,2.98,2.75,2.8,839242,0.23,0.55,4.6,555536,38669,38552,4866,116
VIP_035,9:15,-104,-13,4.65,0.21,1.15,1.3,922616,2.62,1.29,7.6,890735,15996,30463,2680,2329
VIP_036,9:15,-64,-15,5.01,0.92,9.57,15.4,891910,2.83,3.95,9.88,495402,38437,44700,2017,1294
VIP_037,9:15,-83,-14,1.76,3.19,7.63,8.2,630682,0.98,2.33,8.49,224937,40227,37283,237,2254
VIP_038,9:15,-92,-11,1.11,1.01,0.59,14.1,255295,0.69,4.89,11.64,307057,18267,14460,2964,1429
VIP_039,9:15,-77,-12,1.45,3.28,5.1,11.3,836107,5.41,3.84,1.24,737172,39857,43297,1693,1378
VIP_040,9:15,-109,-8,3.44,3.82,2.02,8.4,903599,5.41,4.71,2.75,492350,9340,27611,2831,465
VIP_041,9:15,-66,-15,2.71,5.13,2.4,11.4,344911,4.97,3.74,4.64,714243,27126,33953,1056,1917
VIP_042,9:15,-91,-7,3.24,2.88,11.18,15.8,824050,3.51,0.07,1.13,155927,40135,22396,3666,2623
VIP_043,9:15,-117,-15,0.76,5.06,2.61,13.2,259965,0.53,3.92,8.6,626720,29938,22504,4253,1571
VIP_044,9:15,-84,-6,2.12,4.03,9.94,10.4,913629,4.45,1.06,11.13,105291,6197,40084,4650,1372
VIP_045,9:15,-69,-7,4.67,0.92,2.96,3.5,669981,0.29,1.34,3.88,950143,1957,35091,3364,1316
VIP_046,9:15,-61,-12,0.23,4.31,5.45,3.4,468774,4.53,2.06,3.07,350878,27690,17226,790,1603
VIP_047,9:15,-108,-8,3.3,4.02,10.68,4.7,409682,5.46,4.24,6.66,359863,27798,6596,2419,1130
VIP_048,9:15,-78,-16,1.99,3.54,5.12,12,877719,5.32,1.15,10.97,772267,49747,41508,4004,2189
VIP_049,9:15,-105,-14,0.19,1.58,9.99,1.1,427227,5.3,2.53,6.56,738263,35590,42889,4532,1906
VIP_050,9:15,-105,-8,0.93,4.72,7.78,8.2,554164,4.83,5.43,8.8,703319,32490,40165,1106,755
VIP_051,9:15,-88,-9,2.03,2.88,8.55,18.8,477524,3.25,3.86,8.94,630562,3993,49444,4047,1164
VIP_052,9:15,-80,-14,4.82,4.17,1.12,0.6,671621,3.55,1.49,3.9,794886,49021,19714,4837,2966
VIP_053,9:15,-97,-8,3.88,2.03,5.54,12,964399,1.64,2.92,2.16,681272,46064,20428,2173,1816
VIP_054,9:15,-104,-13,4.11,2.6,9.98,11.9,896529,1.62,4.73,9.32,947961,17572,3799,965,2155
VIP_055,9:15,-81,-11,1.74,4.35,3.25,1.9,619516,0.49,4.82,2.53,105127,23576,48008,3285,2368
VIP_056,9:15,-102,-6,3.1,1.43,9.03,1.5,986696,0.28,2.13,7.78,322543,39113,8718,2127,203
VIP_057,9:15,-120,-9,3.46,2.98,1.66,15.8,156458,3.76,4.65,2.56,142063,18458,22645,1223,1552
VIP_058,9:15,-119,-15,3.49,3.19,1.61,18.6,270251,1.28,2.34,7.21,858949,25753,48484,4160,1457
VIP_059,9:15,-111,-15,1.33,0.94,6.33,15.4,653764,3.36,1.85,1.17,378869,41462,12444,3513,189
VIP_060,9:15,-66,-13,3.14,1.78,5.65,15.5,731154,3.37,2.99,7.13,681191,49517,44777,3490,1592
VIP_061,9:15,-73,-15,3.64,4.6,0.89,19.6,507939,5.44,5.06,11.3,565568,7721,16177,2627,1754
VIP_062,9:15,-84,-11,0.38,2.31,11.35,19.4,447623,2.28,0.68,7.32,308954,39952,19188,298,2725
VIP_063,9:15,-87,-11,5.04,1.38,10.32,5.8,185522,5.15,2.47,4.26,137934,26739,11703,1280,1451
VIP_064,9:15,-61,-10,4.51,2.63,8.86,9.3,881919,5,3.2,9.49,327776,47016,16216,2542,1294
VIP_065,9:15,-107,-15,4.9,5.11,4.42,2.1,480513,2.95,0.1,9.73,366494,5043,39972,723,2963
VIP_066,9:15,-63,-8,3.11,4.56,3.78,3.4,567288,4.13,5.35,3.18,969864,6274,47802,3766,2222
VIP_067,9:15,-111,-7,0.35,0.78,4.6,8.2,930275,2.84,3.17,6.23,332782,18031,35825,4102,2685
VIP_068,9:15,-81,-15,2.71,0.91,3.9,17.2,254297,2.86,4.23,6.6,525270,14701,1404,325,1095
VIP_069,9:15,-109,-15,0.85,3.22,1.76,3.3,348708,4.38,3.77,3.47,607598,36475,25908,426,2749
VIP_070,9:15,-118,-14,4.18,3.15,5.28,16.4,668895,0.2,3.02,1.33,137604,41248,15751,1862,2056
VIP_071,9:15,-66,-6,0.13,3.35,4.47,6.9,395470,0.27,4.72,4.2,972453,4756,35537,4686,834
VIP_072,9:15,-103,-7,5.35,2.78,9.3,2.9,202647,2.5,2.06,7.73,909608,5892,38227,761,2985
VIP_073,9:15,-67,-12,2.34,0.27,3.74,0.8,836271,5.07,3.72,3.27,542322,5319,25938,66,167
VIP_074,9:15,-74,-15,2.81,0.32,1.02,17.5,806298,5.18,1.56,6.15,122659,25704,27951,2048,1328
VIP_075,9:15,-119,-7,1.29,3.14,3.66,15.1,224625,1.1,1.05,10.2,375329,45705,33185,4009,2203
VIP_076,9:15,-109,-16,4.99,2.38,0.37,9.9,239560,2.28,0.59,8.02,476883,28029,34336,1554,227
VIP_077,9:15,-89,-16,1.65,5.4,11.62,5.4,490959,3.14,3.33,1.42,144889,37769,15562,3810,1043
VIP_078,9:15,-86,-6,2.34,2.41,5.53,6.2,175862,2.76,4.97,3.5,733367,16672,38307,3836,2054
VIP_079,9:15,-90,-16,4.47,1.79,2.76,1.1,542551,2.95,5.02,9.34,925690,13222,43345,4531,2293
VIP_080,9:15,-80,-8,4.92,0.69,8.83,13.2,502167,4.38,2.41,9.26,869539,21590,11177,3656,112
VIP_081,9:15,-119,-6,5.06,4.22,3.52,0.7,316383,3.92,2.43,11.75,623169,7513,48274,1184,124
VIP_082,9:15,-101,-10,2.88,2.71,10.14,19,885092,0.62,2.85,3.45,764417,36409,7981,3658,1555
VIP_083,9:15,-104,-15,1.59,0.51,3.34,3.8,412965,4.01,2.1,1.88,440276,27230,19743,4608,305
VIP_084,9:15,-119,-15,0.21,4.16,9.07,5.6,608702,1.72,0.64,11.62,603671,44217,4872,1431,1488
VIP_085,9:15,-120,-11,2.09,2.61,9.71,14.8,704913,5.15,0.39,6.78,252168,10340,32209,4059,2702
VIP_086,9:15,-90,-14,0.33,2.77,3.8,14.5,552640,4.39,1.76,9.71,824258,12701,29112,3227,1309
VIP_087,9:15,-110,-10,5.28,4.86,5.74,8.1,752264,4.14,1.22,11.72,775172,37416,1881,3264,1573
VIP_088,9:15,-88,-14,4.49,1.05,12,4.5,762186,2.21,0.39,11.47,550186,33937,21987,670,910
VIP_089,9:15,-96,-8,3.97,2.49,1.71,5.6,609172,4.87,1.86,4.01,729555,29787,40367,1237,2363
VIP_090,9:15,-61,-7,2.5,4.35,8.09,7,314861,3.2,0.14,4.24,326848,28446,22829,1959,927
VIP_091,9:15,-97,-8,4.16,3.59,11.78,13.3,930517,0.68,3.39,8.73,763601,20050,34266,21,830
VIP_092,9:15,-83,-9,4.33,0.69,8.33,11.1,310682,1.82,1.13,4.12,622453,29390,41197,3670,628
VIP_093,9:15,-115,-12,4.29,0.71,3.09,14.3,757352,1.7,2.57,0.21,378472,46838,43631,232,276
VIP_094,9:15,-87,-11,2.27,2.58,8.53,18,814069,2.62,5.08,7.99,684868,2323,37838,1464,448
VIP_095,9:15,-78,-9,3.26,4.9,10.99,6.4,770410,3.1,0.47,11.34,510467,39871,34142,242,69
VIP_096,9:15,-94,-9,4.93,0.37,5.14,8.1,271333,3.21,0.35,7.38,358976,29000,28279,361,367
VIP_097,9:15,-87,-9,2.55,2.73,3.37,2,561537,1.34,5.33,9.84,674970,17799,10333,369,575
VIP_098,9:15,-88,-11,1.61,1.21,6.28,8.4,154400,0.25,0.37,11.26,971324,38330,35124,1784,1218
VIP_099,9:15,-113,-14,3.83,1.96,8.09,15.4,193055,5.18,5.18,2.19,407896,17513,17596,206,1641
VIP_100,9:15,-103,-14,3.14,2,0.3,13.2,335012,4.17,0.05,1.38,985238,21761,8207,4710,1646
VIP_101,9:15,-102,-14,1.04,3.92,2.87,5.4,972869,4.12,5.38,6.79,795248,38144,43867,3531,894
VIP_102,9:15,-111,-13,4.31,4.89,10.17,5.9,250552,3.22,4.47,2.67,649916,21425,29055,2390,2834
VIP_103,9:15,-92,-12,2.16,0.5,8.55,19.5,817154,2.6,1.6,6.48,223384,35854,46568,4049,877
VIP_104,9:15,-85,-16,4.51,3.35,8.01,6.6,608113,5.15,1.69,10.39,476726,41787,42087,2831,506
VIP_105,9:15,-73,-15,1.95,3.88,5.82,12.7,737625,3.57,1.14,6.08,192176,9842,31844,2702,633
VIP_106,9:15,-115,-6,1.87,3.87,7.02,7.7,677444,4.96,0.83,3.07,946383,27202,33504,2667,2145
VIP_107,9:15,-64,-7,2.57,2.44,5.1,9.6,621638,5.33,3.95,4.01,683240,8454,15357,1626,681
VIP_108,9:15,-107,-6,3.66,4.94,11.55,17,521077,1.53,2.29,3.98,755147,26429,15944,2505,2701
VIP_109,9:15,-81,-12,1.55,1.38,4,5.3,199876,5.18,1.32,6.22,587644,23752,15298,4775,612
VIP_110,9:15,-92,-16,3.13,2.33,9.04,6,926518,2.04,0.25,6.89,129122,20963,39653,1539,646
VIP_111,9:15,-92,-10,1.48,5.08,2.06,11.3,741781,3.82,4.59,1.39,359005,36471,34905,3191,1102
VIP_112,9:15,-89,-16,2.13,3.73,8.35,6.6,837385,0.19,1.12,1.79,454325,33879,13034,1688,79
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
VIP_001,9:20,-89,-9,0.76,2.84,4.53,6.4,923557,1.85,1.63,10.7,742156,18237,6538,918,2284
VIP_002,9:20,-87,-16,0.25,0.94,11.17,2.3,493551,1.59,4.75,1.66,196664,30956,25409,3129,1920
VIP_003,9:20,-109,-7,4.5,3.19,5.28,1.9,909347,3.61,3.97,9.48,133661,41196,41756,454,862
