,,Coverage,Quality,VoLTE,,,,,Data,,,,,,,
VIP_089,4:00,-104,-14,3.7,1.97,2.3,14.4,428958,1.19,3.44,1.15,762538,16358,49897,3529,2828
VIP_090,4:00,-105,-8,5.02,1,1.5,4.5,444625,2.3,2.7,2.07,422868,46037,25799,1520,980
VIP_091,4:00,-67,-12,5.49,0.47,11.51,17.8,246967,5.06,1.71,10.45,327990,18864,39258,4769,2138
VIP_092,4:00,-106,-14,2.8,2.94,7.37,11.3,183859,4.7,5.24,6.63,856289,5663,23142,4227,2248
VIP_093,4:00,-94,-8,1.62,4.73,5.49,18.2,635450,3.88,0.93,11.09,291569,22749,49817,2245,1608
VIP_094,4:00,-65,-14,1.09,2.49,7.04,15.4,225344,2.8,1.61,1.08,815372,6528,10588,3109,2896
VIP_095,4:00,-99,-16,0.83,3.61,8.59,1.2,471902,3.9,5.42,5.56,871201,28368,14387,4114,233
VIP_096,4:00,-79,-11,3.1,1.11,5.32,3.2,100245,0.82,3.5,2.35,771495,43478,28018,4790,1730
VIP_097,4:00,-115,-13,0.16,2.53,1.45,10.3,361866,5.33,5.21,6.32,672695,42355,25837,878,1717
VIP_098,4:00,-72,-12,4.48,4.75,0.77,6.4,376634,1.73,2.16,4.01,386130,40482,37654,1388,4
VIP_099,4:00,-89,-13,4.74,2.56,1.27,14,174915,1.68,2.59,4.24,783172,24250,14120,4307,756
VIP_100,4:00,-111,-10,3.16,2.95,2.49,17.3,914448,5.06,4.73,10.31,699726,30004,6345,1242,2888
VIP_101,4:00,-70,-7,0.58,1.61,7.18,16.6,331688,1.89,3.39,1.53,230861,39135,5589,224,1280
VIP_102,4:00,-116,-10,2.93,4.93,1.12,11.7,205235,2.68,0.94,11.4,981355,47387,10880,3557,56
VIP_103,4:00,-86,-9,1.95,5.29,6.51,5.2,309779,0.97,2.03,10.15,565217,44434,26297,630,2979
VIP_104,4:00,-63,-9,5.05,1.22,6.87,2.2,621204,1.68,3.08,9.63,803748,13022,34555,1856,2302
VIP_105,4:00,-91,-11,3.07,2.71,8.33,12,301629,3.57,1.73,8.89,891468,15160,47328,4495,1727
VIP_106,4:00,-108,-8,1.99,3.19,9.21,7.2,895861,2.25,2.4,11.02,994490,1134,8246,3781,1677
VIP_107,4:00,-61,-16,0.16,0.21,1.86,3.3,118938,3.53,4.57,4.94,746252,5332,1019,624,2055
VIP_108,4:00,-78,-11,1.88,0.73,4.29,6.4,793792,3.91,4,8.87,277511,25085,12714,1993,2022
VIP_109,4:00,-71,-12,0.2,5.29,9.67,16.2,824292,1.28,1.51,4.81,652800,17978,26967,2259,1537
VIP_110,4:00,-89,-10,2.63,2.43,6.26,12.6,866221,0.78,2.1,2.06,560015,39422,13535,325,2523
VIP_111,4:00,-76,-12,2.72,3.61,7.14,9.2,744650,4.21,0.6,11.11,381331,49910,39970,233,209
VIP_112,4:00,-84,-12,2.75,1.1,0.86,1.7,553462,2.44,0.47,9.62,631379,24724,28325,2277,2290
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
VIP_001,5:00,-87,-6,4.11,2.61,0.64,14,870665,4.59,3.66,1.18,985279,9855,7758,3984,2630
VIP_002,5:00,-71,-11,4.76,0.85,5.31,14.4,462029,3.61,0.67,2.09,853378,12936,15796,4846,744
VIP_003,5:00,-109,-15,2.69,4.58,1.07,0.7,113821,5.31,1.32,0.86,651417,42212,29656,3301,64
VIP_004,5:00,-101,-14,1.48,4.29,7.2,6.2,242050,4.19,2.7,8.81,223573,12519,20875,3015,1653
VIP_005,5:00,-84,-11,2.73,1.89,2.73,5,678746,4.42,2.21,8.2,859869,6557,39564,3814,194
VIP_006,5:00,-120,-16,5.45,3.76,5.49,14.1,422063,2.15,3.09,10.6,316752,25460,21130,4722,2848
VIP_007,5:00,-71,-12,0.34,4.65,1.39,19.8,955107,1.37,0.89,10.38,184386,20771,18409,821,49
VIP_008,5:00,-100,-6,4.92,0.59,10.02,13.2,816555,4.35,1.54,1.11,360753,48904,49152,4004,2054
VIP_009,5:00,-118,-15,3.7,5.47,9.9,12.9,128536,3.41,2.53,11.37,494171,45787,31228,1507,232
VIP_010,5:00,-104,-16,1.58,1.91,8.22,9,912835,5.28,5.2,1.36,495610,44754,9839,2691,716
VIP_011,5:00,-77,-13,3.25,5.36,0.47,1.3,306149,1.22,3.39,2.68,962803,11567,49152,2809,2638
VIP_012,5:00,-105,-10,1.74,1.83,8.19,7.4,708554,4.81,3.27,1.51,306217,36390,43119,2429,1628
VIP_013,5:00,-87,-8,0.43,1.35,11.57,4.1,222989,4.92,4.15,9.58,195550,17964,13846,2413,2012
VIP_014,5:00,-84,-8,2.01,3.24,9.01,6.6,105696,0.54,2.71,5.69,844304,5623,30973,1659,157
VIP_015,5:00,-89,-7,2.64,4.67,4.36,15.1,453894,1.04,0.18,5.51,999628,27927,1442,1311,818
VIP_016,5:00,-113,-11,2.41,4.26,0.63,11.3,118793,5.13,4.92,0.38,546535,1913,40854,2009,2695
VIP_017,5:00,-96,-9,5.09,3.34,8.41,18.2,342329,3.86,1.92,5.07,744922,38953,9072,82,334
VIP_018,5:00,-85,-7,2.06,3.77,0.8,10.9,640150,4.95,4.86,0.29,619839,11185,1134,2092,605
VIP_019,5:00,-62,-16,1.72,5.41,1.62,2.9,943593,3.62,0.72,5.34,652284,37919,19202,794,1548
VIP_020,5:00,-102,-13,0.86,3.49,9.16,7.7,415961,1.2,0.14,4.15,380512,19591,36443,4739,2959
VIP_021,5:00,-72,-16,2.84,1.8,10.44,18.5,384598,2.59,2.65,6.07,885165,33359,31654,2477,1725
VIP_022,5:00,-64,-6,0.96,1.96,2.05,8.4,210384,5.05,4.06,11.85,106595,16350,24589,1301,1722
VIP_023,5:00,-91,-9,1.61,0.45,10.53,13.8,823153,3.37,2.15,5.5,129151,5702,16547,62,290
VIP_024,5:00,-92,-16,5.45,3.89,4.77,18.5,262904,1.95,3.19,6.39,150251,20272,22149,4961,180
VIP_025,5:00,-68,-16,4.27,1.61,1.41,6.6,621127,4.52,3.11,5.69,673430,37797,44107,1211,15
VIP_026,5:00,-75,-16,4.41,4.73,10.63,6.1,155851,1.3,3.54,6.45,683141,39097,16978,916,1333
VIP_027,5:00,-108,-10,4.98,0.91,3.81,4.9,228537,4.76,5.24,9.06,163587,24378,40099,353,2353
VIP_028,5:00,-86,-15,4.23,5.01,6.84,16.9,695338,1.47,1.66,1.83,701506,43302,26615,1131,1499
VIP_029,5:00,-87,-7,2.28,2.26,10.08,1.4,161243,0.76,2.08,3.49,252984,48289,7310,2307,1347
VIP_030,5:00,-99,-6,0.32,3.94,7.75,12.7,366137,3.71,1.77,5.75,264743,34160,48740,4052,2016
VIP_031,5:00,-108,-11,1.48,2.94,10.44,14.2,298049,2.53,4.63,0.79,602907,6850,45650,3021,2357
VIP_032,5:00,-93,-8,1.15,3.45,3.88,14.4,598506,4.68,0.93,7.66,515192,2450,41015,2064,960
VIP_033,5:00,-89,-7,3.08,1.2,3.22,6.9,874548,2.01,4.47,8.12,384857,27170,11240,523,2916
VIP_034,5:00,-101,-8,2.54,1.82,9.06,3,665314,4.02,3.12,2.17,695154,11866,20822,115,1861
VIP_035,5:00,-87,-13,0.99,1.13,9.69,13.4,125687,5.34,1.2,7.09,762711,21732,25980,809,2662
VIP_036,5:00,-73,-13,5,2.1,5.28,4.4,588159,0.78,0.48,9.33,666767,9092,26279,1868,1306
VIP_037,5:00,-90,-15,1.95,5.37,0.1,6.3,134638,3.39,5.1,5.74,798591,43916,26541,4631,1767
VIP_038,5:00,-104,-9,1.3,4.64,0.93,12,223313,3.52,0.83,6.16,252454,18471,27651,830,2118
VIP_039,5:00,-92,-15,3.07,3.44,8.29,13.8,357585,4.52,3.67,1.29,960230,45857,24894,4287,311
VIP_040,5:00,-78,-8,4.98,1.87,5.18,17.1,559729,4.63,5.4,4.05,923178,38090,31335,2195,1512
VIP_041,5:00,-116,-10,4.98,1.64,6.48,14.2,237363,3.42,4.98,0.13,181324,13840,13262,4416,2543
VIP_042,5:00,-61,-15,3.7,1.22,4.86,5.7,416784,3.55,0.39,9.15,504964,11501,1779,2038,1278
VIP_043,5:00,-79,-12,3.79,3.07,9.56,2.8,730376,4.17,2.85,5.38,629101,34245,5301,1120,2903
VIP_044,5:00,-66,-6,0.81,0.72,8.34,1.7,177037,2.4,1.8,1.79,660674,2502,47370,3880,2005
VIP_045,5:00,-82,-9,2.99,5.12,8.7,16,702117,1.57,1.88,2.17,369464,16821,13983,526,2193
VIP_046,5:00,-84,-12,2.67,1.17,10.85,15.6,275784,3.73,4.11,9.41,437369,38179,45955,97,766
VIP_047,5:00,-73,-6,1.48,0.82,4.62,8.6,821499,2.52,0.4,8.67,540312,24751,46649,623,2941
VIP_048,5:00,-66,-13,2.1,1.31,11.15,19.1,672154,2.89,2.16,9.51,604122,36792,22291,3375,1569
VIP_049,5:00,-84,-13,1.03,2.02,7.6,4,979081,2.38,1.96,5.97,849129,4045,4933,4751,1419
VIP_050,5:00,-114,-7,3.86,0.19,8.86,11.9,302233,3.04,5.27,9.07,937784,48778,13677,3640,705
VIP_051,5:00,-87,-6,1.1,2.79,6.06,14.3,596479,0.56,3.14,0.87,980148,36893,26355,3552,2589
VIP_052,5:00,-60,-8,0.26,5.19,4.22,1.2,394716,4.92,2.73,4.64,766888,30223,38873,2303,2463
VIP_053,5:00,-77,-10,4.54,3.83,2.21,6.3,312118,5.46,2.74,2.82,870277,17222,41230,1466,1399
VIP_054,5:00,-85,-14,2.2,5.39,5.37,18,827124,1.25,5.3,4.65,416221,37170,21921,286,232
VIP_055,5:00,-63,-9,4.9,2.5,1.65,5.4,629634,3.27,1.42,4.96,333727,38531,8663,3801,2333
VIP_056,5:00,-67,-13,2.92,1.07,4.78,6.2,604162,3.4,0.67,0.62,883366,33758,20665,2169,730
VIP_057,5:00,-64,-12,1.94,0.72,1.61,16.9,590747,5.37,0.17,11.99,439011,48911,20384,3643,2957
VIP_058,5:00,-85,-10,0.73,4.58,8.25,12.6,985524,4.58,0.73,8.63,817268,31090,1723,3593,633
VIP_059,5:00,-69,-15,1.41,2.37,4.22,8.8,407093,5.18,0.94,8.59,491322,38011,10474,659,108
VIP_060,5:00,-104,-15,4.66,0.51,1.89,2.1,520266,2.91,2.52,5.53,526489,23820,3399,3599,2156
VIP_061,5:00,-116,-14,2.46,3.68,10.81,3.5,658343,0.64,1.96,7.22,728261,5130,38786,4053,699
VIP_062,5:00,-91,-12,3.89,3.86,2.69,9.1,996656,0.92,1.02,8.54,461039,5332,15971,4354,461
VIP_063,5:00,-114,-16,0.73,4.13,4.47,10.5,916193,3.8,0.57,2.9,527010,8633,11889,3791,2466
VIP_064,5:00,-120,-7,0.46,0.37,2.37,8.6,182593,1.34,5.05,7.08,221373,37872,31184,3155,1844
VIP_065,5:00,-107,-10,0.65,3.87,1.96,13,717602,0.86,2.06,9.39,528368,20800,41916,2365,2405
VIP_066,5:00,-88,-7,1.8,1.43,8.16,5.8,889544,0.16,0.95,6.42,752754,15831,32880,721,2189
VIP_067,5:00,-66,-14,4.03,0.98,8.78,12.1,357200,3.96,0.87,4.7,212701,48478,12110,2516,1491
VIP_068,5:00,-101,-12,0.7,4.71,2.5,9.4,645438,4.18,4.95,6.56,561825,8786,16855,1841,92
VIP_069,5:00,-105,-16,1.86,2.13,6.14,12.5,769802,1.12,3.43,9.27,724767,31387,18859,282,786
VIP_070,5:00,-114,-9,0.51,2.5,1.88,12.1,868824,4.85,1.11,11.69,813904,24025,49015,2416,2813
VIP_071,5:00,-109,-14,0.13,2.91,9.45,6.6,525131,0.35,3.79,6.46,358153,47866,32800,2085,379
VIP_072,5:00,-105,-14,0.05,4.46,2.37,9.9,417371,4,4.16,5.92,138780,39049,41114,718,1330
VIP_073,5:00,-80,-13,1.48,2.3,8.99,7.3,852565,1.06,4,3.5,488496,40414,3502,2442,587
VIP_074,5:00,-72,-12,0.81,1,4.46,17.3,878422,0.75,0.57,2.42,557895,5331,2562,2908,1963
VIP_075,5:00,-75,-12,0.46,0.94,2.55,13.1,746549,1.58,4.14,4.74,154639,46720,17021,1560,2059
VIP_076,5:00,-120,-15,3.96,3.61,10.56,1.4,100596,1.3,4.76,5.91,643053,41570,36675,486,222
VIP_077,5:00,-65,-9,5.26,4.37,8.4,9.6,643791,1.49,0.93,6.87,312917,23740,2660,3322,1870
VIP_078,5:00,-93,-7,1.7,1.24,3.42,19.3,247929,1.15,4.22,6.5,529602,48035,18157,1435,260
VIP_079,5:00,-65,-6,4.44,3.27,9.67,12.2,345151,0.75,0.06,5.45,935740,32855,24026,1483,1214
VIP_080,5:00,-65,-9,1.44,0.1,6.53,19.3,213436,3.03,2.79,7.09,436205,1177,19072,250,540
VIP_081,5:00,-103,-12,0.68,4.57,3.19,0.6,436348,2.82,1.08,0.7,859609,27458,8666,1870,9
VIP_082,5:00,-74,-10,3.18,1.54,3.96,10.1,139779,1.77,3.05,5.16,359983,34630,1637,1211,2329
VIP_083,5:00,-111,-7,4.21,4.2,1.88,12.3,371073,5.37,1.94,10.5,899557,33389,8658,4544,2126
VIP_084,5:00,-115,-10,3.05,0.2,5.55,9.6,600276,4.91,0.98,11.52,127689,5947,9405,4150,2200
VIP_085,5:00,-98,-12,2.64,2.05,4.45,9.3,302516,3.56,5.22,5.55,478756,8675,11454,4119,1039
VIP_086,5:00,-86,-7,4.98,2.36,10.96,7.6,536968,1.03,1.01,2.68,641446,10093,49387,2344,2169
VIP_087,5:00,-112,-9,1.25,3.94,1.57,7.3,610658,4.58,2.39,2.47,633476,9460,29379,1072,423
VIP_088,5:00,-77,-14,1.85,2.37,11.91,12.1,791538,0.16,4.96,0.36,920022,21418,36734,1493,2550
VIP_089,5:00,-92,-16,5.21,0.81,2.11,16.1,682254,4.57,5.22,1.67,976851,21801,33867,2276,998
VIP_090,5:00,-103,-16,4.96,1.93,5.1,10.7,701435,1.68,4.65,0.37,775137,26540,23010,4277,977
VIP_091,5:00,-108,-8,0.36,2.82,6.51,16.3,472519,1.99,1.7,4.44,794166,35439,15565,4271,2575
VIP_092,5:00,-114,-14,5.34,2.13,2.77,5.1,681968,2.52,0.68,7.73,380415,2774,16209,2223,2813
VIP_093,5:00,-63,-14,2.75,2.95,8.38,8.6,271231,3.15,1.8,11.2,779225,28692,22039,3431,2511
VIP_094,5:00,-80,-6,3.04,4.21,3.33,8.6,713230,1.13,1.36,8.64,859399,44438,16835,2514,1706
VIP_095,5:00,-106,-13,1.47,3.82,2.12,9,567455,4.14,2.08,1.93,840679,15854,16514,2722,788
VIP_096,5:00,-87,-14,0.37,4.06,8.25,19.2,462515,1.69,4.63,2.95,490619,33544,22866,3641,568
VIP_097,5:00,-108,-13,4.19,4.26,4.22,19,577252,4.09,3.1,7.03,859279,38525,2540,3058,2228
VIP_098,5:00,-94,-12,3.18,2.89,8.85,14.8,808383,2.03,2.53,6.38,842062,29753,29681,334,368
VIP_099,5:00,-104,-13,4.02,4.03,0.24,15.7,520970,4.18,2.89,11.71,597522,19175,3372,3702,2837
VIP_100,5:00,-76,-14,4.46,2.14,9.33,18.9,977538,2.81,2.92,9.98,500743,45060,33143,3053,710
VIP_101,5:00,-62,-8,2.88,0.09,7.78,5.1,190156,1.58,4.53,11.12,566732,17018,24058,2837,2576
VIP_102,5:00,-70,-6,4.17,5.03,3.35,4.6,293971,4.89,2.5,2.99,602353,24693,44153,2319,2737
VIP_103,5:00,-106,-10,4.39,4.62,1.4,3.6,540225,3.3,3.7,11.38,164247,38201,13595,1598,2840
VIP_104,5:00,-111,-10,1.29,2.94,10.66,17.7,571311,1.48,5.36,1.22,535462,44098,10200,1571,1744
VIP_105,5:00,-109,-8,3.24,3.4,10.69,5.7,778160,4.76,5.42,11.65,164976,48859,1074,539,1924
VIP_106,5:00,-88,-8,0.58,1.77,3.42,4.9,435261,4.89,0.56,11.86,699368,10630,13199,4624,2757
VIP_107,5:00,-73,-12,2.97,1.01,6.39,15.6,283871,1.55,3.92,6.42,773295,24103,43702,1982,1370
VIP_108,5:00,-94,-6,1.61,3.29,8.53,14.5,973522,5.23,2.82,1.02,585907,12600,10601,1671,2619
VIP_109,5:00,-119,-11,4.64,0.36,8.8,7.8,158657,2.42,2.29,10,854325,19867,26778,1768,1938
VIP_110,5:00,-99,-12,2.23,5.37,2.42,19.6,120754,0.34,3.69,6.7,809489,44467,12701,564,1940
VIP_111,5:00,-64,-14,4.23,0.73,8.55,18.6,196498,4.8,4.06,6.52,837956,33010,4164,1178,2802
VIP_112,5:00,-78,-12,3.81,4.95,5.64,2.2,389166,0.41,3.49,0.93,872395,21376,26619,2681,2164
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
VIP_001,6:00,-101,-13,0.77,3.83,7.26,5.3,803516,3.99,3.72,6.69,391332,35866,35030,1429,540
VIP_002,6:00,-90,-8,3.38,4.51,7.97,10.7,287229,5.41,5.04,3.79,747687,10186,11218,2475,2603
VIP_003,6:00,-103,-10,3.99,2.13,4,5.8,770891,2.22,5.42,4.24,570302,12412,46433,4963,2401
VIP_004,6:00,-95,-7,1.18,1.27,5.03,10.4,825865,4.29,3.59,3.79,263811,29927,44501,169,1355
VIP_005,6:00,-111,-13,5.14,3.98,11.82,8.7,141003,3.31,3.23,6.52,198799,26749,4677,2683,253
VIP_006,6:00,-91,-11,0.17,1.34,8.12,12.7,125005,0.84,1.58,6.47,202496,11215,47270,1372,1902
VIP_007,6:00,-89,-6,1.54,0.66,0.56,18.4,290275,1.94,4.03,2.77,401805,30379,23567,634,1857
VIP_008,6:00,-74,-7,5.12,4.72,4.55,5.3,498365,4.27,3.46,5.95,683960,41829,32918,1153,251
VIP_009,6:00,-116,-13,4.64,1.67,11.26,1.9,134478,1.12,0.19,4.93,270073,36046,6898,22,1494
VIP_010,6:00,-110,-13,2.74,1.25,7.4,9.8,323608,4.78,0.05,8.56,276044,41816,31499,2745,1118
VIP_011,6:00,-88,-10,0.64,0.51,10.76,11.3,247032,1.31,1.27,1.9,548133,6220,8411,4260,1570
VIP_012,6:00,-93,-9,5.14,2.6,8.41,4.9,791007,4.11,1.76,1.26,388236,10000,25114,4744,432
VIP_013,6:00,-66,-16,5.47,5.02,10.61,4.4,361062,0.82,0.85,7.45,420322,16095,3757,962,2037
VIP_014,6:00,-81,-12,5.13,3.09,2.13,17.3,868980,0.9,0.24,7.49,780068,22644,8529,657,512
VIP_015,6:00,-61,-11,2.71,3.31,6.6,4.7,164672,4.63,0.7,3.67,122593,34760,31892,4913,1816
VIP_016,6:00,-120,-13,1.05,1.78,2.19,16.7,163573,0.55,4.1,2.11,322906,36740,7561,19,101
VIP_017,6:00,-65,-6,5.07,1.33,8.75,0.7,287203,2.76,5.1,8.9,457829,36192,16739,1280,688
VIP_018,6:00,-106,-8,2.84,4.5,4.08,17,469611,4.28,5.09,0.6,704268,49384,3780,4146,1235
VIP_019,6:00,-107,-12,4.85,3.16,9.99,0.9,847616,2.67,3.5,0.54,183578,2221,38239,2642,583
VIP_020,6:00,-62,-16,1.29,2.17,2.17,16.1,922239,1.82,0.36,1.19,639069,23229,44881,2360,1905
VIP_021,6:00,-94,-12,4.9,4.72,9.37,1.3,985999,4.08,3.63,3.89,106259,28473,26552,4058,533
VIP_022,6:00,-106,-13,0.96,1.95,2.01,2.4,337917,3.91,2.24,7.18,413107,9129,1889,3184,1090
VIP_023,6:00,-70,-13,1.16,1.89,3.26,16,198179,3.51,2.83,3.59,867917,11826,4800,1415,979
VIP_024,6:00,-91,-7,2.05,4.11,10.54,8.8,987458,0.28,4.43,8.62,944148,32061,41682,43,1274
VIP_025,6:00,-104,-15,1.61,5.38,7.23,1.3,869159,4.96,2.83,1.89,922546,34874,10633,1001,2544
VIP_026,6:00,-103,-10,1.31,3.02,6.28,6.7,575345,2.64,2.26,10.48,949098,27233,48789,1815,2021
VIP_027,6:00,-111,-6,4.28,0.54,6.52,18.2,176611,4.3,0.85,5.02,951436,46656,34792,4871,231
VIP_028,6:00,-99,-16,4.04,3.88,4.04,12.3,709086,1.46,4.59,8.13,931765,21678,38313,3062,812
VIP_029,6:00,-115,-8,4.03,3.85,0.34,16.7,198272,5.07,3.3,0.53,652478,33495,46907,102,2630
VIP_030,6:00,-99,-16,1.93,3.11,11.22,19.8,679215,5.19,0.71,0.46,360994,24007,31934,2549,2941
VIP_031,6:00,-100,-11,4.34,5.35,10.76,17,141964,3.38,2.42,4.08,790235,14944,5426,4514,2189
VIP_032,6:00,-107,-15,4.42,0.78,9.52,0.8,684096,3.37,3.57,11.56,154353,8949,29271,1599,1556
VIP_033,6:00,-86,-16,1.59,0.61,5.95,7.4,510290,3.66,4.38,4.67,649766,17151,26169,2354,2339
VIP_034,6:00,-86,-9,1.19,4.92,11.74,14.9,696252,3.02,0.83,11.15,727398,31626,6176,638,946
VIP_035,6:00,-107,-6,0.69,1.57,1.37,14.3,991325,0.58,0.19,3.37,763212,49591,8369,2041,2221
VIP_036,6:00,-95,-13,4.26,1.03,5.13,18,813374,2.43,1.44,1.15,961952,3287,37375,2806,1622
VIP_037,6:00,-82,-14,2.82,3.86,5.43,11.5,636062,4.46,2.31,10.53,609099,43596,45681,2820,629
VIP_038,6:00,-67,-7,3.12,4.09,4.06,19,213139,2.52,1.39,0.57,838094,39419,28888,3365,2143
VIP_039,6:00,-66,-13,3.76,4.26,9.63,19.5,545825,3.36,0.35,3.43,532522,8269,12787,2746,513
VIP_040,6:00,-77,-15,2.23,2.94,10.01,0.9,253145,3.65,3.28,8.44,576124,37879,10704,3381,1840
VIP_041,6:00,-65,-10,4.72,4.75,7.43,4,146775,1.24,0.19,9.19,147898,38314,42409,607,1491
VIP_042,6:00,-70,-15,3.28,2.01,10.38,6.6,227821,0.22,0.94,8.66,724320,30847,34610,863,2106
VIP_043,6:00,-60,-14,3.73,4.25,11.54,0.9,970124,5.38,5.15,6.27,770846,37516,45467,4055,2291
VIP_044,6:00,-64,-15,0.32,0.45,0.53,7.3,969022,5.39,4.67,7.43,879778,36410,20286,4932,1067
VIP_045,6:00,-95,-14,3.5,3.59,3.82,13.1,714994,3.74,2.51,1.24,646096,30493,17098,4489,2182
VIP_046,6:00,-64,-7,4.16,4.68,4.66,15.6,837833,1.48,3.8,0.89,435785,39168,27386,919,1578
VIP_047,6:00,-98,-13,5.45,2.06,7.81,5.1,920390,0.88,5.27,1.63,496489,24607,36726,978,2232
VIP_048,6:00,-98,-16,3.61,1.33,4.72,10,476207,0.51,0.84,10.14,989035,37462,17101,678,2718
VIP_049,6:00,-104,-12,5,3.08,5.72,7.7,632462,4.95,1.18,6.36,562754,46641,18675,4165,1683
VIP_050,6:00,-99,-11,3.46,1.37,10.77,11.6,630297,4.19,3.95,8.36,501581,47025,17116,2822,1572
VIP_051,6:00,-87,-14,5.19,2.35,11.34,17,391934,4.87,3.67,10.18,514983,8890,34378,2832,1032
VIP_052,6:00,-118,-6,0.93,0.17,10.83,1.6,789483,2.87,5.07,3.85,221122,12997,6628,1393,1992
VIP_053,6:00,-67,-11,3.31,5.14,1.8,6.1,507987,2.27,4.6,2.64,615041,2109,41404,1656,337
VIP_054,6:00,-88,-6,5.33,4.53,0.99,6.6,681264,2.27,1.65,5.11,637014,45215,47401,4533,497
VIP_055,6:00,-91,-9,0.91,5.08,10.14,7,450943,0.57,3.51,8.75,865544,30337,46844,3576,2682
VIP_056,6:00,-91,-9,0.76,3.33,1.19,5.1,546442,5.32,0.71,8.8,780094,49817,36301,3760,1489
VIP_057,6:00,-69,-11,5.43,4.77,1.38,9.3,289614,4.97,1.4,11.33,655685,33338,41529,97,1240
VIP_058,6:00,-74,-16,1.85,0.74,8.94,6,901875,1.34,2.16,7.63,525885,12550,10745,1724,1280
VIP_059,6:00,-76,-15,1.98,0.23,1.69,17.3,695291,2.15,1.24,3.63,261169,18055,25487,74,2772
VIP_060,6:00,-86,-7,2.4,4.78,11.45,0.7,156645,3.9,4.48,7.31,754664,34440,17854,319,375
VIP_061,6:00,-105,-8,1.02,5.12,0.15,16.6,665421,4.38,4.21,5.92,750778,46362,18586,548,2349
VIP_062,6:00,-63,-14,2.6,5.01,8.99,14.6,813169,2.34,5.2,7.19,958775,42236,42438,3719,1100
VIP_063,6:00,-92,-6,4.59,5.44,2.85,11.3,207820,2.84,3.01,6.7,435923,19607,40488,2477,2549
VIP_064,6:00,-78,-11,3.63,3.64,4.46,15.7,810089,3.09,5.05,7.41,321106,8975,36590,4759,1207
VIP_065,6:00,-90,-14,1.06,1.93,1.25,5.5,227528,0.39,3.82,9.92,333722,38162,47871,143,2602
VIP_066,6:00,-86,-7,4.08,0.97,3.58,7.7,408009,1.02,3.43,3.15,415461,40396,7236,1359,2727
VIP_067,6:00,-78,-7,2.6,1.96,9.77,13.4,475337,2.28,2.48,0.6,874937,46181,48314,4142,233
VIP_068,6:00,-77,-9,4.37,5.42,10.61,5.4,329105,2.35,1.01,3.16,690901,45427,15426,2657,1911
VIP_069,6:00,-97,-7,3.61,0.72,9.46,16.7,682321,2.61,1.07,10.39,950620,43221,40864,1168,129
VIP_070,6:00,-80,-10,0.77,5.26,1.93,8.6,565056,2.78,2.69,8.2,944292,42041,2100,2865,1121
VIP_071,6:00,-117,-14,3.73,1.71,1.56,18.8,397547,1.58,2.09,10.92,126095,18938,49017,4497,1271
VIP_072,6:00,-96,-13,5.36,0.1,8.21,11.1,206763,4.92,0.97,4.47,534961,1428,18799,2147,131
VIP_073,6:00,-110,-13,4.87,0.21,6.18,6.1,144107,4.19,4.88,6.68,635532,1196,21805,3538,2758
VIP_074,6:00,-95,-14,0.97,4.04,8.2,8.1,557784,4.25,0.86,3.87,502290,2300,5531,4858,2162
VIP_075,6:00,-65,-7,0.47,5.07,8.97,4.5,639939,0.06,0.35,0.94,334045,16746,36058,2036,432
VIP_076,6:00,-81,-12,2.09,5.3,4.7,1.5,596777,2.63,0.52,3.52,369317,25549,27286,3179,337
VIP_077,6:00,-116,-7,5.34,0.45,10.79,16.4,119674,1.74,0.09,10.86,684474,46108,49963,4932,2488
VIP_078,6:00,-61,-7,5.06,4.32,11.04,6.3,283382,1.92,1.32,3.84,562128,47231,10512,4380,1042
VIP_079,6:00,-86,-9,1.77,3.32,6.91,9.8,629371,3.36,1.97,2.9,750496,33489,32572,4016,907
VIP_080,6:00,-74,-16,1.02,2.48,8.26,18.9,555812,4.88,1.98,5.88,757488,20192,44042,3832,1777
VIP_081,6:00,-118,-10,4.16,3.71,3.02,10.2,285786,4.95,4,5.87,938242,45176,49433,4098,341
VIP_082,6:00,-98,-9,4.67,1.26,5.21,3.7,630661,5.12,2.03,9.49,216907,15130,34994,2666,2657
VIP_083,6:00,-104,-9,1.14,2.88,7.68,17.2,627890,4.44,2.2,10.86,259650,48109,3290,3913,2336
VIP_084,6:00,-70,-12,0.92,3.33,2.69,18,398247,0.41,1.96,6.58,178268,39774,45815,2271,1072
VIP_085,6:00,-88,-13,3.75,1.11,2.54,4.1,144239,3.09,3.45,4.94,977580,21495,47094,3047,15
VIP_086,6:00,-95,-14,2.17,3.3,5.19,17.1,701051,0.45,0.87,3.17,246833,14838,48050,1698,689
VIP_087,6:00,-67,-15,0.45,0.76,9.69,15.6,929603,0.8,4.78,5.28,231080,11124,1629,703,2371
VIP_088,6:00,-86,-14,1.8,1.31,10.82,10.5,789628,4.16,2.59,3.91,938295,32251,24226,3560,629
VIP_089,6:00,-110,-7,3.86,1.34,8.55,7.5,312763,2.46,4.93,8.88,940872,36485,12065,1374,2725
VIP_090,6:00,-119,-9,0.68,1.73,4.88,18.2,987681,3.59,2.94,1.23,711074,15054,31479,2205,573
VIP_091,6:00,-92,-8,2.41,2.27,7.57,8,586231,5.28,2.42,0.54,776734,44509,31661,422,175
