,,,,Coverage,Quality,VoLTE,,,,,Data,,,,,,,
Brunei,B-Mobile,528/02,4:00,-94,-7,3.61,4.92,3.42,1.3,431175,1.66,4.67,5.96,213511,40903,20861,1375,1109
Brunei,DST,528/11,4:00,-72,-11,0.79,4.26,10.66,12.4,523388,2.16,3.28,11.82,989961,46733,28837,2143,313
New Zealand,Telecom New Zealand,530/05,4:00,-69,-12,1.76,3.86,9.86,13.5,317794,1.68,1.96,11.66,754667,18093,33668,2711,1920
New Zealand,Vodafone(NEW ZEALAND),530/01,4:00,-100,-13,2.26,4.83,3.19,19,240315,2.51,0.88,10.04,916090,24948,22190,2677,161
New Zealand,Two Degrees (NZ Communications),530/24,4:00,-66,-7,4.76,1.17,9.28,6.8,283252,1.24,1.26,2.47,257055,23508,11930,1276,252
Morocco,Itissalat Al Maghrib (Mobile GSM),604/01,4:00,-82,-8,4.03,0.37,8.98,17.3,786861,4.4,1.86,11.22,219395,10998,42247,1580,1747
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Netherlands,Vodafone(NETHERLANDS),204/04,5:00,-113,-6,1.49,2.21,8.61,19.9,896306,1.04,0.54,10.81,555357,26165,46132,2869,1177
Netherlands,T-mobile (ex Ben),204/16,5:00,-74,-13,2.11,4.36,3.52,12.4,118289,3.45,1.46,9.86,508340,39371,15850,2280,1270
Netherlands,KPN (iBasis),204/08,5:00,-119,-15,2.97,4.69,9.47,1.1,159636,5.34,1.2,9.88,265290,19542,7702,3202,511
Belgium,Belgacom Mobile,206/01,5:00,-99,-9,4.94,0.19,7.49,3.2,906088,3.42,0.09,3.49,757704,43998,43932,3581,225
France,Bouygues,208/20,5:00,-115,-9,0.07,2.13,7.12,16.1,921874,2.65,4.4,11.25,171375,37338,28146,1524,2493
France,Free Mobile,208/15,5:00,-119,-16,3.07,4.04,4.89,3,740924,1.82,5.23,1.76,883600,14514,40108,1708,2306
France,SFR (Cegetel),208/10,5:00,-87,-13,1.09,1.61,6.3,18.4,116714,3.95,1.33,4.65,843162,10547,18204,612,1157
Andorra,Mobiland/STA,213/03,5:00,-90,-13,4.83,2.08,10.87,5.7,672204,5.15,2.45,0.54,389676,20222,46891,1461,1273
Spain,Telefonica Moviles(SPAIN),214/07,5:00,-96,-13,4.88,4.36,11.38,10.3,165841,4.69,0.13,4.17,350732,36688,30573,599,280
Spain,Vodafone (AirTel),214/01,5:00,-80,-9,1.02,1.21,3.34,9,981013,5.28,0.72,11.35,621506,44220,31051,795,129
Italy,TIM (Telecom Italia),222/01,5:00,-93,-10,1.82,0.12,3.82,4.4,938047,0.81,2.53,5.44,373924,5686,36439,4329,318
Italy,H3G(ITALY),222/99,5:00,-72,-12,1.66,3.2,0.95,12.3,391282,1.68,4.1,0.14,239629,31196,14561,4845,2209
Italy,Vodafone Omnitel,222/10,5:00,-112,-6,1.28,0.81,8.06,12.3,222627,1.49,0.33,7.07,859186,45827,15193,1182,1615
Switzerland,Swisscom,228/01,5:00,-112,-6,5.11,5.08,2.41,8.7,100671,2.54,0.21,6.73,588210,47423,28979,3561,2389
Switzerland,Sunrise DiAx,228/02,5:00,-93,-11,2.26,4.49,9.96,9.1,243131,2.19,3.85,2.86,409402,8481,4674,2467,2481
United Kingdom,Everything Everywhere,234/30,5:00,-77,-13,1.75,5.32,4.24,13.9,875823,1.25,0.47,5.01,672403,3396,26522,3094,459
United Kingdom,Telefonica O2 (CellNet),234/10,5:00,-109,-10,2.89,4.48,2.46,13.1,853003,4.54,4.56,0.21,725943,44966,48942,1599,2122
United Kingdom,Jersey Telecom (JT-Wave),234/50,5:00,-101,-8,2.68,2.8,1.5,7.1,738560,1.2,2.94,1.52,800198,15827,38860,4382,2856
United Kingdom,Everything Everywhere (ex-Orange),234/33,5:00,-71,-8,2.85,5.16,5.79,12.6,290905,2.54,2.38,10.01,631616,14972,5384,1919,757
Sweden,Tele2 - Comviq,240/07,5:00,-87,-15,1.87,2.49,8.47,15.5,856320,2.43,3.62,0.1,856621,12681,1057,1473,2029
Sweden,"Telenor (Vodafone,Europolitn)",240/08,5:00,-71,-15,3.35,2.04,10.65,19,375892,1.05,0.24,5.59,353915,14500,29523,61,2446
Norway,NetCom TeliaSonera,242/02,5:00,-118,-16,1.04,3.57,5.63,9.2,885772,1.07,0.14,6.8,145224,35954,40824,1878,348
Estonia,EMT,248/01,5:00,-95,-15,5.31,2.6,8.97,9.8,646800,2.27,0.38,9.51,210358,6980,39397,2362,2572
Russia,Vimpelcom Beeline (KB Impuls),250/99,5:00,-100,-6,0.11,4.96,8.58,9.8,910202,4.14,3.7,4.48,100222,36913,44707,1085,31
Poland,P4 Play,260/06,5:00,-109,-14,0.91,4.13,7.57,5,172600,3.9,2.4,1.35,974346,37893,18460,2954,1561
Germany,E-Plus,262/03,5:00,-60,-8,0.62,3.23,10.97,16.2,545660,2.2,0.27,6.99,399557,15427,49479,2628,53
Germany,Telekom Deutschland (T-Mobile),262/01,5:00,-85,-13,2.58,1.79,11.79,6.4,822920,1.74,4.94,1.37,855757,15071,38202,1639,852
Germany,Telefonica O2/viag,262/07,5:00,-61,-8,1.36,1.55,6.21,18,349241,1.56,2.16,5.42,203362,19965,11771,2209,1659
Portugal,TMN,268/06,5:00,-80,-11,5,0.34,2.34,19.7,441389,1.26,5.2,11.94,140144,21369,35753,469,1706
Turkey,AVEA (IS-TIM Aria),286/03,5:00,-110,-8,2.94,1.1,9.36,18.6,823663,4.52,2.44,2.31,355972,13843,13050,3822,481
MACEDONIA,T-Mobile (Mobimak),294/01,5:00,-119,-10,1.84,3.65,11.77,13.9,160926,3.72,1.65,4.94,889573,8176,35164,2972,1718
Canada,Rogers Wireless,302/61,5:00,-114,-12,1.53,1.97,4.85,2.2,392188,3.53,5.5,4.59,728418,42503,8665,732,1077
Canada,Rogers Wireless,302/22,5:00,-63,-12,4.02,0.24,9.56,2.9,904239,1.8,1.85,4.91,306828,35488,34632,2047,121
United States of America ,AT&T,310/41,5:00,-108,-12,0.37,2.47,6.97,16.3,561699,3.64,0.41,4.11,635354,44940,15745,1813,310
United States of America ,T-Mobile,310/26,5:00,-76,-12,3.01,3.6,3.81,14.1,763840,1.29,0.33,7.65,325685,44690,7875,362,854
United States of America ,Southern Communications dba Southern LINC,310/15,5:00,-62,-15,2.72,1.11,1.65,5.2,339482,4.54,2.28,3.71,636684,34334,29855,2802,603
Unted States,Verizon Wireless,311/48,5:00,-79,-13,3.2,4.87,8.07,13,782044,4.97,0.32,7.55,454261,43722,41297,1741,2151
India,Airtel (Kolkata),404/31,5:00,-113,-11,0.5,4.77,2.8,10.4,599629,2.49,1.4,10.55,373844,13139,46740,3753,963
India,Airtel (Andhra Pradesh),404/49,5:00,-64,-14,4.21,2.13,10.01,1.5,742095,3.59,1.24,2.08,705956,11924,20333,4636,1959
India,Airtel (Mumbai),404/92,5:00,-72,-14,1.3,3,2.39,6.5,349590,1.61,2.25,5.36,646869,18109,9498,2124,1486
India,Airtel (Kerala),404/95,5:00,-108,-7,3.02,4.99,10.93,8.1,559216,4.51,5.29,8.18,780260,38447,13641,493,2589
India,AirTel (Chennai),404/03,5:00,-64,-14,3.01,4.56,7.69,18.6,459620,5.43,3.56,1.08,724299,24972,27953,3111,1966
India,Vodafone India (Mumbai) Hutchison Orange,404/20,5:00,-87,-10,2.49,4.36,2.01,8.5,909258,4.89,2.32,6.5,907699,32322,22707,1163,1452
India,Airtel (Karnataka),404/45,5:00,-77,-11,2.41,4.25,8.62,1.3,165301,4.19,2.26,7.77,184053,17195,6553,4223,1775
India,Airtel (Maharashtra & Goa),404/90,5:00,-117,-8,3.91,1.34,3.47,9.2,507415,3.25,1.79,9.57,513267,19479,30979,2304,639
India,India(404),404/94,5:00,-90,-9,0.96,3.21,10.58,13.8,879716,4.04,1.84,3.85,349379,10574,17560,4869,1556
India,AirTel (Chennai),404/02,5:00,-93,-11,4.2,0.47,4.37,1.1,714344,1.99,1.48,6.01,144066,29317,1058,3570,1167
India,Airtel (Uttar Pradesh W),404/97,5:00,-76,-6,1.75,1.57,4.35,13.8,739969,0.32,2.93,0.65,515293,28039,47122,3598,1725
India,Vodafone (New Delhi) Hutchision Essar,404/11,5:00,-103,-6,2.64,3.1,0.23,19,255150,4.69,2.54,8.33,264678,18847,7037,4232,2488
India,AirTel (Chennai),404/40,5:00,-62,-13,4.94,4.24,6.24,9.1,297856,1.51,1.36,5.75,669034,15225,6278,1739,2938
India,"Airtel (Rajasthan),Hexacom",404/70,5:00,-90,-14,4.87,3.44,9.12,19.8,410188,4.58,1.38,6.98,269594,39196,25812,4605,1160
India,Airtel (Madhya Pradesh),404/93,5:00,-103,-8,3.38,2.24,4.55,5.8,752257,3.95,1.22,8.18,933483,31202,4029,2537,1888
India,Airtel (Haryana),404/96,5:00,-87,-11,1.43,1.03,10.67,4.6,584213,2.37,5.3,4.76,596416,31636,22693,4607,1320
India,Airtel (Delhi),404/10,5:00,-83,-15,3.84,1.49,6.49,9.6,910141,3.08,2.58,7.14,870678,24202,19394,3224,1757
India(405),,405/52,5:00,-114,-10,3.98,1.16,7.42,15.5,784590,2.89,2.3,4.11,760917,42645,45602,4526,2161
India(405),"AirTel (Bharti-Televentures), Uttar Predesh East",405/54,5:00,-77,-10,3.98,1.08,5.57,0.7,897041,3.16,4.19,2.2,104761,4957,4389,933,1373
India(405),"AirTel (Bharti-Televentures), Orissa",405/53,5:00,-88,-15,1.38,3.23,9.74,0.7,315893,4.94,5.15,11.72,584638,44536,13039,1022,2022
Sri Lanka,Bharti Airtel,413/05,5:00,-66,-12,4.4,3.27,3.31,11.1,122871,4.29,5.08,11.72,518435,18935,29002,107,2282
Sri Lanka,Dialog Axiata (ex MTN),413/02,5:00,-77,-14,4.75,5.26,10.14,17.9,484704,2.62,2.66,8.36,538373,32114,40003,3759,271
Myanmar,Telenor Myanmar (Comcel Myanmar),414/06,5:00,-61,-16,2.74,3.82,0.36,5,627711,0.68,0.82,0.65,388612,46767,17287,239,158
Myanmar,Ooredoo Myanmar,414/05,5:00,-98,-15,2.07,4.62,5.5,18.5,730649,0.82,0.13,8.49,204989,15700,17979,2041,657
Myanmar,Myanmar Post and Telecommunication,414/01,5:00,-90,-6,2.73,3.04,6.33,16.2,605284,1.83,3.47,2.27,629890,22049,32953,2450,721
Saudi Arabia,Mobily,420/03,5:00,-119,-8,1.68,1.89,0.71,13.7,784476,3.45,3.22,2.2,971427,2354,3677,1839,306
Saudi Arabia,Saudi Telecom Company,420/01,5:00,-60,-11,2.47,4.87,2.83,11.7,778961,1.86,0.97,9.71,823182,47597,2887,1312,1220
United Arab Emirates,Etisalat(UAE),424/02,5:00,-82,-10,3.49,1.21,5.36,11.1,117284,0.98,4.67,0.24,347741,2257,21337,472,1089
Bahrain,Batelco,426/01,5:00,-83,-14,4.18,0.79,7.57,17.7,653454,1.49,2.14,4.22,974887,1388,25285,1450,1559
Qatar,Q-Tel,427/01,5:00,-85,-11,0.52,2.1,10.59,6.9,748090,5.5,1.93,1.92,241551,47701,25782,1275,153
Japan,NTT Docomo,440/10,5:00,-86,-6,5.14,2.99,7.71,9.4,872826,2.58,3.09,10.75,481519,7679,17063,3344,671
Japan,Soft Bank (Vodafone KK),440/20,5:00,-109,-16,1.35,5.25,2.06,10.6,593341,2.67,1.08,2.13,217518,17555,9496,2560,649
South Korea,LGT Telcom,450/06,5:00,-71,-15,5.48,4.37,2.56,14.2,149013,4.85,0.63,1.57,886266,34503,7171,4977,1271
South Korea,SK Telecom,450/05,5:00,-60,-8,2.24,4.16,1.8,5.6,697898,4.39,1.97,2.59,411700,35646,13520,1676,2487
Vietnam,Viettel,452/04,5:00,-88,-16,1.24,0.51,10.39,12.9,144787,1.76,5.1,8.54,593227,15296,10759,4342,2777
Vietnam,Vinaphone,452/02,5:00,-77,-15,3.69,2.51,6.49,10.7,330649,5.07,1.09,11.71,971353,32501,8480,2637,2202
Vietnam,Vietnam Mobile Telecom (VMS),452/01,5:00,-85,-14,4.66,5.19,7.56,11.8,932051,0.05,5.19,6.36,924678,42661,24947,4352,1265
Hongkong,CSL (C&W),454/00,5:00,-89,-13,1.16,3.52,9.79,19,310346,4.05,3.64,5.69,711279,2097,32497,3299,600
Hongkong,PCCW-HKT Telephone Limited,454/19,5:00,-68,-8,0.69,1.18,10.67,0.5,944206,2.02,2.16,8.56,439712,42181,29559,1246,422
Hongkong,China Mobile - Peoples,454/12,5:00,-72,-9,3.32,4.84,4.21,18.6,404432,2.44,5.35,8.97,662384,9992,40797,4446,1311
Hongkong,H3G(HONG KONG),454/03,5:00,-79,-13,3.67,0.93,2.72,13.6,254694,2.26,1.13,10.78,968087,47792,1157,4238,1326
Macao,Hutchison 3,455/03,5:00,-98,-7,4.93,4.86,4.97,9,587121,0.6,1.71,0.97,590540,12734,44387,1510,2681
Macao,CTM,455/01,5:00,-75,-6,3.59,3.24,9.75,18.8,494402,2.95,4.06,10.69,723180,19805,10628,977,1128
CAMBODIA,CamGSM Mobitel,456/01,5:00,-120,-14,2.8,4.3,1.02,8.4,576244,1.51,2.6,10.48,215563,19023,32287,1563,658
CAMBODIA,Viettel,456/08,5:00,-87,-6,1.95,5.45,6.16,8.3,535442,1.07,4.87,6.81,400914,6919,40370,4423,426
CAMBODIA,Latelz Co. Ltd,456/06,5:00,-68,-13,4.31,1.4,2.99,11.5,127899,5.43,5.24,8.02,816868,42442,2683,3138,1840
China,China Mobile,460/00,5:00,-77,-16,2.74,0.09,4.29,19.9,866490,1.24,2.34,8.98,984463,47095,25487,2573,2671
China,China Mobile,460/07,5:00,-89,-13,2.44,2.98,4.68,16.6,203342,2.89,0.33,2.91,867317,39828,7854,4491,630
China,China Mobile,460/02,5:00,-75,-6,4.13,2.06,11.88,14.4,852299,5.07,3.3,6.25,801068,16446,43699,2687,1444
China,China Unicom,460/01,5:00,-77,-6,3.12,1.62,4.71,4.5,965351,2.36,1.4,3.78,446939,31037,2207,1471,2815
Taiwan,Taiwan Mobile (ex TCC),466/97,5:00,-96,-13,1.26,3.66,6.78,1.4,969717,1.5,5.4,6.98,621596,40829,39944,1160,1952
Taiwan,Chunghwa Telecom,466/92,5:00,-116,-11,5.49,2.49,1.02,2.8,186282,3,5.47,10.72,249969,45088,44363,1066,1394
Taiwan,Fareastone,466/01,5:00,-97,-7,4.03,0.21,5.77,5.1,964866,5.18,2.22,5.31,420427,41831,33076,644,2764
Malaysia,Maxis,502/12,5:00,-95,-14,5.22,5.1,4.61,19.5,768219,2.39,4.24,11.6,119333,11932,29170,3216,1095
Malaysia,Celcom,502/19,5:00,-81,-12,2.56,0.9,5.83,18.2,966417,5.2,4.19,2.32,490835,49809,1922,2018,1900
Malaysia,U Mobile Sdn Bhd,502/18,5:00,-87,-14,0.29,4.68,8.73,12,499864,2.25,0.81,4.83,233933,29358,12799,4460,1767
Malaysia,DiGi  Telecommunication,502/16,5:00,-70,-6,4.69,5.28,6.1,16.2,335502,2.4,3.96,0.35,642467,32889,20535,2452,842
Australia,Optus,505/02,5:00,-62,-12,2.1,0.61,7.99,18.3,851034,0.61,5.28,2.16,608432,2849,38072,3331,2817
Australia,Telstra,505/01,5:00,-67,-12,5.31,4.84,11.81,5.7,586138,5.36,0.73,3.89,491266,46040,11875,2882,1357
Indonesia,Telkomsel,510/10,5:00,-82,-6,0.45,5.2,1.03,3.2,681870,2.54,0.09,11.17,762556,49186,23887,1326,2551
Indonesia,Hutchison,510/89,5:00,-87,-7,2.89,1.83,10.22,6.7,213139,4.41,1.17,2.22,977202,16154,31614,1395,583
Indonesia,Excelcom Indo,510/11,5:00,-98,-14,2.27,4.05,5.78,12.3,937655,4.83,2.35,1.61,696485,35200,32004,2309,2910
Philippines,Globetel,515/02,5:00,-120,-16,5.37,3.44,3.1,17.9,684554,2.87,4.23,2.1,603527,43856,1029,3913,28
Philippines,Digitel (Sun Cellular),515/05,5:00,-102,-10,2.5,3.59,11.86,6.6,600745,2.58,4.09,5.44,540214,34349,7439,3892,1759
Thailand,Advanced Wireless Network Company Ltd.,520/03,5:00,-103,-7,2.66,2.54,9.47,4.6,672221,4.64,1.01,11.51,417705,22560,20267,882,1272
Thailand,True Move  HSPA,520/00,5:00,-69,-12,3.99,4.46,3.86,18.5,411994,4.26,2.14,6.93,980728,11969,4447,1234,977
Thailand,Total Access (DTAC),520/05,5:00,-108,-9,1.74,0.13,3.39,19.2,832343,3.08,3.08,11.76,365291,12377,41920,2844,577
Singapore,Starhub,525/05,5:00,-99,-10,1.03,5.17,11.62,4.9,794676,1.43,5.5,5.85,544766,23931,47114,4894,2936
Singapore,Mobile One,525/03,5:00,-113,-16,4.18,2.98,0.56,17.6,772243,0.31,2.39,5.26,529647,37774,16815,4877,2662
Brunei,B-Mobile,528/02,5:00,-79,-9,5.38,4.23,10.29,11.4,329890,2.98,2.6,8.45,645778,2136,41822,2067,2000
Brunei,DST,528/11,5:00,-100,-13,2.98,5.01,8.25,3.2,205111,4.99,3.85,5.61,815012,43102,21623,4949,368
New Zealand,Telecom New Zealand,530/05,5:00,-66,-9,1.9,0.71,7.52,12.2,189167,2.87,0.37,2.67,696158,36312,45472,173,1676
New Zealand,Vodafone(NEW ZEALAND),530/01,5:00,-83,-10,0.24,1.75,3.61,9.9,689324,4.99,3.94,8.71,155483,42913,17914,1742,135
New Zealand,Two Degrees (NZ Communications),530/24,5:00,-101,-7,1.39,5.06,2.51,6,877661,1.77,4.8,9.64,203656,19330,8898,874,1549
Morocco,Itissalat Al Maghrib (Mobile GSM),604/01,5:00,-64,-11,5.3,2.32,10.29,9.1,444445,4.86,0.94,3.33,318871,47202,45277,3478,2516
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Netherlands,Vodafone(NETHERLANDS),204/04,6:00,-76,-9,4.97,0.53,7.69,8.9,930057,3.03,5.03,4.36,919432,29085,22422,2357,1731
Netherlands,T-mobile (ex Ben),204/16,6:00,-100,-14,5.28,2.22,3.41,11.7,160838,2.48,3.06,1.22,164419,11234,33152,3295,524
Netherlands,KPN (iBasis),204/08,6:00,-86,-16,1.59,2.48,9.69,5.9,615612,1.85,3.43,11.64,929267,19436,30156,1517,1708
Belgium,Belgacom Mobile,206/01,6:00,-113,-10,1.59,4.17,7.65,7.6,653539,0.11,0.45,10.97,970621,6767,29828,2575,114
France,Bouygues,208/20,6:00,-101,-14,5.14,5.15,11.28,3.4,809208,5.44,2.27,10.71,208601,44063,42009,129,1869
France,Free Mobile,208/15,6:00,-93,-10,2.89,2.55,10.9,6.4,661155,5.35,2.68,9.77,972778,38051,10892,3401,1702
France,SFR (Cegetel),208/10,6:00,-120,-13,2.31,2.64,6.5,4.7,114640,5.33,4,1.63,897996,13456,5195,2000,1537
Andorra,Mobiland/STA,213/03,6:00,-71,-9,1,2.28,6.85,4.1,547391,2.95,4.2,9.25,427413,42110,10692,3093,1397
Spain,Telefonica Moviles(SPAIN),214/07,6:00,-84,-8,0.38,4.63,6.68,2.5,123919,2.48,2.2,6.03,974418,8920,49146,2183,2836
Spain,Vodafone (AirTel),214/01,6:00,-77,-12,5.39,2.17,2.03,17.1,132868,4.92,1.92,10.6,178109,38314,30636,238,1061
Italy,TIM (Telecom Italia),222/01,6:00,-79,-16,1.76,2.59,11.05,7.1,526719,3.99,1.88,11.26,218406,45177,6638,2341,317
Italy,H3G(ITALY),222/99,6:00,-89,-12,3.03,0.62,2.48,17.4,927240,2.79,3.47,7.91,468031,2591,8699,4005,874
Italy,Vodafone Omnitel,222/10,6:00,-101,-10,4.79,2.56,10.12,14.4,480752,2.24,5.07,0.42,864120,30113,43282,4016,764
Switzerland,Swisscom,228/01,6:00,-85,-7,5.44,2.85,6.8,0.7,824315,0.38,0.79,11.39,627308,40850,30524,2305,2789
Switzerland,Sunrise DiAx,228/02,6:00,-110,-16,1.24,2.87,2.7,0.9,643544,0.1,3.2,1.11,488044,7879,14831,1149,1151
United Kingdom,Everything Everywhere,234/30,6:00,-75,-9,3.8,0.3,4.1,12.1,143947,4.61,2.39,3.51,428611,11910,23101,4918,1592
United Kingdom,Telefonica O2 (CellNet),234/10,6:00,-117,-12,2.06,3.95,10.08,12,580126,1.06,0.77,5.02,346200,33006,11448,2715,2172
United Kingdom,Jersey Telecom (JT-Wave),234/50,6:00,-76,-15,2.83,5.31,5.12,15.3,980201,0.66,4.32,0.35,499633,42725,6924,1885,982
United Kingdom,Everything Everywhere (ex-Orange),234/33,6:00,-68,-12,2.94,3.81,6.98,17.7,973922,4.54,0.39,6.9,563457,19681,45573,3293,2302
Sweden,Tele2 - Comviq,240/07,6:00,-65,-9,1.09,1.99,3.78,17.2,915661,2.94,4.46,10.96,889284,15153,39083,4865,2949
Sweden,"Telenor (Vodafone,Europolitn)",240/08,6:00,-118,-11,5.15,2.3,10.47,17.9,836464,3.86,3.03,1.78,306288,9514,49385,3721,626
Norway,NetCom TeliaSonera,242/02,6:00,-85,-8,2.43,1.59,6.31,14.4,422481,4.02,3.89,4.83,699321,33354,49517,1800,1747
Estonia,EMT,248/01,6:00,-69,-11,3.5,1.22,4.16,7.1,817188,0.72,5.14,10.23,614113,33976,1014,2560,649
Russia,Vimpelcom Beeline (KB Impuls),250/99,6:00,-75,-8,4.84,1.39,10.1,13.7,118117,1.69,3.85,4.51,479935,4549,39203,1247,1854
Poland,P4 Play,260/06,6:00,-115,-6,1.03,1.65,8.69,3.5,709708,3.8,0.38,7.96,850421,15365,7112,3801,1690
Germany,E-Plus,262/03,6:00,-97,-9,0.7,0.79,2.52,1.3,465980,1.05,0.44,10.91,535994,9167,47805,1871,1169
Germany,Telekom Deutschland (T-Mobile),262/01,6:00,-78,-14,3.84,0.69,3.36,16.4,472525,3.14,3.96,7.03,648227,31511,10313,3718,2647
Germany,Telefonica O2/viag,262/07,6:00,-119,-12,1.58,0.83,0.19,19.5,260633,2.15,2.57,11.61,993236,12005,7943,1396,2901
Portugal,TMN,268/06,6:00,-79,-12,3.33,1.36,11.49,3,204699,1.58,0.97,7.81,514931,49057,26556,2995,1986
Turkey,AVEA (IS-TIM Aria),286/03,6:00,-107,-7,0.74,0.09,7.57,7.1,734315,4.79,5.34,8.71,923520,39242,44698,2531,2540
MACEDONIA,T-Mobile (Mobimak),294/01,6:00,-119,-15,2.91,1.75,9.02,18.3,967096,4.22,2.84,2.65,458238,9055,5248,98,1805
Canada,Rogers Wireless,302/61,6:00,-118,-11,3.12,2.73,9.04,10.5,517466,3.45,2,10.92,404785,12831,41541,1202,2196
Canada,Rogers Wireless,302/22,6:00,-79,-11,3.16,4.6,9.23,17,336199,0.69,5.13,4.83,831149,18514,9464,4061,1087
United States of America ,AT&T,310/41,6:00,-89,-6,3.22,2.64,5.95,6.8,679988,0.79,0.18,8.9,522790,20225,47393,173,1163
United States of America ,T-Mobile,310/26,6:00,-88,-16,2.83,2.94,9.57,10.9,803476,4.73,4.3,5.86,299242,7103,5825,4744,2354
United States of America ,Southern Communications dba Southern LINC,310/15,6:00,-79,-15,2,2.5,6.15,13,407294,4.07,4.63,4.36,189353,48905,17712,4915,2514
Unted States,Verizon Wireless,311/48,6:00,-98,-15,0.92,1.04,7.38,2.4,174911,2.24,0.1,0.87,475285,40501,27086,817,1175
India,Airtel (Kolkata),404/31,6:00,-120,-10,2,1.91,3.69,18.9,358488,5.09,3.22,10.43,663722,11008,23410,3101,622
India,Airtel (Andhra Pradesh),404/49,6:00,-109,-11,0.46,0.6,11.96,6.4,772367,2.87,2.98,11.23,897397,33459,27822,1551,1420
India,Airtel (Mumbai),404/92,6:00,-111,-10,0.44,4.66,5.5,16.5,507380,1.37,2.17,6.95,982860,32402,7255,367,354
India,Airtel (Kerala),404/95,6:00,-112,-14,4.53,2.77,4.09,6.7,758215,1.42,0.71,4.84,580189,10983,33893,2857,1533
India,AirTel (Chennai),404/03,6:00,-84,-6,3.7,2.47,6.63,5.8,403436,2.65,2.94,0.71,275174,7428,1068,1067,6
India,Vodafone India (Mumbai) Hutchison Orange,404/20,6:00,-72,-11,4.65,0.28,4.04,9.4,157958,2.25,5.25,2.62,327183,17923,25314,4231,1615
India,Airtel (Karnataka),404/45,6:00,-110,-13,3.57,0.49,0.42,13.2,253400,0.43,3.41,5.69,972635,24444,5261,1366,136
India,Airtel (Maharashtra & Goa),404/90,6:00,-119,-6,3.2,2.72,3.8,4.4,324515,2.32,4.82,2.6,247703,17022,11735,3377,2876
India,India(404),404/94,6:00,-96,-8,0.91,0.8,7.52,3.2,255533,0.73,4.8,4.92,734142,43447,39301,3221,2568
India,AirTel (Chennai),404/02,6:00,-101,-14,0.56,0.15,11.1,1.9,409861,2.75,3.04,0.11,323179,11093,12695,3300,284
India,Airtel (Uttar Pradesh W),404/97,6:00,-101,-11,0.68,4.01,0.93,6.3,255375,1.43,1.02,4.14,749634,47364,35936,2473,2558
India,Vodafone (New Delhi) Hutchision Essar,404/11,6:00,-61,-14,1.74,2.8,11.77,11.9,723425,4.78,5.46,0.95,411223,12025,39188,3382,1838
India,AirTel (Chennai),404/40,6:00,-97,-16,3.79,3.89,11.28,3.9,236135,1.12,3.47,2.45,397209,38988,34707,3034,1171
India,"Airtel (Rajasthan),Hexacom",404/70,6:00,-88,-6,5.13,0.25,0.61,18,363587,1.61,5.41,6.61,389083,9817,43948,1340,769
India,Airtel (Madhya Pradesh),404/93,6:00,-114,-12,4.53,1.56,7.6,2.9,445699,3.21,1.41,8.43,685578,11679,17337,2675,1906
India,Airtel (Haryana),404/96,6:00,-61,-10,2.31,5.4,2.3,17.4,452274,1.37,0.37,7.84,365507,7042,9651,1376,1946
India,Airtel (Delhi),404/10,6:00,-118,-6,0.67,1.36,9.44,16.2,389115,1.83,4.18,5.84,541087,33120,49859,4112,2773
India(405),,405/52,6:00,-110,-12,0.57,4.29,10.75,17,708506,3.44,3.07,0.15,370780,5030,6372,1232,1799
India(405),"AirTel (Bharti-Televentures), Uttar Predesh East",405/54,6:00,-109,-10,4.16,4.08,5.78,5.4,152001,3.24,5.34,1.27,625212,25185,1472,2536,2456
India(405),"AirTel (Bharti-Televentures), Orissa",405/53,6:00,-102,-11,0.57,2.2,2.03,5.1,450900,0.33,2.71,2.85,921491,38526,46647,3369,2571
Sri Lanka,Bharti Airtel,413/05,6:00,-119,-9,2.61,3.5,3.88,14.1,442771,4.99,3.96,7.55,127125,49023,47046,1431,1292
Sri Lanka,Dialog Axiata (ex MTN),413/02,6:00,-84,-6,2.73,1.46,6.26,13.7,437655,1.78,0.66,10.64,848340,25667,9349,2475,553
Myanmar,Telenor Myanmar (Comcel Myanmar),414/06,6:00,-102,-9,2.67,4.22,8.41,11.7,384431,0.21,0.75,10.37,597807,19057,37734,1046,1561
Myanmar,Ooredoo Myanmar,414/05,6:00,-95,-6,0.48,0.82,11.28,14.8,813714,2.67,4.71,6.85,391017,49250,11339,3195,2396
Myanmar,Myanmar Post and Telecommunication,414/01,6:00,-91,-7,2.75,2.24,10.81,5.8,278239,4.06,2.84,5.41,396296,47638,17282,3761,2104
Saudi Arabia,Mobily,420/03,6:00,-90,-10,3.66,3.52,6.34,13.1,461294,1.33,0.92,3.31,125051,46302,24213,1125,348
Saudi Arabia,Saudi Telecom Company,420/01,6:00,-69,-14,2.79,1.78,5.72,7.6,564991,3.4,2.66,6.69,751838,35953,7808,3089,2165
United Arab Emirates,Etisalat(UAE),424/02,6:00,-116,-15,1.21,0.43,8.22,4.8,136348,4.4,5.04,5.54,509841,16726,6512,3404,1074
Bahrain,Batelco,426/01,6:00,-74,-10,1.19,3.28,2.19,4.8,100412,4.55,3.46,5.32,338072,27644,14441,1947,837
Qatar,Q-Tel,427/01,6:00,-66,-7,5.06,2.86,3.94,13.2,212609,0.42,5.38,5.29,778942,28864,21551,3173,2096
