,,,,Coverage,Quality,VoLTE,,,,,Data,,,,,,,
Vietnam,Vinaphone,452/02,9:05,-63,-16,4.94,4.39,4.66,3.4,493612,4.33,3.99,1.13,740157,4891,17021,1994,1762
Vietnam,Vietnam Mobile Telecom (VMS),452/01,9:05,-69,-12,0.57,2.91,10.19,2.1,839291,0.32,0.05,6.82,347056,28445,19240,3347,1570
Hongkong,CSL (C&W),454/00,9:05,-61,-9,3.42,0.34,9.07,5.5,292139,0.31,2.79,2.56,894712,10198,49196,448,520
Hongkong,PCCW-HKT Telephone Limited,454/19,9:05,-106,-7,3.82,0.44,4.98,12.6,831105,1.92,3.62,0.72,272383,40812,10308,957,1688
Hongkong,China Mobile - Peoples,454/12,9:05,-87,-15,0.41,4.15,0.06,16.9,256583,5.32,3.78,1.54,624125,9406,29026,883,780
Hongkong,H3G(HONG KONG),454/03,9:05,-82,-10,2.2,1.09,3.4,11.2,743779,4.26,4.77,7.5,219091,2444,42533,3438,2079
Macao,Hutchison 3,455/03,9:05,-95,-6,1.79,1.72,6.69,1.3,456709,3.49,0.58,4.06,637430,30148,34352,3362,653
Macao,CTM,455/01,9:05,-90,-8,2.98,4.09,6.65,8.5,179466,2.22,4.01,7.15,756185,1937,23717,3881,267
CAMBODIA,CamGSM Mobitel,456/01,9:05,-84,-9,2.52,1.67,7.7,15.1,196207,4.84,0.39,1.51,551496,26724,33405,1205,1144
CAMBODIA,Viettel,456/08,9:05,-88,-10,0.44,1.91,11.87,8.7,570353,2.81,4.77,10.02,481323,19066,24884,1703,1262
CAMBODIA,Latelz Co. Ltd,456/06,9:05,-65,-15,3.71,2.05,4.33,11.1,843761,1.84,0.39,7.35,627771,15629,36945,4524,1993
China,China Mobile,460/00,9:05,-108,-15,3,3.87,9.09,11.9,126248,4.28,0.76,4.32,800449,1553,35223,1040,2929
China,China Mobile,460/07,9:05,-104,-9,2.29,0.17,9.73,7.9,106285,3.44,3.92,1.92,681579,49315,1129,2461,446
China,China Mobile,460/02,9:05,-76,-15,3.16,5.34,4.52,7.8,927313,4.77,0.37,1.82,663378,39330,30473,1537,2460
China,China Unicom,460/01,9:05,-88,-16,3.8,4.22,8.67,17.6,115715,4.1,3.5,8.31,921030,7632,28084,3345,2877
Taiwan,Taiwan Mobile (ex TCC),466/97,9:05,-61,-13,5.35,4.37,4.06,14.7,618332,5.45,2.32,7.65,790340,8581,41044,330,1109
Taiwan,Chunghwa Telecom,466/92,9:05,-65,-10,2.39,1.98,9.29,14.3,159515,2.96,0.24,1.94,253182,43666,43823,541,2101
Taiwan,Fareastone,466/01,9:05,-110,-16,3.71,1.32,9.49,2.6,103738,0.93,3.52,11.98,886873,40686,15223,126,2154
Malaysia,Maxis,502/12,9:05,-101,-11,1.95,4.01,7.84,16.6,969474,2.15,0.43,1.69,928485,18733,19910,2842,591
Malaysia,Celcom,502/19,9:05,-112,-10,2.9,5.19,10.19,14.1,205818,3.38,0.98,7.8,616491,12829,44707,3783,239
Malaysia,U Mobile Sdn Bhd,502/18,9:05,-69,-11,3.76,4.45,7.22,8.1,300441,5.13,4.88,4.24,615287,6969,39285,2448,1138
Malaysia,DiGi  Telecommunication,502/16,9:05,-75,-10,0.34,0.4,2.4,7.1,593042,0.91,2.55,8.3,304739,15933,43728,3128,197
Australia,Optus,505/02,9:05,-114,-14,2.15,2.84,8.42,9.5,445872,4.75,0.37,0.65,693493,21335,3411,3196,2903
Australia,Telstra,505/01,9:05,-96,-15,2.66,2.49,11.97,4.5,553806,1.01,0.63,4.44,238790,34418,23933,3130,506
Indonesia,Telkomsel,510/10,9:05,-115,-7,4.14,1.98,2.87,16.4,458183,5.44,4.59,6.43,957895,22675,25793,2088,433
Indonesia,Hutchison,510/89,9:05,-69,-10,4.52,4.33,9.13,7.7,987915,2.6,4.21,8.58,678948,9922,42619,2445,678
Indonesia,Excelcom Indo,510/11,9:05,-112,-13,3.73,5.11,5.4,12.4,532436,0.48,1.87,6.3,265344,48463,41610,4361,619
Philippines,Globetel,515/02,9:05,-112,-7,3.38,4.31,8.16,3.9,352420,2.61,5.08,0.87,535027,34687,49886,1931,2349
Philippines,Digitel (Sun Cellular),515/05,9:05,-92,-8,3.9,5.13,4.59,11.8,871398,1.43,2.41,10.75,226781,42643,48071,1872,1256
Thailand,Advanced Wireless Network Company Ltd.,520/03,9:05,-79,-13,0.43,1.89,9.81,10.6,682093,2.51,4.49,2.2,370293,10198,34720,1032,2690
Thailand,True Move  HSPA,520/00,9:05,-119,-16,2.09,0.21,8.59,11.5,319231,3.4,0.19,4.49,849705,36223,33412,3966,1458
Thailand,Total Access (DTAC),520/05,9:05,-84,-13,3.09,4.44,0.64,9.9,512415,2.4,0.34,7.12,439074,20338,37568,3493,631
Singapore,Starhub,525/05,9:05,-93,-16,0.25,2.89,0.91,12.7,984256,4.6,3.42,1.57,170741,41519,42189,691,1625
Singapore,Mobile One,525/03,9:05,-114,-15,4.25,2.78,5.43,4.4,199840,3.14,3.47,7.28,327595,8136,47687,2798,1682
Brunei,B-Mobile,528/02,9:05,-99,-13,1.06,2.37,5.65,5.2,147689,0.83,2.18,6.74,200132,36368,47943,3761,1062
Brunei,DST,528/11,9:05,-99,-8,1.1,2.15,3.76,8.5,651929,1.63,3.05,11.95,840026,40457,11690,3816,1545
New Zealand,Telecom New Zealand,530/05,9:05,-68,-9,3.69,0.16,2.43,14.4,747996,1.63,1.15,9.71,197467,1597,25948,4862,1535
New Zealand,Vodafone(NEW ZEALAND),530/01,9:05,-68,-12,5.34,5.1,2.06,6.4,355202,0.74,3.75,2.53,236161,1536,33451,1994,1061
New Zealand,Two Degrees (NZ Communications),530/24,9:05,-66,-9,3.24,4.75,0.57,14,388524,4.7,0.66,8.67,744455,23649,29357,4178,1756
Morocco,Itissalat Al Maghrib (Mobile GSM),604/01,9:05,-112,-11,2.23,0.15,5.13,4.3,199284,5.29,0.53,7.79,486519,49940,47624,2219,2639
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Netherlands,Vodafone(NETHERLANDS),204/04,9:10,-68,-11,1.92,0.26,9.31,8.5,618268,3.74,3.7,10.5,574889,14818,36604,2891,2428
Netherlands,T-mobile (ex Ben),204/16,9:10,-85,-9,4.43,4.43,6.1,12.6,394650,1.67,2.78,10.6,873487,41609,32657,2241,571
Netherlands,KPN (iBasis),204/08,9:10,-119,-12,4.98,3.11,10.4,4.6,515554,1.59,3.95,3.56,312931,14019,48093,1197,2000
Belgium,Belgacom Mobile,206/01,9:10,-68,-13,1.01,1.15,0.34,15.7,483962,5.5,4.47,1.64,396538,33865,13123,2322,1596
France,Bouygues,208/20,9:10,-61,-9,5.45,2.15,5.05,12.7,932738,0.77,3.96,5,460805,48593,45913,4881,920
France,Free Mobile,208/15,9:10,-95,-11,5.37,5,9.59,17.9,214259,4.87,2.84,0.23,967373,21304,19572,4481,813
France,SFR (Cegetel),208/10,9:10,-65,-14,1.14,4.35,5.1,2,800257,2.67,2.06,3.32,879398,5757,24574,2846,550
Andorra,Mobiland/STA,213/03,9:10,-107,-13,3.03,0.7,8.86,4.5,478732,3.32,2.99,0.64,652860,12805,16353,3573,980
Spain,Telefonica Moviles(SPAIN),214/07,9:10,-113,-12,0.43,5.23,11.17,12.6,579201,2.1,3.92,0.75,994610,32814,37305,3406,2369
Spain,Vodafone (AirTel),214/01,9:10,-67,-13,4.6,5.41,3.68,2.2,489693,3.05,2.81,2.15,662038,34633,16097,2561,2142
Italy,TIM (Telecom Italia),222/01,9:10,-97,-14,2.83,1.04,2.52,15.6,895488,4.38,2.49,10.05,445389,8841,35511,1249,1482
Italy,H3G(ITALY),222/99,9:10,-100,-10,0.32,3.87,3.22,11.3,636471,4.23,1.49,0.29,713154,11325,42864,4571,1916
Italy,Vodafone Omnitel,222/10,9:10,-99,-10,1.55,3.34,5.25,10.5,949380,4.65,4.33,9.79,785588,25111,11953,978,150
Switzerland,Swisscom,228/01,9:10,-107,-12,3.67,4.33,6.76,16,643508,4.32,3.32,3.17,293531,37346,15916,4359,2734
Switzerland,Sunrise DiAx,228/02,9:10,-65,-15,3.18,3.26,4.45,13.8,636038,1.52,1.56,6.15,871372,40369,47761,78,1113
United Kingdom,Everything Everywhere,234/30,9:10,-73,-14,1.19,3.2,7.16,13.4,551941,2.76,3.19,8.83,793178,39814,3074,2589,76
United Kingdom,Telefonica O2 (CellNet),234/10,9:10,-61,-14,2.71,4.28,7.9,14.6,165138,0.27,1.47,1.32,990596,8911,44068,239,2266
United Kingdom,Jersey Telecom (JT-Wave),234/50,9:10,-119,-9,0.65,4.03,0.95,2.5,286556,4.91,3.73,9.71,891529,47355,13852,3890,1701
United Kingdom,Everything Everywhere (ex-Orange),234/33,9:10,-112,-16,2.31,2.41,1.84,11.3,100150,2.87,5.06,0.45,328597,48180,38281,4591,2672
Sweden,Tele2 - Comviq,240/07,9:10,-95,-11,2.22,4.37,8.19,18.5,462593,4.1,4.83,2.1,694367,13993,17072,3842,1688
Sweden,"Telenor (Vodafone,Europolitn)",240/08,9:10,-96,-8,0.14,3.91,11.5,19.6,502808,2.95,0.72,6.17,625444,39440,48324,1530,2207
Norway,NetCom TeliaSonera,242/02,9:10,-116,-14,3.02,1.34,10.25,11.4,212306,3.85,3.5,8.56,444829,2407,24901,268,2169
Estonia,EMT,248/01,9:10,-87,-15,0.45,0.51,8.66,18.4,842239,1.32,4.04,8.53,605863,36387,15226,2432,1877
Russia,Vimpelcom Beeline (KB Impuls),250/99,9:10,-61,-15,4.13,1.64,2.1,12.7,924666,2.96,2.23,5.33,530769,1115,42001,2561,1107
Poland,P4 Play,260/06,9:10,-116,-9,1.65,2.62,11.17,6.4,851655,0.96,3.38,11.75,890298,19501,28171,1649,1552
Germany,E-Plus,262/03,9:10,-74,-13,2.12,3.13,3.19,10.6,590708,0.25,4.13,5.52,159048,34739,48419,3325,1682
Germany,Telekom Deutschland (T-Mobile),262/01,9:10,-107,-13,2.15,1.51,9.16,6.4,267842,3.37,3.05,7.97,782198,11537,37513,1354,1915
Germany,Telefonica O2/viag,262/07,9:10,-95,-7,0.92,2.81,2.63,5.7,722556,4.23,0.17,7.58,952761,27598,10832,2042,1619
Portugal,TMN,268/06,9:10,-80,-6,4.45,2.06,11.67,5.3,544596,5.25,3.72,5.52,689293,46608,43973,1646,757
Turkey,AVEA (IS-TIM Aria),286/03,9:10,-68,-16,2.03,4.82,11.44,18.4,177314,1.94,0.69,9.26,695160,44892,21475,4438,2547
MACEDONIA,T-Mobile (Mobimak),294/01,9:10,-68,-6,4.25,0.19,9.2,12.9,900002,4.65,4.36,4.58,119457,49986,1153,1960,2257
Canada,Rogers Wireless,302/61,9:10,-120,-7,4.61,0.3,11.7,8.1,176115,3.97,1.97,6.95,725339,18906,15844,3121,2377
Canada,Rogers Wireless,302/22,9:10,-105,-8,3.41,3.84,11.55,8.2,132799,0.23,2.77,4.97,342033,5859,37130,1857,2488
United States of America ,AT&T,310/41,9:10,-107,-11,0.62,4.5,2.24,5.1,233684,4.9,4.28,3.2,975966,2483,47615,1031,2176
United States of America ,T-Mobile,310/26,9:10,-96,-12,4.32,2.69,1.24,13.3,295004,1.96,0.33,4.45,676303,2272,34545,783,1746
United States of America ,Southern Communications dba Southern LINC,310/15,9:10,-90,-10,3.95,1.28,10.59,6.8,907273,3.86,2.62,8.02,497788,7726,6923,2526,488
Unted States,Verizon Wireless,311/48,9:10,-107,-7,0.07,2.04,7.64,15.2,392625,0.91,5.43,8.55,781339,46261,29874,4517,2438
India,Airtel (Kolkata),404/31,9:10,-120,-15,1.25,1.53,6.26,13.4,109798,3.28,0.92,11.38,268116,24301,48618,2529,1892
India,Airtel (Andhra Pradesh),404/49,9:10,-73,-9,2.96,4.04,10.29,5.1,358907,5.45,3.29,4.23,536937,40403,13057,2865,1690
India,Airtel (Mumbai),404/92,9:10,-96,-14,2.31,1.07,0.68,10,813435,0.36,0.98,11.66,572449,10500,17189,2526,2666
India,Airtel (Kerala),404/95,9:10,-111,-7,2.29,1.68,4.79,13.7,130961,4.53,4.03,7.08,459110,40305,16370,4390,1631
India,AirTel (Chennai),404/03,9:10,-74,-6,1.81,2.08,3.73,13.9,764897,1.84,4.75,6.44,626559,22974,39082,981,1578
India,Vodafone India (Mumbai) Hutchison Orange,404/20,9:10,-98,-14,4.23,4.82,9.12,17.4,746749,4.54,2.79,8.3,759279,15496,43297,1359,925
India,Airtel (Karnataka),404/45,9:10,-64,-8,0.36,0.48,7.62,17.3,140239,4.21,4.76,11.25,144255,44317,30918,2058,1942
India,Airtel (Maharashtra & Goa),404/90,9:10,-110,-11,4.56,4.49,9.8,13.1,766642,2.8,4.55,5.59,108448,13205,26578,595,2787
India,India(404),404/94,9:10,-64,-10,0.23,3.51,7.55,12.3,911427,1.99,5.25,2.04,764513,21116,20301,1179,769
India,AirTel (Chennai),404/02,9:10,-70,-6,4.93,1.88,10.54,13.4,898949,4.19,4.29,8.86,976390,39005,21828,611,2397
India,Airtel (Uttar Pradesh W),404/97,9:10,-89,-7,4.3,1.22,11.49,3.3,717090,1.78,1.02,2.37,856248,7140,37217,4781,667
India,Vodafone (New Delhi) Hutchision Essar,404/11,9:10,-92,-8,1.65,1.91,7.29,16.8,970006,0.19,2.08,9.72,671465,10498,39957,3075,474
India,AirTel (Chennai),404/40,9:10,-75,-9,2.58,4.75,4.93,2.7,794785,0.33,1.67,6.31,961511,35934,24344,1792,2775
India,"Airtel (Rajasthan),Hexacom",404/70,9:10,-112,-15,2.78,3.7,6.03,3.8,738517,1.63,0.91,4.37,423402,39880,4464,4458,2119
India,Airtel (Madhya Pradesh),404/93,9:10,-78,-10,2.15,0.07,6.5,13.8,119557,0.42,1.92,11.05,463712,21082,37477,3498,1354
India,Airtel (Haryana),404/96,9:10,-68,-6,3.17,1.96,0.58,3.6,914156,1.74,2.56,5.59,997475,36963,6574,88,615
India,Airtel (Delhi),404/10,9:10,-86,-6,5.37,3.75,0.8,9.1,977722,4.2,5.22,0.72,388764,14520,41094,597,305
India(405),,405/52,9:10,-90,-11,4.12,0.46,7.41,7.3,993066,0.75,0.26,7.6,613512,28689,7137,1148,349
India(405),"AirTel (Bharti-Televentures), Uttar Predesh East",405/54,9:10,-71,-10,3.16,5.4,4.44,1,546421,0.22,1.74,5.72,810263,4996,19133,3045,1612
India(405),"AirTel (Bharti-Televentures), Orissa",405/53,9:10,-78,-13,2.16,0.89,5.62,5.3,977827,4.53,4.99,8.77,494058,19785,15614,275,2421
Sri Lanka,Bharti Airtel,413/05,9:10,-92,-10,1.48,3.46,9.06,15.4,205006,1.97,0.13,1.12,788045,18791,11662,4269,123
Sri Lanka,Dialog Axiata (ex MTN),413/02,9:10,-98,-9,5.1,0.79,11.26,11.5,263233,3.47,0.97,11.59,882329,5788,44491,4835,1425
Myanmar,Telenor Myanmar (Comcel Myanmar),414/06,9:10,-77,-14,1.49,4.16,9.31,11.5,506929,4.59,2.74,11.69,789064,15069,2050,663,290
Myanmar,Ooredoo Myanmar,414/05,9:10,-104,-7,2.48,5.21,10.59,19.9,987959,1.94,0.69,6.71,790803,29150,40405,4527,1893
Myanmar,Myanmar Post and Telecommunication,414/01,9:10,-102,-15,1.99,0.65,2.44,7.4,114330,1,3.88,7.42,771484,27234,19851,2362,1151
Saudi Arabia,Mobily,420/03,9:10,-106,-10,3.26,2.15,3.45,17.2,778705,3.71,4.5,3.83,456081,3192,24818,2961,191
Saudi Arabia,Saudi Telecom Company,420/01,9:10,-84,-9,3.86,1.36,5.93,12.2,475866,1.78,4.35,1.93,662798,34558,13413,296,2508
United Arab Emirates,Etisalat(UAE),424/02,9:10,-64,-15,1.53,2.75,6.33,5.3,940236,3.95,3.21,7.61,104975,26741,16465,409,2082
Bahrain,Batelco,426/01,9:10,-76,-13,0.75,0.1,11.94,14.8,192695,5.08,2.03,4.87,159233,36866,20279,2619,794
Qatar,Q-Tel,427/01,9:10,-95,-11,1.01,4.49,4.51,8.2,191826,3.12,1.45,4.36,276326,19919,22464,1220,980
Japan,NTT Docomo,440/10,9:10,-60,-6,1.48,5.38,10.08,14.4,657499,2.4,2.27,10.9,132612,19629,23307,3603,504
Japan,Soft Bank (Vodafone KK),440/20,9:10,-109,-12,5.44,5.11,5.56,19.1,586002,3.17,0.56,7.41,625669,5125,25433,4581,2076
South Korea,LGT Telcom,450/06,9:10,-79,-16,0.86,2.4,7.02,5.6,114811,5.36,2.97,11.46,428013,10463,12221,4614,2971
South Korea,SK Telecom,450/05,9:10,-93,-8,4.47,2.88,6.46,11.1,582459,2.14,3.96,7.14,305436,38971,36606,1014,327
Vietnam,Viettel,452/04,9:10,-97,-11,4.62,5.03,5.97,18.5,165050,1.89,2.72,0.32,310566,4616,15894,584,1494
Vietnam,Vinaphone,452/02,9:10,-64,-16,3.81,4.81,2.52,8.4,498776,5.25,2.1,5.01,631455,41617,43476,4618,2150
Vietnam,Vietnam Mobile Telecom (VMS),452/01,9:10,-111,-10,3.16,0.66,9.25,16.4,785194,4.56,3.96,4.15,525457,20562,14334,4889,2065
Hongkong,CSL (C&W),454/00,9:10,-81,-7,0.4,0.94,0.05,5.5,578668,3.34,2.75,1.9,262662,35253,28601,3215,1140
Hongkong,PCCW-HKT Telephone Limited,454/19,9:10,-68,-8,2.77,2.01,10.44,5.7,293661,3.5,2.05,3.35,798986,14122,18734,3276,1772
Hongkong,China Mobile - Peoples,454/12,9:10,-110,-9,2.72,3.55,1.63,2.9,127946,1.58,1.96,3.89,847245,35981,25001,4332,320
Hongkong,H3G(HONG KONG),454/03,9:10,-110,-9,4.57,1.28,10.17,2.6,764766,3.96,1.31,4.97,845861,49605,21195,3375,1154
Macao,Hutchison 3,455/03,9:10,-119,-15,4.13,3.16,5.12,13.7,890940,4.23,4.18,3,625352,33081,37582,3353,1389
Macao,CTM,455/01,9:10,-107,-11,1.54,3.34,11.54,5.5,702107,2.28,2.86,6.32,933345,14573,19945,919,1004
CAMBODIA,CamGSM Mobitel,456/01,9:10,-87,-8,0.68,2.32,9.86,6.5,211558,2.6,3.29,8.81,945050,3577,22660,59,1187
CAMBODIA,Viettel,456/08,9:10,-76,-11,0.29,1.21,3.91,5.9,129391,1.61,1.43,11.66,996832,37066,7895,1255,2437
CAMBODIA,Latelz Co. Ltd,456/06,9:10,-105,-10,4.67,4.81,7.22,0.7,261795,0.43,4.93,5.3,133074,29084,24899,1604,1647
China,China Mobile,460/00,9:10,-71,-7,3.19,0.39,6.54,16.3,628084,5.33,4.5,8.29,836080,33662,6924,2714,2439
China,China Mobile,460/07,9:10,-90,-15,0.13,1.21,9.94,8,337415,3.2,1.07,5.9,496284,17766,9524,4237,1898
China,China Mobile,460/02,9:10,-71,-13,1.75,1.15,2.08,12.9,783304,0.29,1.93,4.37,306183,9712,8861,4984,2592
China,China Unicom,460/01,9:10,-101,-6,3.56,0.23,9.56,15.2,268306,5.05,3.97,7.97,192810,23855,24238,2500,1113
Taiwan,Taiwan Mobile (ex TCC),466/97,9:10,-62,-12,3.49,5.46,1.57,0.5,107129,2.47,4.53,3.54,964773,7999,37690,1213,2954
Taiwan,Chunghwa Telecom,466/92,9:10,-98,-7,2.61,0.63,4.57,10.3,152243,0.33,1.27,6.08,664665,3343,13335,1844,1605
Taiwan,Fareastone,466/01,9:10,-66,-13,0.6,0.72,10.92,6.6,633457,3.18,1.78,4.4,787080,49339,42832,1905,1292
Malaysia,Maxis,502/12,9:10,-101,-15,2.83,4.37,7.53,5,359450,3.64,2.48,4.62,453533,27060,6718,3581,1549
Malaysia,Celcom,502/19,9:10,-72,-12,4.38,0.65,7.15,16.3,741143,0.51,5.27,6.51,918326,33900,40440,1299,951
Malaysia,U Mobile Sdn Bhd,502/18,9:10,-73,-13,2.37,5.23,9.99,6.6,161068,3.33,2.81,4.22,930197,40279,36189,4659,2294
Malaysia,DiGi  Telecommunication,502/16,9:10,-70,-11,0.11,1.55,6.13,2.8,355434,5.34,4.08,4,601034,1576,40319,3763,278
Australia,Optus,505/02,9:10,-105,-14,2.78,1.93,5.6,14.8,375458,4.16,3.55,8.85,296339,10342,21229,1930,2222
Australia,Telstra,505/01,9:10,-100,-12,4.57,1.78,6.31,1.8,717774,3.83,2.38,11.46,515533,6306,9876,1879,622
Indonesia,Telkomsel,510/10,9:10,-71,-14,5.23,0.49,7.54,0.6,305107,3.34,2.56,1.07,212377,8751,47476,2756,1688
Indonesia,Hutchison,510/89,9:10,-68,-8,5.38,0.23,1.83,12.7,132295,2.82,0.46,1.7,332717,30032,47823,520,1632
Indonesia,Excelcom Indo,510/11,9:10,-106,-14,4.02,1.67,9.27,5.2,401831,0.13,5.43,2.94,718345,44700,43165,1796,2026
Philippines,Globetel,515/02,9:10,-95,-9,3.69,4.16,2.03,18.5,551610,2.51,3.79,1.16,637793,38203,31547,4661,692
Philippines,Digitel (Sun Cellular),515/05,9:10,-108,-15,1.38,2.86,9.95,19.9,349659,2.05,0.66,0.16,988096,2402,17819,4504,2961
Thailand,Advanced Wireless Network Company Ltd.,520/03,9:10,-91,-7,2.6,1.69,3.31,9.1,473498,0.08,4.77,1.13,271954,2906,19504,304,1603
Thailand,True Move  HSPA,520/00,9:10,-73,-16,0.58,1.03,3.71,8.1,578327,1.72,1.34,8.16,100816,14991,18034,4603,807
Thailand,Total Access (DTAC),520/05,9:10,-83,-6,4.79,2.58,2.29,19.1,378990,3.02,1.79,1.96,770830,14893,7139,3421,463
Singapore,Starhub,525/05,9:10,-81,-7,4.68,3.76,8.54,9.6,290546,5.01,2.59,5.21,250921,9474,39977,1359,1483
Singapore,Mobile One,525/03,9:10,-103,-16,1.22,3.12,4,10.5,413504,5.29,5.45,4.32,587363,22430,30270,4547,2512
Brunei,B-Mobile,528/02,9:10,-104,-14,2.38,4.47,4.05,9.5,620800,3.33,4.79,4.83,405631,3162,40202,2826,476
Brunei,DST,528/11,9:10,-86,-15,4.97,4.4,2.67,8.6,658690,2.65,5.4,11.5,560865,8183,28546,4843,1808
New Zealand,Telecom New Zealand,530/05,9:10,-120,-16,2.26,1.35,6.91,10.5,927017,4.3,2.79,7.95,495333,12651,42417,3136,2622
New Zealand,Vodafone(NEW ZEALAND),530/01,9:10,-96,-7,0.36,4.81,10.36,17.1,726947,1.33,3.91,7.34,963525,39026,46925,966,376
New Zealand,Two Degrees (NZ Communications),530/24,9:10,-89,-14,4.12,0.07,3.62,6.5,204292,0.25,4.2,9.6,979612,27359,40804,3404,2245
Morocco,Itissalat Al Maghrib (Mobile GSM),604/01,9:10,-106,-16,0.21,0.84,9.36,1.7,639682,5.35,3.7,6.98,222150,6285,18175,1813,821
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Netherlands,Vodafone(NETHERLANDS),204/04,9:15,-101,-10,3.73,3.94,5.85,4.1,756795,5.32,2.25,10.3,563625,47800,45647,4530,2046
Netherlands,T-mobile (ex Ben),204/16,9:15,-64,-10,4.85,0.18,0.92,16.6,615630,5.11,3.44,10.05,148190,40480,10167,4663,2128
Netherlands,KPN (iBasis),204/08,9:15,-68,-7,2.98,0.78,4.12,10.6,300576,2.92,1.47,1.29,388300,35384,7059,2078,1493
Belgium,Belgacom Mobile,206/01,9:15,-97,-11,1.71,4.26,0.3,19.3,450679,3.28,2.09,10.76,373045,18934,23403,2545,1169
France,Bouygues,208/20,9:15,-87,-8,0.06,1.34,4.77,13.6,311588,4.38,3.98,9.13,200012,6696,49959,2604,1203
France,Free Mobile,208/15,9:15,-74,-16,2.08,3.97,5.86,8.8,415797,0.82,1.31,6.66,594279,6145,42996,3297,940
France,SFR (Cegetel),208/10,9:15,-81,-14,0.45,0.17,7.77,2.1,828618,3.29,3.35,6.8,401221,34239,24381,707,1019
Andorra,Mobiland/STA,213/03,9:15,-113,-15,0.44,2.86,0.69,10.4,183197,2.81,4.23,3.84,229286,20527,18627,1838,546
Spain,Telefonica Moviles(SPAIN),214/07,9:15,-83,-8,2.88,0.24,4.79,11.5,675271,4.56,0.3,2.82,574204,39663,47846,2002,900
Spain,Vodafone (AirTel),214/01,9:15,-113,-13,3.3,2.25,4.55,10.4,650615,3.2,5.2,11.01,423306,24710,4057,1973,2539
Italy,TIM (Telecom Italia),222/01,9:15,-83,-13,4.2,2.29,3.37,19.2,153406,2.82,3.72,5.13,825574,36611,20101,3217,365
Italy,H3G(ITALY),222/99,9:15,-103,-8,5.26,0.32,4.19,13,975514,2.28,1.63,2.86,331897,2410,37193,1903,2518
Italy,Vodafone Omnitel,222/10,9:15,-76,-6,3.88,2.78,8.66,10.6,504494,2.37,3.74,0.72,128046,16556,20670,3351,2799
Switzerland,Swisscom,228/01,9:15,-74,-13,5.18,2.06,2.37,5,913598,4.71,4.96,0.5,505664,27669,29844,1596,353
Switzerland,Sunrise DiAx,228/02,9:15,-103,-9,4.8,0.07,0.26,14.5,577334,0.28,0.21,7.13,484532,7830,41039,3055,2611
United Kingdom,Everything Everywhere,234/30,9:15,-84,-13,2.47,0.22,0.55,14,824558,5.11,0.76,10.07,168029,11656,22060,31,894
United Kingdom,Telefonica O2 (CellNet),234/10,9:15,-70,-16,2.22,4.85,11.48,12,788710,4.19,2.79,11.71,809714,37476,49340,1009,1535
United Kingdom,Jersey Telecom (JT-Wave),234/50,9:15,-95,-10,4.55,1.12,1.87,18.5,849393,5.45,3.3,1.96,450879,17972,12500,2902,2634
United Kingdom,Everything Everywhere (ex-Orange),234/33,9:15,-60,-11,4.08,3.71,1.23,17.3,179637,4.32,2.13,1.15,663138,35075,28322,2610,2008
Sweden,Tele2 - Comviq,240/07,9:15,-100,-13,2.9,4.27,1.23,7.6,931514,4.85,1.62,2.24,429383,34225,17293,2009,1037
Sweden,"Telenor (Vodafone,Europolitn)",240/08,9:15,-115,-16,0.38,2.95,9.58,12.4,298393,2.99,1.06,0.16,936111,3816,6136,1454,2512
Norway,NetCom TeliaSonera,242/02,9:15,-100,-13,0.42,2.79,10.84,4.4,163021,0.74,4.26,3.21,490022,31302,18959,3563,1309
Estonia,EMT,248/01,9:15,-117,-6,5.04,4.92,1.92,7.9,995697,0.34,4.28,8.01,675762,15395,16321,1027,2102
Russia,Vimpelcom Beeline (KB Impuls),250/99,9:15,-87,-8,1.53,2.84,5.19,12.6,141856,2.21,0.29,0.76,704206,34477,36442,1527,868
Poland,P4 Play,260/06,9:15,-78,-9,5.16,1.34,7.28,2.1,332777,0.88,1.31,3.51,224949,20334,45522,1992,1013
Germany,E-Plus,262/03,9:15,-109,-13,1,1.26,6.92,16.8,513515,4.18,4.92,8.14,232225,17565,16822,1883,2487
Germany,Telekom Deutschland (T-Mobile),262/01,9:15,-67,-10,1.11,1.96,7.79,9.6,212976,1.23,2.4,9.2,220127,14834,11509,3538,2978
Germany,Telefonica O2/viag,262/07,9:15,-71,-14,3.99,4.21,9.33,7.6,311438,5.35,4.52,4.97,830447,39388,6027,2385,1083
Portugal,TMN,268/06,9:15,-105,-6,5.16,3.7,10.44,17.6,652813,2.84,4.58,5.43,455659,38077,3000,684,2921
Turkey,AVEA (IS-TIM Aria),286/03,9:15,-114,-9,3.94,2.81,9.29,16.5,353403,1.89,4.45,10.42,461390,38845,24730,1305,1664
MACEDONIA,T-Mobile (Mobimak),294/01,9:15,-87,-6,1.48,1.61,10.45,10.3,984815,0.66,4.92,8.63,151065,48581,45447,676,2557
Canada,Rogers Wireless,302/61,9:15,-89,-10,0.32,3.94,3.19,2.4,652968,0.81,3.27,5.79,675963,17854,3326,4735,2103
Canada,Rogers Wireless,302/22,9:15,-86,-15,2.86,0.93,7.56,5.9,223477,3.13,0.3,3.77,141225,22133,43875,3846,1258
United States of America ,AT&T,310/41,9:15,-80,-10,3.96,0.7,0.5,13.2,249607,1.92,3.09,11.41,467365,34887,44261,4420,9
