Countries,States,Time,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (KB),Data UL Throughput (KB)
Anoka,Minnesota,9:15,-70.42,-7.26,0.03,0.06,0.04,0.67,737097,0.01,0.1,0.03,918832,30700,30271,1086
Becker,Minnesota,9:15,-61.31,-6.88,0.04,0.03,0.04,0.11,324889,0.08,0.1,0.06,251236,15806,29373,4496
Beltrami,Minnesota,9:15,-60.13,-6.82,0.01,0.05,0.06,0.16,860043,0.01,0.08,0.03,555061,33064,10869,832
Benton,Minnesota,9:15,-75.43,-7.68,0.1,0.09,0.1,0.89,647283,0.09,0.09,0.02,228093,26986,14483,2289
Big Stone,Minnesota,9:15,-60.52,-7.5,0.05,0.1,0.06,0.07,937262,0.01,0.08,0.02,694305,3944,26100,3370
Blue Earth,Minnesota,9:15,-71.91,-6.26,0.08,0.01,0.04,0.01,349858,0.01,0.06,0.08,133445,25893,1720,2436
Brown,Minnesota,9:15,-74.61,-7.19,0.05,0.07,0.08,0.76,359813,0.02,0.05,0.06,347399,14724,36449,990
Carlton,Minnesota,9:15,-63.38,-6.23,0.02,0.06,0.07,0.95,890979,0.03,0.08,0.09,889089,20024,18553,824
Carver,Minnesota,9:15,-65.43,-7.63,0.06,0.04,0.07,0.15,112978,0.02,0.05,0.07,111095,8962,40542,22
Cass,Minnesota,9:15,-63.18,-6.34,0.06,0.05,0.05,0.88,811254,0.04,0.07,0.07,157763,37926,49678,484
Chippewa,Minnesota,9:15,-65.2,-6.08,0.03,0.03,0.09,0.86,558156,0.04,0.1,0.1,983857,42211,2479,1834
Chisago,Minnesota,9:15,-63.76,-7.58,0.07,0.1,0.09,0.56,708522,0.05,0.08,0.08,756354,15189,46944,3230
Clay,Minnesota,9:15,-60.83,-6.45,0.03,0.06,0.07,0.42,769289,0.01,0.1,0.07,213400,3892,17133,2017
Clearwater,Minnesota,9:15,-71.66,-7.29,0.06,0.06,0.01,0.04,683487,0.01,0.07,0.03,393564,7508,46633,2024
Cook,Minnesota,9:15,-67.46,-7.58,0.03,0.09,0.1,0.71,415448,0.07,0.1,0.1,307215,19442,43635,1823
Cottonwood,Minnesota,9:15,-70.9,-7.73,0.07,0.04,0.06,0.87,683273,0.08,0.02,0.05,450102,26035,3567,2683
Crow Wing,Minnesota,9:15,-67.05,-7.36,0.06,0.03,0.09,0.24,670969,0.08,0.09,0.07,974106,25606,44512,2810
Dakota,Minnesota,9:15,-67.11,-6.96,0.02,0.07,0.09,0.11,838464,0.09,0.01,0.03,996625,20635,4066,477
Dodge,Minnesota,9:15,-70.81,-6.7,0.06,0.02,0.08,0.66,619252,0.08,0.08,0.04,624592,19770,2854,3077
Douglas,Minnesota,9:15,-61.75,-7.9,0.03,0.01,0.07,0.1,579517,0.09,0.08,0.1,648586,22747,44258,4575
Faribault,Minnesota,9:15,-70.08,-7.14,0.03,0.06,0.05,0.37,844741,0.07,0.04,0.06,294550,19495,12768,2515
Fillmore,Minnesota,9:15,-60.69,-6.09,0.05,0.02,0.08,0.94,507925,0.01,0.1,0.02,127292,34863,10665,2638
Freeborn,Minnesota,9:15,-73.6,-7.45,0.03,0.09,0.09,0.85,944858,0.06,0.01,0.08,396591,43114,11977,685
Goodhue,Minnesota,9:15,-62.82,-6.43,0.09,0.07,0.01,0.6,992113,0.05,0.06,0.07,613505,38644,28505,2592
Grant,Minnesota,9:15,-64.76,-6.77,0.03,0.06,0.05,0.03,768391,0.1,0.03,0.07,613626,31348,2775,3791
Hennepin,Minnesota,9:15,-63.28,-7.37,0.1,0.03,0.06,0.83,490014,0.01,0.03,0.09,798864,49307,12488,2431
Houston,Minnesota,9:15,-70.75,-6,0.08,0.07,0.04,0.56,677592,0.05,0.06,0.1,352755,20452,20173,1256
Hubbard,Minnesota,9:15,-68.87,-7.42,0.08,0.01,0.06,0.03,114119,0.03,0.04,0.06,149306,11201,44488,3262
Isanti,Minnesota,9:15,-74.72,-6.29,0.08,0.01,0.02,0.81,276452,0.01,0.05,0.09,332854,42020,4602,3061
Itasca,Minnesota,9:15,-69.65,-7.02,0.09,0.07,0.07,0.5,609664,0.07,0.02,0.02,665249,11926,33489,1584
Jackson,Minnesota,9:15,-61.2,-6.37,0.03,0.05,0.09,0.46,902645,0.09,0.01,0.04,790216,7967,49627,1131
Kanabec,Minnesota,9:15,-66.9,-6.73,0.06,0.01,0.01,0.07,622045,0.07,0.01,0.08,743500,19310,23227,869
Kandiyohi,Minnesota,9:15,-70.58,-7.87,0.07,0.02,0.1,0.54,556089,0.03,0.08,0.1,389368,2190,6465,3765
Kittson,Minnesota,9:15,-70.67,-7.09,0.08,0.06,0.01,0.97,339722,0.05,0.03,0.06,562204,25264,49311,3079
Koochiching,Minnesota,9:15,-68.39,-7.78,0.06,0.01,0.03,0.82,692585,0.08,0.04,0.1,798759,22222,8276,3470
Lac qui Parle,Minnesota,9:15,-70.49,-7.24,0.06,0.02,0.1,0.84,407788,0.07,0.02,0.02,638804,25710,18822,672
Lake,Minnesota,9:15,-62.07,-7.08,0.05,0.05,0.01,0.68,676664,0.1,0.06,0.01,164814,14898,8683,1656
Lake of the Woods,Minnesota,9:15,-65.74,-6.61,0.05,0.03,0.07,0.5,155884,0.04,0.02,0.05,191193,22580,26512,4421
Le Sueur,Minnesota,9:15,-63.24,-6.07,0.02,0.01,0.07,0.77,575159,0.07,0.08,0.08,202562,28631,1082,3354
Lincoln,Minnesota,9:15,-74.53,-7.79,0.01,0.07,0.07,0.99,800198,0.1,0.03,0.07,933347,42370,3789,1389
Lyon,Minnesota,9:15,-69.13,-6.38,0.08,0.01,0.1,0.83,285132,0.08,0.08,0.08,922754,23007,10388,4252
McLeod,Minnesota,9:15,-63.29,-7.33,0.07,0.05,0.1,0.58,238388,0.09,0.09,0.07,233406,22370,27283,3843
Mahnomen,Minnesota,9:15,-71.84,-7,0.07,0.1,0.06,0.35,634436,0.04,0.06,0.02,618470,35422,31605,3706
Marshall,Minnesota,9:15,-60.66,-7.29,0.07,0.09,0.01,0.25,668230,0.06,0.08,0.1,754010,39251,39161,4283
Martin,Minnesota,9:15,-74.12,-7.56,0.07,0.06,0.03,0.03,675283,0.06,0.06,0.05,543117,5989,48241,3146
Meeker,Minnesota,9:15,-68.32,-7.75,0.02,0.02,0.1,0.42,828945,0.01,0.01,0.05,704986,20719,34243,834
Mille Lacs,Minnesota,9:15,-73.85,-6.23,0.03,0.1,0.06,0.96,456518,0.04,0.04,0.04,548054,10112,10740,2522
Morrison,Minnesota,9:15,-62.63,-7.78,0.1,0.04,0.06,0.59,874447,0.02,0.01,0.03,253510,48438,24850,712
Mower,Minnesota,9:15,-68.41,-6.14,0.07,0.03,0.04,0.81,902473,0.1,0.02,0.08,235206,40375,48651,2779
Murray,Minnesota,9:15,-66.77,-6.24,0.02,0.03,0.02,0.3,469056,0.06,0.08,0.05,698984,3549,38710,397
Nicollet,Minnesota,9:15,-67.62,-7.4,0.03,0.03,0.04,0.58,761117,0.04,0.02,0.02,261398,19065,31415,2170
Nobles,Minnesota,9:15,-67.91,-7.19,0.01,0.06,0.1,0.3,898737,0.1,0.09,0.05,169824,8620,30708,3728
Norman,Minnesota,9:15,-74.48,-6.4,0.07,0.04,0.05,0.82,375396,0.08,0.05,0.02,736749,32021,26003,2603
Olmsted,Minnesota,9:15,-60.81,-7.16,0.1,0.02,0.03,0.57,646462,0.09,0.01,0.07,615318,12931,32951,2499
Otter Tail,Minnesota,9:15,-65.84,-7.09,0.05,0.05,0.01,0.92,162817,0.02,0.05,0.07,898250,12287,6953,3722
Pennington,Minnesota,9:15,-63.12,-6.54,0.08,0.1,0.02,0.08,295919,0.04,0.05,0.02,925972,39396,4397,3012
Pine,Minnesota,9:15,-67.32,-6.78,0.04,0.05,0.02,0.56,901999,0.01,0.09,0.01,940267,8695,37425,1504
Pipestone,Minnesota,9:15,-73.92,-7.67,0.02,0.1,0.02,0.48,760665,0.07,0.02,0.02,277608,6918,16446,973
Polk,Minnesota,9:15,-74.39,-7.97,0.05,0.05,0.06,0.59,822798,0.09,0.04,0.04,232688,40957,46615,4084
Pope,Minnesota,9:15,-67.67,-7.88,0.05,0.08,0.1,0.3,320114,0.05,0.1,0.07,516525,19945,15163,4544
Ramsey,Minnesota,9:15,-62.63,-6.53,0.06,0.08,0.05,0.53,533484,0.03,0.05,0.06,887466,26991,36432,2335
Red Lake,Minnesota,9:15,-68.65,-7.04,0.01,0.1,0.05,0.77,504542,0.08,0.07,0.02,228570,43089,17127,1297
Redwood,Minnesota,9:15,-68.51,-7.53,0.01,0.09,0.03,0.25,838588,0.02,0.04,0.02,414953,35805,18294,2858
Renville,Minnesota,9:15,-67.06,-7.78,0.01,0.01,0.07,0.87,325428,0.03,0.07,0.06,256811,40234,40720,1579
Rice,Minnesota,9:15,-63.41,-6.02,0.08,0.02,0.06,0.9,963106,0.04,0.03,0.04,321373,35463,7682,4116
Rock,Minnesota,9:15,-67.62,-7.91,0.07,0.08,0.09,0.95,799284,0.04,0.05,0.03,217159,2684,43044,1346
Roseau,Minnesota,9:15,-74.76,-6.8,0.04,0.01,0.07,0.55,875859,0.08,0.02,0.07,851376,6600,17131,699
St. Louis,Minnesota,9:15,-66.36,-7.56,0.01,0.08,0.09,0.41,464520,0.04,0.04,0.08,668152,49633,38737,4225
Scott,Minnesota,9:15,-63.06,-6.65,0.1,0.01,0.01,0.5,763658,0.1,0.04,0.09,129547,33388,46753,3644
Sherburne,Minnesota,9:15,-73.09,-7.89,0.03,0.05,0.1,0.32,835475,0.03,0.1,0.05,791068,1156,48532,480
Sibley,Minnesota,9:15,-69.63,-7.97,0.04,0.02,0.03,0.74,801980,0.04,0.02,0.02,211032,47490,24998,733
Stearns,Minnesota,9:15,-74.57,-7.46,0.1,0.03,0.09,0.89,575781,0.02,0.08,0.01,192321,41736,47378,1316
Steele,Minnesota,9:15,-62.96,-6.21,0.1,0.04,0.02,0.7,592737,0.06,0.03,0.08,248308,37231,25002,2919
Stevens,Minnesota,9:15,-65.79,-6.93,0.02,0.09,0.06,0.9,658855,0.05,0.08,0.03,492510,48510,22861,1523
Swift,Minnesota,9:15,-71.78,-7.78,0.08,0.08,0.02,0.48,735706,0.1,0.08,0.04,576653,4849,19566,4836
Todd,Minnesota,9:15,-67.66,-7.27,0.06,0.02,0.07,0.63,981512,0.01,0.02,0.08,994084,37932,39081,1366
Traverse,Minnesota,9:15,-63.98,-7.37,0.01,0.09,0.1,0.47,925053,0.06,0.1,0.06,613397,6749,37151,4613
Wabasha,Minnesota,9:15,-62.65,-6.17,0.08,0.06,0.03,0.89,115260,0.01,0.03,0.02,985075,28648,29072,4840
Wadena,Minnesota,9:15,-68.98,-6.71,0.09,0.04,0.02,0.7,308027,0.03,0.08,0.07,458631,4643,10969,3825
Waseca,Minnesota,9:15,-71.66,-6.74,0.06,0.09,0.03,0.32,947439,0.01,0.1,0.08,137261,1179,21305,1508
Washington,Minnesota,9:15,-66.38,-7.89,0.08,0.06,0.1,0.68,131822,0.01,0.04,0.1,421306,9596,41321,3086
Watonwan,Minnesota,9:15,-73.61,-6.7,0.09,0.03,0.01,0.97,631334,0.01,0.08,0.09,270611,33708,17371,3610
Wilkin,Minnesota,9:15,-75.02,-7.48,0.1,0.03,0.1,0.07,662556,0.02,0.01,0.09,662685,19456,13239,565
Winona,Minnesota,9:15,-62.6,-7.48,0.04,0.05,0.04,0.35,246574,0.01,0.09,0.08,865718,42320,7681,3210
Wright,Minnesota,9:15,-67.71,-6.49,0.02,0.02,0.04,0.52,779759,0.04,0.1,0.03,511271,20673,14607,2794
Yellow Medicine,Minnesota,9:15,-68.49,-6.1,0.06,0.01,0.09,0.53,512300,0.05,0.07,0.04,156538,39248,19862,2001
Adams,Mississippi,9:15,-72.76,-6.14,0.08,0.05,0.1,0.45,162926,0.04,0.06,0.1,265061,12354,13830,407
Alcorn,Mississippi,9:15,-66.04,-7.72,0.03,0.1,0.05,0.85,288871,0.04,0.02,0.03,324304,29131,19531,1226
Amite,Mississippi,9:15,-60.57,-7.75,0.05,0.01,0.08,0.15,567258,0.02,0.01,0.09,654553,30415,41327,3171
Attala,Mississippi,9:15,-60.81,-7.34,0.09,0.08,0.07,0.77,276309,0.05,0.07,0.05,723595,9014,30900,3997
Benton,Mississippi,9:15,-65.69,-7.57,0.04,0.05,0.1,0.72,951546,0.09,0.01,0.01,826339,12005,46577,2261
Bolivar,Mississippi,9:15,-74.17,-7.49,0.09,0.03,0.01,0.98,541759,0.05,0.08,0.02,647633,16075,43662,1741
Calhoun,Mississippi,9:15,-68.62,-6.32,0.03,0.07,0.07,0.72,753045,0.05,0.07,0.02,669676,39451,33877,3389
Carroll,Mississippi,9:15,-62.5,-7.97,0.09,0.03,0.02,0.67,394379,0.07,0.04,0.06,984312,39298,2206,4082
Chickasaw,Mississippi,9:15,-74.76,-6.45,0.03,0.08,0.05,0.2,826637,0.06,0.03,0.05,996219,22661,31099,4997
Choctaw,Mississippi,9:15,-66.84,-6.16,0.09,0.09,0.08,0.69,777352,0.05,0.06,0.01,606564,1668,25486,4114
Claiborne,Mississippi,9:15,-62.24,-7.41,0.01,0.05,0.09,0.85,448206,0.1,0.01,0.06,317563,35992,47352,2660
Clarke,Mississippi,9:15,-74.21,-7.5,0.06,0.02,0.01,0.66,645800,0.02,0.06,0.03,999001,18832,34278,1896
Clay,Mississippi,9:15,-75.68,-6.9,0.1,0.02,0.09,0.61,853275,0.05,0.06,0.09,181840,45813,14582,4300
Coahoma,Mississippi,9:15,-64.45,-6.98,0.01,0.01,0.02,0.19,229898,0.05,0.08,0.08,779842,1758,23739,835
Copiah,Mississippi,9:15,-65.87,-7.53,0.06,0.08,0.01,0.68,604253,0.1,0.01,0.02,449974,26790,25363,2577
Covington,Mississippi,9:15,-65.37,-6.27,0.06,0.08,0.08,0.63,984587,0.04,0.04,0.04,866124,44008,31205,1449
DeSoto,Mississippi,9:15,-73.26,-6.76,0.07,0.02,0.02,0.53,716250,0.01,0.07,0.05,508643,41423,16270,3290
Forrest,Mississippi,9:15,-68.1,-7.27,0.1,0.09,0.08,0.1,457975,0.02,0.05,0.08,407315,11440,5102,2281
Franklin,Mississippi,9:15,-70,-7.65,0.06,0.01,0.06,0.4,158981,0.04,0.08,0.1,593066,20285,12205,3271
George,Mississippi,9:15,-63.23,-6.36,0.07,0.09,0.01,0.67,889639,0.03,0.08,0.04,487393,17572,39875,656
Greene,Mississippi,9:15,-64.24,-6.28,0.04,0.08,0.04,0.36,878146,0.09,0.05,0.07,279513,11702,49703,2917
Grenada,Mississippi,9:15,-66.25,-6.26,0.02,0.01,0.02,0.49,288323,0.04,0.02,0.06,619410,14246,40695,518
Hancock,Mississippi,9:15,-75.12,-7.69,0.02,0.01,0.09,0.07,979205,0.08,0.09,0.02,178165,23517,26740,1736
Harrison,Mississippi,9:15,-60.14,-6.51,0.08,0.01,0.08,0.99,592171,0.09,0.05,0.08,181118,27450,22337,3813
Hinds,Mississippi,9:15,-72.22,-7.66,0.02,0.01,0.02,0.45,793819,0.03,0.05,0.06,239635,34302,34753,1866
Holmes,Mississippi,9:15,-74.97,-8,0.1,0.08,0.01,0.89,423914,0.03,0.03,0.02,940563,15111,12682,4523
Humphreys,Mississippi,9:15,-62.01,-6.88,0.04,0.09,0.01,0.07,665187,0.05,0.09,0.05,821883,4019,33010,4113
Issaquena,Mississippi,9:15,-64.1,-7.66,0.03,0.08,0.06,0.41,327651,0.09,0.03,0.07,700989,20195,16184,2016
Itawamba,Mississippi,9:15,-70.86,-6.76,0.01,0.01,0.09,0.27,449080,0.04,0.06,0.08,325042,34727,27668,3977
Jackson,Mississippi,9:15,-75.06,-7.87,0.03,0.03,0.04,0.03,457125,0.01,0.1,0.1,414329,13401,3822,2746
Jasper,Mississippi,9:15,-75.87,-6.51,0.04,0.09,0.09,0.05,350724,0.03,0.05,0.09,910775,22298,45819,4979
Jefferson,Mississippi,9:15,-73.29,-6.16,0.06,0.02,0.02,0.62,662412,0.06,0.09,0.08,577156,29945,3053,2357
Jefferson Davis,Mississippi,9:15,-71.27,-7.73,0.04,0.07,0.03,0.67,494405,0.1,0.09,0.01,965678,46589,30211,3289
Jones,Mississippi,9:15,-66.12,-6.13,0.09,0.1,0.02,0.58,100171,0.02,0.04,0.01,184587,8270,3268,4488
Kemper,Mississippi,9:15,-72.89,-6.76,0.03,0.03,0.02,0.85,237082,0.02,0.02,0.04,533129,8623,27775,3362
Lafayette,Mississippi,9:15,-65.64,-6.61,0.08,0.01,0.06,0.51,426868,0.1,0.02,0.01,873122,18835,20994,3522
Lamar,Mississippi,9:15,-76,-7.41,0.05,0.05,0.03,0.53,820116,0.07,0.04,0.06,179217,33698,13177,631
Lauderdale,Mississippi,9:15,-68.85,-7.54,0.09,0.1,0.1,0.53,223072,0.08,0.08,0.06,279721,19580,38300,3560
Lawrence,Mississippi,9:15,-74.37,-7.44,0.09,0.09,0.09,0.23,699864,0.07,0.08,0.04,538630,10627,45586,3282
Leake,Mississippi,9:15,-73.51,-7.12,0.05,0.03,0.06,0.43,700659,0.05,0.07,0.07,728748,43689,39422,3836
Lee,Mississippi,9:15,-60.1,-7.26,0.1,0.06,0.1,0.84,135375,0.07,0.09,0.08,980695,30026,9767,3747
Leflore,Mississippi,9:15,-66.55,-7.18,0.08,0.08,0.1,0.71,551748,0.03,0.08,0.02,571550,49269,18731,879
Lincoln,Mississippi,9:15,-67.34,-7.45,0.04,0.01,0.06,0.38,935611,0.09,0.06,0.06,807616,4205,27935,2197
Lowndes,Mississippi,9:15,-74.64,-6.32,0.08,0.07,0.09,0.51,940698,0.04,0.06,0.03,488362,44502,7225,4363
Madison,Mississippi,9:15,-60.39,-7.87,0.07,0.03,0.03,0.61,542292,0.01,0.02,0.1,231222,28285,1986,4709
Marion,Mississippi,9:15,-64.77,-6.09,0.04,0.02,0.07,0.01,506949,0.08,0.04,0.07,605030,44295,42121,4486
Marshall,Mississippi,9:15,-61.7,-7.38,0.02,0.05,0.1,0.35,955505,0.05,0.06,0.04,256719,11970,33598,2880
Monroe,Mississippi,9:15,-66.96,-7.9,0.02,0.01,0.05,0.21,120109,0.06,0.08,0.05,363970,1836,45520,630
Montgomery,Mississippi,9:15,-63.92,-7.35,0.04,0.02,0.06,0.65,450523,0.1,0.07,0.02,657200,4890,22396,4674
Neshoba,Mississippi,9:15,-61.87,-7.12,0.07,0.08,0.1,0.2,399691,0.01,0.08,0.04,643367,15242,6604,3862
Newton,Mississippi,9:15,-74.07,-6.98,0.01,0.02,0.09,0.39,915365,0.08,0.07,0.01,338297,46111,8890,3853
Noxubee,Mississippi,9:15,-69.3,-6.17,0.1,0.04,0.02,0.19,283368,0.08,0.1,0.02,839618,14660,15782,328
Oktibbeha,Mississippi,9:15,-67.6,-6.95,0.07,0.1,0.08,0.01,491837,0.07,0.01,0.02,227478,38900,28924,2761
Panola,Mississippi,9:15,-69.7,-6.25,0.02,0.08,0.05,0.05,781208,0.04,0.09,0.09,606253,1090,17331,1311
Pearl River,Mississippi,9:15,-63.58,-6.1,0.07,0.06,0.08,0.01,791884,0.09,0.03,0.08,180331,28621,22205,342
Perry,Mississippi,9:15,-65.76,-6.48,0.05,0.03,0.01,0.1,163211,0.04,0.09,0.05,839393,22050,1147,744
Pike,Mississippi,9:15,-61.74,-6.76,0.09,0.02,0.09,0.39,843167,0.09,0.08,0.01,633980,47532,7446,2788
Pontotoc,Mississippi,9:15,-72.67,-6.25,0.07,0.03,0.04,0.22,282564,0.02,0.03,0.1,771482,32010,46188,3882
Prentiss,Mississippi,9:15,-71.38,-6.03,0.04,0.09,0.02,0.92,900509,0.02,0.01,0.1,771468,36291,37545,3321
Quitman,Mississippi,9:15,-70.71,-6.89,0.01,0.1,0.04,0.05,230940,0.05,0.05,0.09,801790,12115,31975,1759
Rankin,Mississippi,9:15,-66.42,-7.32,0.08,0.04,0.1,0.01,394157,0.1,0.05,0.02,900798,17140,4368,463
Scott,Mississippi,9:15,-65.14,-6.93,0.03,0.02,0.01,0.68,527137,0.03,0.03,0.01,663553,37550,32329,4333
Sharkey,Mississippi,9:15,-63.34,-6.1,0.02,0.06,0.06,0.19,198662,0.04,0.02,0.07,836714,41760,40470,3751
Simpson,Mississippi,9:15,-65.46,-6.94,0.06,0.06,0.05,0.57,955739,0.05,0.1,0.06,924300,12638,20281,1101
Smith,Mississippi,9:15,-74.83,-6.87,0.05,0.04,0.03,0.13,364148,0.03,0.02,0.05,360453,39038,3165,3253
Stone,Mississippi,9:15,-62.29,-6.91,0.07,0.09,0.04,0.37,881147,0.01,0.01,0.01,546712,33761,45197,3248
Sunflower,Mississippi,9:15,-73.6,-7.97,0.1,0.1,0.02,0.52,383316,0.03,0.01,0.03,686997,40264,6333,3152
Tallahatchie,Mississippi,9:15,-62.06,-7.98,0.1,0.04,0.06,0.44,465410,0.03,0.09,0.06,302058,33527,39386,381
Tate,Mississippi,9:15,-75.64,-7.97,0.02,0.01,0.06,0.65,390140,0.01,0.02,0.03,212989,45923,48493,22
Tippah,Mississippi,9:15,-69.05,-6.11,0.03,0.1,0.02,0.41,397051,0.07,0.1,0.1,704530,20855,48533,247
Tishomingo,Mississippi,9:15,-69.74,-7.01,0.02,0.07,0.07,0.11,201706,0.03,0.1,0.01,438341,42220,47512,3696
Tunica,Mississippi,9:15,-65.99,-6.79,0.03,0.1,0.09,0.98,331781,0.1,0.02,0.05,542478,2015,34311,3752
Union,Mississippi,9:15,-62.11,-7.5,0.08,0.03,0.08,0.88,929442,0.04,0.07,0.06,902713,25232,15010,3082
Walthall,Mississippi,9:15,-70.26,-6.59,0.1,0.05,0.09,0.23,413457,0.08,0.08,0.1,951153,20510,39584,1617
Warren,Mississippi,9:15,-70.57,-7.94,0.04,0.02,0.03,0.84,358213,0.02,0.1,0.07,542962,27100,1237,753
Washington,Mississippi,9:15,-66.89,-6.05,0.07,0.06,0.06,0.84,654254,0.1,0.02,0.06,516951,26003,28504,1702
Wayne,Mississippi,9:15,-74.37,-6.62,0.1,0.03,0.04,0.54,807814,0.02,0.03,0.07,185852,26595,34787,4420
Webster,Mississippi,9:15,-73.76,-8,0.05,0.03,0.07,0.76,546031,0.09,0.07,0.06,624950,47327,26555,3955
Wilkinson,Mississippi,9:15,-60.96,-7.21,0.06,0.03,0.08,0.92,583860,0.04,0.03,0.06,223135,34017,42127,2918
Winston,Mississippi,9:15,-75.65,-7.46,0.08,0.1,0.09,0.62,790120,0.1,0.08,0.04,580196,3089,39091,4731
Yalobusha,Mississippi,9:15,-60.5,-6.05,0.02,0.02,0.01,0.59,578738,0.04,0.08,0.04,877070,1820,47560,472
Yazoo,Mississippi,9:15,-62.42,-7.64,0.07,0.09,0.01,0.31,860382,0.1,0.02,0.07,975346,44870,39335,746
Adair,Missouri,9:15,-70.08,-7.38,0.04,0.02,0.1,0.66,697305,0.07,0.05,0.04,550146,4604,2272,1176
Andrew,Missouri,9:15,-70.22,-7.6,0.09,0.1,0.01,0.92,182084,0.06,0.1,0.02,450783,47698,12469,1083
Atchison,Missouri,9:15,-65.72,-7.4,0.03,0.04,0.06,0.93,196516,0.02,0.02,0.06,298942,19179,27577,2843
Audrain,Missouri,9:15,-69.43,-6.52,0.1,0.08,0.04,0.17,770581,0.01,0.06,0.04,391568,6281,3103,2010
Barry,Missouri,9:15,-66.83,-6.89,0.04,0.09,0.1,0.76,249312,0.07,0.05,0.04,177693,21930,27477,677
Barton,Missouri,9:15,-71.23,-6.2,0.03,0.02,0.09,0.89,110285,0.02,0.08,0.01,778102,46718,5522,3865
Bates,Missouri,9:15,-65.46,-7.97,0.1,0.07,0.01,0.61,962877,0.09,0.01,0.02,226262,33484,5418,1248
Benton,Missouri,9:15,-74.57,-6.98,0.1,0.1,0.02,0.34,679382,0.1,0.03,0.07,731130,4932,39956,2954
Bollinger,Missouri,9:15,-72.31,-7.37,0.02,0.08,0.06,0.45,568215,0.07,0.03,0.06,251440,44951,41157,566
Boone,Missouri,9:15,-67.3,-7.57,0.09,0.08,0.03,0.34,559044,0.08,0.08,0.03,776491,9932,20572,3384
Buchanan,Missouri,9:15,-73.21,-7.04,0.08,0.1,0.05,0.33,357644,0.07,0.06,0.09,953627,3782,42922,3944
Butler,Missouri,9:15,-61.65,-6.2,0.07,0.06,0.01,0.12,952392,0.05,0.09,0.04,978120,23476,45283,1375
Caldwell,Missouri,9:15,-67.73,-7.39,0.05,0.01,0.07,0.69,544258,0.02,0.08,0.02,812321,26442,12081,3429
Callaway,Missouri,9:15,-70.77,-7.83,0.06,0.08,0.06,0.94,392372,0.05,0.03,0.05,856227,38354,27467,3493
Camden,Missouri,9:15,-69.53,-6.43,0.02,0.07,0.01,0.58,729839,0.08,0.07,0.04,876065,22073,16105,2277
Cape Girardeau,Missouri,9:15,-63.38,-7.01,0.03,0.05,0.09,0.99,262672,0.1,0.02,0.08,839497,7264,22981,488
Carroll,Missouri,9:15,-63.49,-6.87,0.09,0.1,0.04,0.32,249035,0.03,0.04,0.07,825632,38211,39805,1881
Carter,Missouri,9:15,-66.75,-6.16,0.05,0.02,0.05,0.44,781600,0.02,0.06,0.06,571343,25787,1190,4771
Cass,Missouri,9:15,-61.47,-7.89,0.01,0.04,0.01,0.11,379126,0.1,0.06,0.01,159331,25577,20417,851
Cedar,Missouri,9:15,-65.08,-7.76,0.03,0.01,0.03,0.96,585935,0.08,0.08,0.1,702860,6905,18886,821
Chariton,Missouri,9:15,-64.61,-7.09,0.02,0.03,0.1,0.53,733358,0.04,0.08,0.06,897011,15989,14853,4787
Christian,Missouri,9:15,-67.56,-7.16,0.01,0.06,0.08,0.57,652572,0.01,0.04,0.08,835136,45780,6284,3814
Clark,Missouri,9:15,-62.94,-7.15,0.09,0.09,0.03,0.86,831487,0.03,0.07,0.06,511712,41492,25932,1292
Clay,Missouri,9:15,-60.6,-7.22,0.07,0.02,0.1,0.97,429139,0.01,0.03,0.01,169435,2154,24750,3627
Clinton,Missouri,9:15,-60.69,-7.18,0.02,0.01,0.05,0.16,128750,0.04,0.05,0.03,799164,49063,48501,2009
Cole,Missouri,9:15,-64.77,-6.57,0.09,0.09,0.01,0.59,336985,0.04,0.01,0.01,665712,24251,18414,894
Cooper,Missouri,9:15,-70.6,-7.71,0.1,0.03,0.05,0.48,843344,0.04,0.07,0.09,323956,32567,16579,2853
Crawford,Missouri,9:15,-69.89,-7.65,0.03,0.1,0.02,0.69,255036,0.07,0.05,0.01,671229,46795,18349,3372
Dade,Missouri,9:15,-64.82,-6.33,0.01,0.01,0.01,0.36,313973,0.01,0.07,0.07,427424,2124,41091,170
Dallas,Missouri,9:15,-73.15,-6.05,0.04,0.03,0.02,0.15,993641,0.08,0.09,0.06,258819,40827,16893,1319
Daviess,Missouri,9:15,-60.79,-6.73,0.04,0.01,0.03,0.83,827338,0.03,0.04,0.02,193619,2687,6935,2067
DeKalb,Missouri,9:15,-61.82,-6.77,0.04,0.01,0.02,0.45,703125,0.06,0.06,0.03,695445,28814,49929,3792
Dent,Missouri,9:15,-61.69,-6.78,0.04,0.01,0.07,0.65,571294,0.03,0.05,0.07,406840,19473,3854,4500
Douglas,Missouri,9:15,-68.1,-7.3,0.02,0.02,0.03,0.55,659502,0.02,0.01,0.05,927385,10419,32401,2030
Dunklin,Missouri,9:15,-64.61,-7.77,0.05,0.02,0.1,0.71,863411,0.02,0.05,0.02,785545,40061,13640,262
Franklin,Missouri,9:15,-75.36,-6.02,0.04,0.1,0.1,0.04,225464,0.04,0.08,0.03,720379,26139,12955,36
