Counties,States,Time,Subscriber,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (kbps),Data UL Throughput (kbps)
Dougherty County,Georgia,2017-1-1-0-0,95613594,-113,-16,1.48,0.85,11.21,8.3,486993,1.32,0.7,8.38,613656,43896,37952,2870
Douglas County,Georgia,2017-1-1-0-0,41984614,-100,-8,1.01,4.31,10.9,13.8,112865,2.1,3.41,3.45,530103,15126,8405,4042
Early County,Georgia,2017-1-1-0-0,92502844,-120,-14,2.89,0.49,7.79,14,318816,4.95,4.63,5.48,296888,5776,12649,4620
Echols County,Georgia,2017-1-1-0-0,46043973,-109,-8,3.06,5.03,10.66,8,405915,0.16,5.31,0.81,345510,31882,12881,589
Effingham County,Georgia,2017-1-1-0-0,20531566,-72,-8,4.21,0.75,7.29,10,803956,0.08,1,1.63,930140,10329,47787,1110
Elbert County,Georgia,2017-1-1-0-0,89233727,-104,-6,4.01,0.22,4.69,16.8,683142,2.59,4.02,2.82,891310,6162,43841,1374
Emanuel County,Georgia,2017-1-1-0-0,6103804,-74,-10,0.06,5.34,11.34,19.2,199812,0.62,5.29,4.23,837924,33427,35303,2227
Evans County,Georgia,2017-1-1-0-0,23987005,-103,-12,3.25,0.74,4.74,7.1,586194,4.39,0.8,7.76,686033,29702,45163,2617
Fannin County,Georgia,2017-1-1-0-0,47964779,-69,-8,1.67,3.02,5.62,11.6,127417,1.67,5.41,11.14,176016,44824,31552,2585
Fayette County,Georgia,2017-1-1-0-0,65821601,-109,-9,0.59,3.02,3.48,14.4,213490,0.91,2.11,1.47,732337,6839,31427,1484
Floyd County,Georgia,2017-1-1-0-0,76474159,-97,-6,4.32,0.74,10.31,15.3,322122,1.27,3.73,7.9,561174,4335,41460,2830
Forsyth County,Georgia,2017-1-1-0-0,93996062,-120,-13,0.36,2.58,10.05,10.6,336370,4.88,4.86,5.79,747982,40049,47162,1009
Franklin County,Georgia,2017-1-1-0-0,17537682,-111,-13,4.68,4.36,1.13,17.4,971933,0.44,4.01,1.79,995023,10565,29484,582
Fulton County,Georgia,2017-1-1-0-0,20687750,-103,-7,1.9,1.92,0.55,7.6,275944,4.43,2.71,0.46,559492,25160,36172,1576
Gilmer County,Georgia,2017-1-1-0-0,44384109,-86,-6,1.93,3.9,5.15,1.3,146146,4.68,3.96,7.94,510270,37689,6409,4627
Glascock County,Georgia,2017-1-1-0-0,41351036,-85,-14,3.52,1.41,9.04,13.7,289617,0.73,2.19,5.56,458062,11522,14708,3287
Glynn County,Georgia,2017-1-1-0-0,45960476,-94,-8,0.77,1.59,9.96,0.5,453582,2.88,1.59,10.63,371053,45915,12078,2429
Gordon County,Georgia,2017-1-1-0-0,8812929,-60,-16,0.47,5.21,2.48,2.9,261235,4.69,1.92,1.5,368496,41998,20702,2770
Grady County,Georgia,2017-1-1-0-0,90932527,-115,-16,0.7,3.35,11.41,17.3,368912,2.69,5.5,5.45,760283,9910,36652,737
Greene County,Georgia,2017-1-1-0-0,45861308,-92,-10,4.49,4.22,10.52,17.4,315315,5.46,5.43,4.41,634836,43741,10542,4322
Gwinnett County,Georgia,2017-1-1-0-0,44429926,-70,-9,0.81,1.12,3.33,5.7,188589,0.92,3.2,1.5,533104,7723,17395,1882
Habersham County,Georgia,2017-1-1-0-0,42198250,-108,-10,0.87,5.17,4.62,14.2,526574,2.11,0.3,10.53,237507,45167,19923,385
Hall County,Georgia,2017-1-1-0-0,25498954,-81,-12,5.22,5,0.51,19.7,512329,2.82,2.87,9.9,163785,9212,21737,496
Hancock County,Georgia,2017-1-1-0-0,58875469,-88,-9,1.81,1.62,3.21,3.5,656105,2.83,1.74,9.78,916053,31566,40494,1098
Haralson County,Georgia,2017-1-1-0-0,75436174,-67,-10,1.16,1.86,11.04,17.2,387985,3.01,5.18,2.12,859937,1810,27476,1751
Harris County,Georgia,2017-1-1-0-0,46767064,-70,-11,4.15,0.98,1.18,5,927957,0.42,4.39,0.69,575200,39449,4591,1591
Hart County,Georgia,2017-1-1-0-0,62331965,-108,-10,5.39,2.16,4.84,11.8,164537,0.9,3,6.15,699230,37223,5100,2047
Heard County,Georgia,2017-1-1-0-0,81932695,-98,-12,1.16,4.06,5.53,8.6,760579,3.27,0.41,8.51,847305,45158,10541,1293
Henry County,Georgia,2017-1-1-0-0,61162442,-73,-13,4.65,5.33,4.92,19.9,256599,3.93,1.41,7.82,514306,39913,24811,3807
Houston County,Georgia,2017-1-1-0-0,84557457,-87,-9,0.93,4.11,8.78,12.8,407932,1.94,3,6.46,227489,25179,6527,4621
Irwin County,Georgia,2017-1-1-0-0,9379151,-104,-7,3.4,4.55,10.51,7.6,963195,0.4,2.13,7.91,247706,48035,33293,1084
Jackson County,Georgia,2017-1-1-0-0,3845922,-92,-7,2.72,1.4,7.45,16.2,734504,1.21,4.84,9.38,626786,37730,13616,2214
Jasper County,Georgia,2017-1-1-0-0,70062863,-63,-9,0.62,0.19,3.78,19,994753,4.81,3.27,1.52,280597,29330,6046,938
Jeff Davis County,Georgia,2017-1-1-0-0,37581193,-61,-6,0.68,4.73,0.23,18.4,888525,4.44,3.69,10.75,202652,22241,49514,1271
Jefferson County,Georgia,2017-1-1-0-0,30739748,-69,-16,1.48,1.65,5.15,16.3,181511,2.46,1.06,1.62,643788,47093,39020,2970
Jenkins County,Georgia,2017-1-1-0-0,92317093,-73,-12,5.15,4.34,11.87,8.2,875972,3.84,1.37,11.04,837729,20727,23538,302
Johnson County,Georgia,2017-1-1-0-0,8191936,-71,-7,3.06,4.11,3.96,9.4,451415,4.98,1.25,1.58,613266,37660,45269,2587
Jones County,Georgia,2017-1-1-0-0,11870049,-65,-13,4.47,1.95,9,11.4,876639,2.32,2.76,2.39,944662,1111,46966,1680
Lamar County,Georgia,2017-1-1-0-0,55211720,-115,-11,3.54,1.37,7.37,15.4,584407,1.07,2.82,4.81,447814,28627,25338,2802
Lanier County,Georgia,2017-1-1-0-0,78279909,-106,-11,1.41,3.31,9.36,15.4,595946,3.14,2.2,3.77,450976,21518,23885,4718
Laurens County,Georgia,2017-1-1-0-0,10941423,-93,-6,2.19,3.37,6.9,17.1,218553,2.68,2.59,8.3,244882,25675,48041,415
Lee County,Georgia,2017-1-1-0-0,85852836,-108,-9,3.8,3.64,2.21,15.4,602611,2.06,2.07,1.87,415267,21836,45419,1841
Liberty County,Georgia,2017-1-1-0-0,19445424,-65,-12,3.2,4.36,7.16,19.2,380353,3.34,2.05,6.88,404878,23378,42023,4573
Lincoln County,Georgia,2017-1-1-0-0,8436242,-120,-8,3.34,1.19,11.39,0.7,933830,2.83,1.26,4.61,717314,11533,24490,4599
Long County,Georgia,2017-1-1-0-0,77663937,-89,-14,1.25,0.34,2.77,12.7,101442,1.91,4.16,5.6,498370,22677,28936,2624
Lowndes County,Georgia,2017-1-1-0-0,11934963,-75,-6,3.92,5.3,3.11,3.3,732199,1.27,1.21,1.92,507511,42488,34517,554
Lumpkin County,Georgia,2017-1-1-0-0,97701302,-113,-14,1.1,0.55,3.32,12.3,381831,2.42,1.29,4.27,843539,25372,23674,2909
McDuffie County,Georgia,2017-1-1-0-0,56244582,-67,-15,3.81,2.94,7.7,6.7,324654,4.17,2.94,1.55,276829,27525,29651,617
McIntosh County,Georgia,2017-1-1-0-0,39364427,-112,-6,2.18,5.04,10.44,4,293306,0.3,0.96,7.98,154788,12993,6894,4281
Macon County,Georgia,2017-1-1-0-0,9162064,-66,-15,2.27,3.79,1.45,4.5,513227,2.16,1.84,7.24,689964,5658,31835,4100
Madison County,Georgia,2017-1-1-0-0,96490243,-65,-10,2.4,3.7,8.24,3.7,422340,3.69,1.94,2.45,725169,44831,33072,4566
Marion County,Georgia,2017-1-1-0-0,78884854,-120,-14,0.4,3.4,0.82,7.8,988002,2.75,1.15,3.86,268099,35748,46130,2203
Meriwether County,Georgia,2017-1-1-0-0,13225575,-99,-7,4.14,3.22,4.52,8.3,999527,4.9,2.84,10.2,592645,49159,24714,1470
Miller County,Georgia,2017-1-1-0-0,51090310,-105,-7,0.26,0.63,11.46,13.3,340191,2.72,3.9,3.82,738017,17691,2358,1310
Mitchell County,Georgia,2017-1-1-0-0,11196986,-73,-13,1.83,3.33,10.77,15.7,990395,1.24,2.49,3.49,493499,17512,43274,4304
Monroe County,Georgia,2017-1-1-0-0,3337122,-109,-6,3.64,4.95,2.41,4.5,525035,3.98,5.36,5.93,258785,4621,19738,3338
Montgomery County,Georgia,2017-1-1-0-0,99333609,-93,-12,2.28,1.11,3.09,10,722869,3.09,1.95,6.04,627748,39638,36168,185
Morgan County,Georgia,2017-1-1-0-0,76235630,-72,-12,2.02,0.22,3.27,8.3,707163,1.95,0.62,0.19,280191,14651,28699,344
Murray County,Georgia,2017-1-1-0-0,32408928,-85,-11,3.65,4.52,5.66,14.4,976396,5.3,0.91,1.84,702621,8257,46853,4128
Muscogee County,Georgia,2017-1-1-0-0,18480354,-98,-16,5.3,4.95,1.64,7.8,337824,2.14,2.3,2.63,801794,15665,32994,662
Newton County,Georgia,2017-1-1-0-0,63143912,-65,-14,0.11,4.53,4.39,19.9,610944,2.64,4.06,5.56,552265,40013,42561,1266
Oconee County,Georgia,2017-1-1-0-0,23794448,-66,-7,2.26,3.14,11.06,4.3,420473,3.87,1.9,1.72,307892,48099,15982,4873
Oglethorpe County,Georgia,2017-1-1-0-0,50021744,-80,-10,2.92,1.89,3.68,9.6,347392,2.16,2.68,9.55,663597,45146,22434,575
Paulding County,Georgia,2017-1-1-0-0,22638694,-86,-6,4.72,2.57,9.61,14.9,504408,3.14,5.11,0.75,727016,2485,9600,3843
Peach County,Georgia,2017-1-1-0-0,76536075,-102,-8,4.18,1.86,7.12,9.8,482851,5,0.26,5,262184,4858,24115,4972
Pickens County,Georgia,2017-1-1-0-0,67259603,-88,-8,0.45,3.27,10.97,6.4,543037,0.55,3.01,2.03,189390,17389,35089,2898
Pierce County,Georgia,2017-1-1-0-0,70751344,-84,-14,0.38,4.38,6.58,15.6,804689,1.12,3.31,9.23,698338,16512,17865,783
Pike County,Georgia,2017-1-1-0-0,8962432,-120,-7,3.07,0.22,4.19,4.4,449407,3.78,3.78,5.27,163783,7464,40312,2803
Polk County,Georgia,2017-1-1-0-0,67830817,-114,-10,1.75,2.87,7.28,16.3,276730,1.41,2.25,5.03,667702,20693,22430,2567
Pulaski County,Georgia,2017-1-1-0-0,30243748,-100,-13,1.73,0.34,11.84,3.5,696012,3.52,1.51,8.9,988480,4860,40990,526
Putnam County,Georgia,2017-1-1-0-0,88506042,-94,-16,4.58,1.74,5.38,6.9,284266,4.92,3.46,3.06,735522,3369,29542,2471
Quitman County,Georgia,2017-1-1-0-0,95930524,-105,-14,3.78,5.14,2.67,10.6,518564,0.18,2.5,4.47,613243,3389,5689,418
Rabun County,Georgia,2017-1-1-0-0,58760907,-116,-10,2.33,5.09,3.65,15.8,448890,2.27,0.68,9.5,956560,46836,7755,1808
Randolph County,Georgia,2017-1-1-0-0,76369882,-114,-13,3.98,3.28,6.27,15.7,163030,3.68,0.95,10.45,277767,48067,18490,2163
Richmond County,Georgia,2017-1-1-0-0,26721844,-80,-15,2.32,2.75,0.91,3.6,230824,3.47,2.07,1.17,264631,4935,16023,3087
Rockdale County,Georgia,2017-1-1-0-0,74111305,-64,-6,0.9,2.15,0.47,15.7,283541,4.43,5.08,10.13,475075,13460,24130,628
Schley County,Georgia,2017-1-1-0-0,14444079,-81,-12,1.7,3.37,0.64,15.3,832748,2.93,5.24,2.51,708495,42540,30982,2450
Screven County,Georgia,2017-1-1-0-0,1128659,-67,-11,2.31,1.74,0.75,16.7,604005,2.77,3.23,5.55,712605,32342,34091,146
Seminole County,Georgia,2017-1-1-0-0,28584724,-79,-9,5.39,1.35,11.61,8.9,357073,4.3,5.15,11.77,579892,41893,8080,1008
Spalding County,Georgia,2017-1-1-0-0,95159288,-63,-9,3.55,2.86,8.31,9.6,914544,0.23,1.99,1.03,382608,23727,1260,3875
Stephens County,Georgia,2017-1-1-0-0,63719088,-115,-8,4.67,4.7,6.78,3.2,967946,1.14,2.47,10.02,322926,10460,7062,3037
Stewart County,Georgia,2017-1-1-0-0,56515954,-72,-10,4.15,1.49,6.98,3.2,243983,3.57,0.29,0.8,888566,40431,10924,4835
Sumter County,Georgia,2017-1-1-0-0,64354420,-87,-15,4.45,3.88,4.96,6.7,141759,2.77,1.4,0.86,919646,18427,19033,1557
Talbot County,Georgia,2017-1-1-0-0,88747773,-112,-10,0.46,4.95,9.47,4.8,493648,5.44,2.67,11.61,444875,30608,40362,3572
Taliaferro County,Georgia,2017-1-1-0-0,34027890,-105,-9,2.5,4.33,4.59,18.3,451766,2.12,4.66,6.6,211934,46447,24381,3655
Tattnall County,Georgia,2017-1-1-0-0,54561581,-113,-8,4.36,0.13,3.54,16.6,782672,0.7,1.16,8.98,410567,46418,24215,4676
Taylor County,Georgia,2017-1-1-0-0,50626690,-90,-6,3.43,3.89,7.73,11.9,429602,2.97,4.67,1.45,472149,2135,16116,67
Telfair County,Georgia,2017-1-1-0-0,89768411,-105,-9,3.63,5.38,5.23,7.7,234471,4.79,0.83,8.74,452811,23942,20123,3723
Terrell County,Georgia,2017-1-1-0-0,27706549,-94,-8,2.15,4.08,5.48,12.6,475011,2.65,0.31,3.92,574003,39499,17371,1813
Thomas County,Georgia,2017-1-1-0-0,90733513,-60,-9,1.02,1.58,9.48,5.9,764136,3.39,4.8,8.24,635040,49125,9134,4492
Tift County,Georgia,2017-1-1-0-0,16628694,-74,-11,1.11,5.42,8.24,18.3,648141,4.13,0.83,2.34,436986,22027,15542,4397
Toombs County,Georgia,2017-1-1-0-0,78188434,-66,-7,0.23,1.9,3.47,5.4,221149,1.2,3.25,2.91,850190,21431,46119,4948
Towns County,Georgia,2017-1-1-0-0,57419492,-78,-7,1.44,1.66,4.88,5,209678,5.37,2.05,9.72,412381,7371,21441,331
Treutlen County,Georgia,2017-1-1-0-0,56173956,-85,-16,2.07,5.46,5.06,11.8,882850,0.35,1.42,3.3,324240,10625,37587,514
Troup County,Georgia,2017-1-1-0-0,27974948,-98,-15,5.37,1.35,9.82,18.8,617821,5.34,0.56,1.47,641386,1376,20882,4819
Turner County,Georgia,2017-1-1-0-0,22366740,-102,-15,3.66,0.37,5.9,3.4,435915,4.1,4.65,4.64,339768,21909,45921,4914
Twiggs County,Georgia,2017-1-1-0-0,11378749,-79,-11,0.37,0.95,10.11,14.3,834310,4.94,1.26,0.11,261210,34897,4484,291
Union County,Georgia,2017-1-1-0-0,11264096,-67,-11,2.63,2,5.66,6.6,952513,3.13,3.31,7.62,377515,41769,16589,1449
Upson County,Georgia,2017-1-1-0-0,44251005,-114,-15,1.36,5.14,3.93,16.5,401469,3.29,2.07,1.77,289528,4167,1037,3147
Walker County,Georgia,2017-1-1-0-0,27288580,-77,-10,5.02,3.65,4.29,14.2,915310,3.7,4.57,5.08,665641,46343,1503,2498
Walton County,Georgia,2017-1-1-0-0,54321580,-86,-16,1.14,5.01,6.34,5.2,131264,3.85,5.12,1.93,487472,39602,2503,3021
Ware County,Georgia,2017-1-1-0-0,84637518,-62,-8,4.74,4.76,7.89,19.6,110650,1.46,5.23,10.31,963297,1959,21144,1790
Warren County,Georgia,2017-1-1-0-0,15737060,-75,-13,3.15,0.63,0.15,5.3,871710,4.71,4.11,5.97,934325,43939,2520,2616
Washington County,Georgia,2017-1-1-0-0,37157717,-114,-6,3.45,2.48,10.45,17,455911,2.71,3.49,3.47,366780,33798,17909,2381
Wayne County,Georgia,2017-1-1-0-0,21547685,-100,-8,1.09,5.12,8.57,18.3,405569,4.51,4.17,5.42,899983,28287,5856,1471
Webster County,Georgia,2017-1-1-0-0,67886377,-74,-16,2.93,3.61,0.75,9.3,745267,1.75,3.61,3.45,772961,15460,12546,2811
Wheeler County,Georgia,2017-1-1-0-0,46925026,-72,-12,0.6,0.53,10.88,9,362351,1.24,2.08,9.47,135734,15742,17614,4601
White County,Georgia,2017-1-1-0-0,14655312,-95,-8,0.61,1.68,8.94,9.7,954746,3.49,5.16,3.02,219861,34765,30347,981
Whitfield County,Georgia,2017-1-1-0-0,55199482,-90,-12,5.2,1.02,3.57,16.7,348529,4.53,2.09,10.72,921407,39157,22648,2753
Wilcox County,Georgia,2017-1-1-0-0,39625718,-98,-13,4.3,1.54,0.24,5.8,274409,4.11,3.03,10.73,650921,18884,3240,4177
Wilkes County,Georgia,2017-1-1-0-0,16590612,-79,-16,0.91,1.87,11.05,15.3,341746,1.09,4.46,1.38,664675,46733,36428,3733
Wilkinson County,Georgia,2017-1-1-0-0,5932453,-62,-16,0.75,3.83,2.67,17.3,593368,2.56,2.81,8.08,636429,31903,2876,2929
Worth County,Georgia,2017-1-1-0-0,85490847,-111,-6,4.27,3.31,9.01,13.4,246053,4.7,5.16,7.8,664693,5847,30929,4534
Hawaii County,Hawai?i,2017-1-1-0-0,72990643,-70,-6,1.67,1.78,4.56,7.7,693641,2.43,4.17,3.99,967826,36577,39337,2437
"Honolulu, City and County of",Hawai?i,2017-1-1-0-0,79367797,-78,-13,4.52,2.87,6.27,19.1,784524,2.89,4.85,2.81,906670,12277,29350,995
Kalawao County,Hawai?i,2017-1-1-0-0,65923449,-120,-11,4.48,1.6,0.69,4.9,838237,1.76,2.32,6.83,630824,39689,37792,1431
Kauai County,Hawai?i,2017-1-1-0-0,93944087,-68,-13,4.57,0.16,9.36,8.4,951160,4.43,3.47,0.66,930441,35419,14440,3017
Maui County,Hawai?i,2017-1-1-0-0,34766330,-62,-14,2.87,4.71,3.57,2.9,587048,2.91,4.29,0.58,381684,7861,39696,2326
Ada County,Idaho,2017-1-1-0-0,73247033,-102,-6,3.64,3.19,10.73,10.1,746617,3.47,4.23,10.53,748646,8636,38341,2780
Adams County,Idaho,2017-1-1-0-0,10945435,-115,-15,4.53,1.05,0.59,9.1,851335,3.58,5.44,11.87,674098,20605,9377,760
Bannock County,Idaho,2017-1-1-0-0,18730545,-60,-8,3.18,2.22,9.74,16.7,276023,0.58,2.49,4.74,274275,24157,45423,4572
Bear Lake County,Idaho,2017-1-1-0-0,85446334,-114,-10,2.62,4.82,2.52,14.7,886025,2.82,0.18,11.72,186522,6193,22250,1164
Benewah County,Idaho,2017-1-1-0-0,60481828,-79,-6,4.83,2.21,5.05,17.8,876435,4.17,3.15,3.83,942586,46351,21438,592
Bingham County,Idaho,2017-1-1-0-0,53022413,-83,-9,4.21,0.49,3.04,9.7,921261,3.33,1.29,9.75,583489,6326,7399,3780
Blaine County,Idaho,2017-1-1-0-0,16662576,-64,-6,3.71,1.79,2.6,7.5,410123,3.19,4.23,9.95,969164,2577,39305,3185
Boise County,Idaho,2017-1-1-0-0,82190597,-81,-16,2.25,0.33,8.22,14,473335,1.9,3.71,10.95,778173,31211,4220,3101
Bonner County,Idaho,2017-1-1-0-0,20727191,-113,-9,4.96,3.55,2.57,7.6,656260,0.54,3.75,3.76,858280,43704,24492,2068
Bonneville County,Idaho,2017-1-1-0-0,20298637,-119,-6,3.19,0.97,1.84,11.4,103054,1.47,0.81,4.49,949288,37910,42665,3487
Boundary County,Idaho,2017-1-1-0-0,64187980,-78,-15,4.38,5.41,11.18,5.7,834058,5.44,2.62,3.9,533107,9166,13655,4149
Butte County,Idaho,2017-1-1-0-0,87893534,-114,-15,2.77,0.83,8.73,16.4,303999,5.25,3.95,5.42,708938,29996,5501,1347
Camas County,Idaho,2017-1-1-0-0,56063489,-99,-16,3.65,3.07,5.8,1.6,852796,1.91,0.18,4.65,834934,6452,46052,3463
Canyon County,Idaho,2017-1-1-0-0,39419205,-98,-6,4.32,5.36,3.33,10.7,720715,0.5,4.29,10.99,546022,20010,10898,995
Caribou County,Idaho,2017-1-1-0-0,60221720,-78,-8,0.42,3.71,5.54,16.8,146059,1.76,0.24,6.13,411719,12788,30897,2408
Cassia County,Idaho,2017-1-1-0-0,23646339,-105,-7,1.99,1.46,4.37,5.4,131150,1.42,5,7.08,372944,39552,21953,362
Clark County,Idaho,2017-1-1-0-0,14107234,-79,-16,0.49,2.47,4.41,16.7,874852,5.14,5.39,5.86,805126,38250,9868,2481
Clearwater County,Idaho,2017-1-1-0-0,90104734,-98,-14,4.12,1.73,7.35,14.1,563285,1.79,2.91,9.01,293572,47380,38230,499
Custer County,Idaho,2017-1-1-0-0,78720731,-62,-14,3.28,4.84,11.47,13.7,525012,3.68,5.41,1.27,532156,42843,36391,2095
Elmore County,Idaho,2017-1-1-0-0,8493258,-107,-6,2.69,2.56,0.17,12.8,493380,0.37,4.45,1.3,674320,42181,12084,789
Franklin County,Idaho,2017-1-1-0-0,17232580,-86,-15,4.28,0.81,5.4,17.9,255369,0.46,1.01,8.76,678633,37419,26405,1017
Fremont County,Idaho,2017-1-1-0-0,34514262,-105,-7,2.57,5.24,1.44,19.1,507808,3.41,5.44,7.08,430438,5289,18524,3020
Gem County,Idaho,2017-1-1-0-0,8228767,-71,-13,1.4,2.39,4.57,13.1,296403,4.83,5.17,2.52,636406,14159,3858,239
Gooding County,Idaho,2017-1-1-0-0,95299618,-102,-9,4.57,0.32,2.46,17,693125,1.24,3.62,11.71,274767,30888,47246,838
Idaho County,Idaho,2017-1-1-0-0,34115335,-74,-8,5.14,5.17,7.96,12.1,456510,4.07,2.48,11.47,909221,15365,13529,2988
Jefferson County,Idaho,2017-1-1-0-0,21246082,-77,-6,2.54,1.25,9.23,5.8,279285,5.34,0.61,9.06,771041,21872,24674,234
Jerome County,Idaho,2017-1-1-0-0,93708783,-78,-14,0.42,4.63,8.4,10.8,666237,4.17,4.76,7.4,296913,32933,8433,2710
Kootenai County,Idaho,2017-1-1-0-0,78127260,-91,-9,2.12,1.17,4.29,14.9,253601,1.76,4.43,11.32,286646,39636,35101,2209
Latah County,Idaho,2017-1-1-0-0,90573971,-61,-13,3.96,1.87,2.72,8,517196,4.48,0.46,6.61,234586,16765,18063,3778
Lemhi County,Idaho,2017-1-1-0-0,36420116,-114,-8,0.15,1.61,5.42,2,451014,4.88,3.66,2.89,162393,26101,45080,3671
Lewis County,Idaho,2017-1-1-0-0,79355489,-102,-7,1.98,4.28,10.48,9.3,351797,3.77,3.62,2.21,871048,39191,7676,3776
Lincoln County,Idaho,2017-1-1-0-0,82582387,-89,-11,4,4.12,10.97,9.3,422018,5.32,3.32,6.73,404396,9560,36728,730
Madison County,Idaho,2017-1-1-0-0,83911199,-109,-15,3.16,0.78,0.51,19.3,919166,1.3,2.93,0.61,290724,22334,1469,2633
Minidoka County,Idaho,2017-1-1-0-0,46759022,-88,-12,4.51,2.28,5.2,12.9,224408,0.65,4.45,6.16,900181,39767,38562,3994
Nez Perce County,Idaho,2017-1-1-0-0,96556907,-120,-13,0.83,0.31,9.38,13.9,496904,1.14,0.22,9.68,197457,29087,8267,3611
Oneida County,Idaho,2017-1-1-0-0,49155754,-118,-7,2.44,2.5,5.52,5.4,936106,4.54,4.41,3.04,341850,11552,17360,3485
Owyhee County,Idaho,2017-1-1-0-0,42154537,-101,-6,4.04,2.63,7.25,2.9,195398,2.31,3.38,2.29,809451,27397,34605,2529
Payette County,Idaho,2017-1-1-0-0,69535005,-63,-13,1.43,5.44,4.82,8.5,396686,3.97,3.02,7.63,816679,43193,43347,3436
Power County,Idaho,2017-1-1-0-0,84633214,-67,-11,0.24,1.52,9.39,16.1,623131,2.3,2.57,6.62,338402,2488,31327,3047
Shoshone County,Idaho,2017-1-1-0-0,22955543,-71,-16,4.55,5.13,0.33,8.1,607382,4.22,0.12,6.2,531121,28355,20370,3710
Teton County,Idaho,2017-1-1-0-0,69508783,-84,-9,5.36,2.62,6.77,8.5,993056,4.04,2.67,4.77,168946,8112,15134,3985
Twin Falls County,Idaho,2017-1-1-0-0,61223204,-90,-14,2.49,0.76,1.06,17.6,635122,2.86,3.5,1.54,171685,17669,19786,2483
Valley County,Idaho,2017-1-1-0-0,28385919,-117,-6,2.45,4.22,11.1,1.4,446676,1.86,4.26,2.62,844358,27387,41133,1586
Washington County,Idaho,2017-1-1-0-0,99755033,-92,-15,1.83,0.91,5.56,18.9,645178,3.46,1.64,8.95,173500,22236,5665,1228
Adams County,Illinois,2017-1-1-0-0,69020149,-104,-8,3.05,1.86,8.34,0.9,472496,1.28,0.46,1.33,653648,14844,21629,2281
Alexander County,Illinois,2017-1-1-0-0,1455918,-68,-6,0.41,4.55,11.89,16.7,953607,3.65,0.07,8.65,690290,7056,6667,4356
Bond County,Illinois,2017-1-1-0-0,79947351,-95,-16,3.38,1.54,11.99,10,737620,4.77,2.94,2.68,683759,20119,46029,2819
Boone County,Illinois,2017-1-1-0-0,82846352,-95,-6,3.98,1.79,3.45,5.5,166916,4.91,3.76,4.83,734802,3693,46005,2445
Brown County,Illinois,2017-1-1-0-0,34470136,-106,-14,4.26,2.6,0.36,18.8,381430,5.02,4.28,4.2,573538,13065,19268,2741
Bureau County,Illinois,2017-1-1-0-0,70647495,-107,-13,0.76,0.91,11.2,12.3,108220,3.5,4.87,6.3,915246,35745,12445,1878
Calhoun County,Illinois,2017-1-1-0-0,7265503,-114,-15,5.33,2.88,1.98,3.2,692906,4.1,0.76,9.5,581299,10965,30376,3534
Carroll County,Illinois,2017-1-1-0-0,36782404,-100,-10,5.25,1.43,4.02,3.7,553029,1.91,0.91,7.59,409598,19171,41494,1696
Cass County,Illinois,2017-1-1-0-0,85763685,-64,-16,3.14,3.36,1.71,4.4,210327,4.54,4.74,2.05,965302,38091,16472,3430
Champaign County,Illinois,2017-1-1-0-0,74116231,-106,-9,5.45,3.24,4.26,13.2,537292,3.16,5.33,8.79,543451,7945,14881,1609
Christian County,Illinois,2017-1-1-0-0,75296153,-103,-16,2.82,1.16,6.42,16.5,972074,4.05,4.53,7.15,784222,5895,35527,2760
Clark County,Illinois,2017-1-1-0-0,85323485,-84,-6,2.77,0.1,8.66,14.4,376282,4.55,0.4,9.19,283686,14011,20142,1753
Clay County,Illinois,2017-1-1-0-0,15341991,-102,-16,1.89,3.22,11.17,8.8,141829,3.12,0.2,8.32,809408,16915,41473,1373
Clinton County,Illinois,2017-1-1-0-0,98312180,-95,-11,4.06,0.64,10.59,2,651927,0.9,4.32,11.32,697852,44100,33551,3693
Coles County,Illinois,2017-1-1-0-0,94717701,-84,-16,1.25,0.71,2.22,3.8,195355,5.5,5.45,3.41,775089,40904,39235,1358
Cook County,Illinois,2017-1-1-0-0,3730551,-64,-16,2.75,4.06,8.87,4.7,264268,3.36,2.93,11.58,354965,13059,2123,1047
Crawford County,Illinois,2017-1-1-0-0,80515803,-94,-15,2.35,4.54,4.98,5,406299,0.21,1.97,4.47,406420,38607,14592,2689
Cumberland County,Illinois,2017-1-1-0-0,96160156,-98,-10,4.42,4.63,11.04,1.7,534577,2.82,2.78,1.37,169364,3769,41553,3571
DeKalb County,Illinois,2017-1-1-0-0,80321101,-114,-7,1.07,2.07,9.92,9.9,157800,0.59,5.24,0.25,526973,15409,14028,3986
De Witt County,Illinois,2017-1-1-0-0,11928515,-67,-10,4.64,0.6,4.94,3.6,680913,2.51,2.94,1.45,967289,21879,3820,2549
Douglas County,Illinois,2017-1-1-0-0,8980553,-75,-15,2.26,2.82,1.87,16.2,429346,3.56,0.91,0.67,599280,1338,24002,1079
DuPage County,Illinois,2017-1-1-0-0,27394233,-67,-15,2.05,5.26,10.36,1,616156,5.1,2.22,4.66,409928,28208,13931,1852
Edgar County,Illinois,2017-1-1-0-0,6468590,-120,-15,3.18,2.96,6.44,5.6,636847,2.74,1.72,6.46,995443,3793,41825,1958
