Country,Operator,MCC/MNC,TIME,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (kbps),Data UL Throughput (kbps)
Unted States,AT&T,310/410,2015-5,-98.49,-7.24,0.14,0.44,0.68,0.22,0.85,0.35,0.3,0.1,326466,4264,84154,9605
Unted States,Guamcell Cellular and Paging,310/370,2015-5,-129.55,-14.81,0.27,0.28,0.02,0.73,0.43,0.35,0.58,0.12,791885,5100,67154,7398
Unted States,T-Mobile,310/260,2015-5,-68.22,-11.24,0.98,0.24,0.45,0.47,0.37,0.34,0.48,0.4,809217,2313,17427,1134
Unted States,Verizon Wireless,311/48,2015-5,-83.7,-10.03,0.82,0.63,0.52,0.99,0.92,0.7,0.7,0.58,118054,4343,46772,3873
Albania,Vodafone(ALBANIA),276/02,2015-6,-137.12,-8.44,0.42,0.9,0.47,0.41,0.15,0.04,0.81,0.06,902727,7259,67064,1625
Australia,Vodafone Hutchison,505/03,2015-6,-144.81,-10.38,0.84,0.48,0.31,0.63,0.46,1,0.72,0.34,282874,5531,15645,5140
Australia,Optus,505/02,2015-6,-99.41,-6.85,0.65,0.72,0.3,0.32,0.94,0.11,0.43,0.27,988434,8476,64228,9319
Australia,Telstra,505/01,2015-6,-148.15,-8.82,0.96,0.21,0.34,0.74,0.55,0.51,0.07,0.1,119535,7083,14222,8875
Austria,A1 Austria Telekom (Mobilkom),232/01,2015-6,-150.3,-7.34,0.34,0.27,0.46,0.65,0.3,0.12,0.68,0.1,894179,1810,29337,9973
Austria,H3G(AUSTRIA),232/10,2015-6,-144.72,-13.48,0.36,0.61,0.9,0.96,0.02,0.79,0.66,0.35,334318,5930,35020,6658
Bahrain,Viva,426/04,2015-6,-105.98,-6.05,0.89,0.25,0.42,0.25,0.24,0.27,0.59,0.9,871768,1474,21306,4169
Bahrain,Batelco,426/01,2015-6,-61.37,-13.94,0.68,0.19,0.89,0.81,0.12,0.11,0.79,0.8,335021,6656,75433,3484
Bahrain,Zain/Vodafone/MTC,426/02,2015-6,-112.77,-10.49,0.53,0.01,0.77,0.98,0.86,0.72,0.84,0.21,562930,1439,66359,4525
Belgium,"Base (KPN,Orange)",206/20,2015-6,-69.98,-9.1,0.28,0.77,0.39,0.1,0.38,0.48,0.78,0.86,465275,5401,59662,9383
Belgium,Mobistar S.A.,206/10,2015-6,-94.88,-10.24,0.44,0.78,0.29,0.6,1,0.2,0.53,0.59,385048,4812,63201,3240
Belgium,Belgacom Mobile,206/01,2015-6,-109.02,-10.86,0.19,0.26,0.85,0.62,0.69,0.24,0.98,0.09,365793,2763,24980,8951
Brazil,Vivo S.A,724/10,2015-6,-115.57,-7.08,0.38,0.69,0.17,0.36,0.06,0.36,0.53,0.17,895809,3114,18704,2195
Brazil,TIM,724/04,2015-6,-117.1,-7.79,0.19,0.66,0.16,0.81,0.69,0.76,0.82,0.62,331029,6183,73082,2660
Bulgaria,Mobiltel,284/01,2015-6,-86.98,-9.78,0.58,0.33,0.45,0.1,0.98,0.98,0.91,0.55,326565,5676,59949,7197
Canada,Bell Mobility,302/610,2015-6,-150.31,-7.74,0.31,0.15,0.12,0.75,0.71,0.65,0.42,0.9,766628,5583,46109,1332
Canada,Telus Mobility,302/220,2015-6,-108.22,-7.91,0.61,0.18,0.1,0.33,0.12,0.33,0.32,0.76,921480,7681,15426,3648
China,China Mobile,460/07,2015-6,-65.83,-11.08,0.21,0.62,0.06,0.61,0.28,0.25,0.73,0.42,371726,4156,49306,7169
China,China Unicom,460/01,2015-6,-62.05,-10.16,0.39,0.46,0.67,0.29,0.69,0.56,0.46,0.9,682846,9199,89594,3587
China,China Mobile,460/02,2015-6,-123.24,-9.53,0.97,0.01,0.44,0.18,0.32,0.02,0.75,0.1,799310,2295,26001,5720
China,China Mobile,460/00,2015-6,-88.66,-7.12,0.35,0.91,0.48,0.37,0.48,0.3,0.04,0.8,243514,8884,12456,4843
Croatia,Croatian Telecom (ex T- Mobile),219/01,2015-6,-77.85,-11.07,0.2,0.17,0.9,0.22,0.02,0.93,0.06,0.48,817019,3864,11756,7030
Croatia,VIP-net,219/10,2015-6,-129.37,-12.94,0.54,1,0.01,0.39,0.1,0.23,0.99,0.34,979004,6008,42333,9096
Czech Republic,Telefonica O2 (Eurotel),230/02,2015-6,-87.61,-9.74,0.28,0.28,0.02,0.94,0.55,0.7,0.71,0.75,601197,3763,96163,2989
Denmark,Telenor (Sonofon),238/02,2015-6,-152.57,-10.32,0.63,0.95,0.38,0.59,0.08,0.39,0.96,0.01,320871,4996,32006,1976
Dominica Rep.,"Orange Dominicana, S.A.",370/01,2015-6,-66.82,-12.19,1,0.76,0.71,0.9,0.03,0.12,0.77,0.56,864546,1316,69214,1086
Egypt,Vodafone(EGYPT),602/02,2015-6,-86.12,-8.4,0.54,0.21,0.93,0.92,0.16,0.39,0.03,0.84,747089,9059,49346,1290
Egypt,Etisalat Misr,602/03,2015-6,-157.48,-7.1,0.84,0.37,0.12,0.09,0.87,0.32,0.23,0.81,143995,3957,21932,8072
Estonia,Tele2(ESTONIA),248/03,2015-6,-146.29,-13.85,0.25,0.97,0.72,0.25,0.86,0.63,0.47,0.49,104704,2989,12128,8475
France,SFR (Cegetel),208/10,2015-6,-154.58,-11.15,0.99,0.62,1,0.99,0.41,0.71,0.91,0.18,220372,8915,31999,6093
France,Orange (Iteneris),208/01,2015-6,-111.65,-8.46,0.63,0.76,0.73,0.87,0.17,0.39,0.76,0.82,960180,1454,96845,3783
France,Free Mobile,208/15,2015-6,-157.53,-12.26,0.15,0.27,0.5,0.77,0.42,0.12,0.4,0.95,301626,1869,96913,4900
France,Bouygues,208/20,2015-6,-86.69,-13.71,0.13,0.13,1,0.31,0.43,0.28,0.22,0.4,551952,6295,82200,7138
Germany,Telekom Deutschland (T-Mobile),262/01,2015-6,-116.5,-8.99,0.39,0.16,0.12,0.1,0.54,0.08,0.17,0.97,758956,3780,92639,3280
Germany,Vodafone(GERMANY),262/02,2015-6,-75.56,-10.34,0.29,0.95,0.42,0.32,0.93,0.57,0.64,0.36,376949,5151,79468,6091
Germany,Telefonica O2/viag,262/07,2015-6,-139.95,-11.23,0.84,0.53,0.1,0.96,0.3,0.9,0.15,0.42,340252,5289,90594,5049
Germany,E-Plus,262/03,2015-6,-76.75,-9.66,0.78,0.98,0.81,0.68,0.3,0.62,0.3,0.69,222600,3397,87899,5436
Hongkong,China Mobile - Peoples,454/12,2015-6,-154.29,-7.39,0.88,0.12,0.17,0.6,0.41,0.58,0.77,0.56,820977,2689,13675,4473
Hongkong,H3G(HONG KONG),454/03,2015-6,-67.92,-8.87,0.46,0.99,0.85,0.42,0.71,0.33,0.44,0.64,391038,7041,35155,9445
Hongkong,PCCW-HKT Telephone Limited,454/19,2015-6,-128.89,-13.92,0.34,1,0.33,0.55,0.22,0.56,0.91,0.86,718845,8506,42293,8536
Hongkong,SmarTone - Vodafone,454/06,2015-6,-156.91,-8.61,0.03,0.33,0.85,0.25,0.98,0.63,0.04,0.22,488908,1486,44810,1671
Hongkong,CSL (C&W),454/00,2015-6,-106.5,-9.42,0.27,0.16,0.7,0.7,0.21,0.44,0.94,0.72,637682,1500,51532,4953
Hungary,Vodafone(HUNGARY),216/70,2015-6,-86.49,-12.4,0.03,0.93,0.4,0.84,0.04,0.39,0.44,0.04,679258,5193,77029,9551
Hungary,T-Mobile(HUNGARY),216/30,2015-6,-105.19,-12.8,0.5,0.91,0.52,0.82,0.21,0.89,0.36,0.3,431701,4845,25058,5494
India,Airtel (Karnataka),404/45,2015-6,-93.67,-8.95,0.97,0.58,0.05,1,0.99,0.4,0.42,0.55,830501,1009,11485,4434
India,Airtel (Delhi),404/10,2015-6,-120.46,-11.25,0.75,0.88,0.88,0.56,0.13,0.87,0.12,0.54,780254,6042,41453,2191
Indonesia,Indosat (IDNSL),510/01,2015-6,-72.96,-7.48,0.85,0.86,0.85,0.73,0.17,0.85,0.94,0.11,492893,7392,13550,6979
Ireland,Vodafone(IRELAND),272/01,2015-6,-124.45,-10.57,0.4,0.44,0.74,0.48,0.79,0.69,0.68,0.04,877186,2235,83619,9892
Ireland,Meteor,272/03,2015-6,-141.58,-7.13,0.62,0.65,0.57,0.89,0.53,0.84,0.76,0.46,902337,2633,59322,7702
Ireland,Telefonica O2 (East DigiFone),272/02,2015-6,-116.54,-6.91,0.75,0.18,0.12,0.14,0.81,0.08,0.35,0.89,682885,5347,24826,4578
Italy,Vodafone Omnitel,222/10,2015-6,-86.78,-12.2,0.85,0.44,0.08,0.32,0.93,0.63,0.33,0.96,175719,7371,62939,7467
Italy,Wind,222/88,2015-6,-99.34,-8.38,0.91,0.73,0.01,0.1,0.24,0.3,0.69,0.95,226439,3638,31587,3723
Japan,KDDI Corporation,440/51,2015-6,-136.41,-8.14,0.33,0.79,0.15,0.4,0.82,0.83,0.53,0.1,436415,8673,61468,6316
Japan,Soft Bank (Vodafone KK),440/20,2015-6,-74,-14.84,0.74,0.79,0.75,0.01,0.53,0.63,0.32,0.63,255167,2348,64876,5650
Japan,KDDI,440/50,2015-6,-126.42,-9.69,0.83,0.38,0.58,0.03,0.44,0.63,0.89,0.9,682656,1580,91058,9986
Japan,NTT Docomo,440/10,2015-6,-132,-6.35,0.06,0.15,0.75,0.11,0.95,0.18,0.98,0.82,283767,2544,67570,1468
Jordan,Zain (Fastlink),416/01,2015-6,-149.63,-12.68,0.36,0.36,0.48,0.61,0.89,0.51,0.36,1,833277,7393,76530,7933
Jordan,Orange (MobileCom),416/77,2015-6,-68.71,-6.87,0.79,0.41,0.14,0.74,0.08,0.91,0.19,0.23,481714,9791,83902,6788
Kazakhstan ,K-Cell,401/02,2015-6,-158.12,-12.21,0.33,0.13,0.45,0.16,0.06,0.84,0.71,0.26,753951,8299,69894,6153
Kuwait,MTC/Zain,419/02,2015-6,-153.6,-12.62,0.61,0.8,1,0.91,0.07,0.7,0.19,0.28,519784,4555,59294,2810
Kuwait,Viva (KTC),419/04,2015-6,-91.68,-11.29,0.44,0.6,0.67,0.34,0.08,0.37,0.21,0.01,451232,8376,82835,2368
Lebanon,MTC (MIC 2 Touch),415/03,2015-6,-89.65,-14.03,0.67,0.8,0.33,0.46,0.17,0.34,0.43,0.23,263356,6730,69162,8582
Luxembourg,Tango,270/77,2015-6,-151.01,-10.24,0.12,0.15,0.41,0.02,0.25,0.28,0.84,0.94,958538,6274,28128,7671
Macao,CTM,455/01,2015-6,-144.06,-9.92,0.22,0.1,0.27,0.53,0.5,0.65,0.86,0.25,543984,5238,24433,1500
Macao,Hutchison 3,455/03,2015-6,-122.71,-11.36,0.11,0.56,0.37,0.57,0.92,0.1,0.72,0.42,815485,6526,47226,2326
Malaysia,Celcom,502/19,2015-6,-89.48,-8.23,0.29,0.3,0.39,0.75,0.22,0.32,0.67,0.36,613702,1716,40021,2202
Malaysia,DiGi  Telecommunication,502/16,2015-6,-146.33,-7.56,0.98,0.25,0.93,0.31,0.62,0.57,0.87,0.64,299425,2276,77025,2833
Malaysia,Maxis,502/12,2015-6,-99.12,-12.41,0.11,0.78,0.24,0.89,0.24,0.28,0.22,0.1,818736,6902,79463,4745
Malta,Vodafone(MALTA),278/01,2015-6,-73.27,-6.31,0.92,0.46,0.86,0.92,0.21,0.44,0.1,0.62,121207,7723,45307,5422
Mauritius,Cellplus Orange,617/01,2015-6,-125.24,-13.69,0.86,0.89,0.38,0.56,0.51,0.93,0.66,0.4,215057,8104,79517,1306
Netherlands,Vodafone(NETHERLANDS),204/04,2015-6,-125.12,-11.83,0.27,0.32,0.31,0.6,0.79,0.11,0.82,0.68,454783,1011,99556,1010
Netherlands,T-mobile (ex Ben),204/16,2015-6,-84.98,-11.84,0.99,0.16,0.51,0.1,0.01,0.11,0.95,0.97,217042,2389,42244,4309
New Zealand,Vodafone(NEW ZEALAND),530/01,2015-6,-146.56,-8.98,0.84,0.21,0.13,0.34,0.43,0.92,0.71,0.31,836364,3765,23099,6451
Nigeria,EMTS,621/60,2015-6,-70.37,-8.78,0.17,0.59,0.89,0.64,0.13,0.47,0.99,0.17,964949,5270,10031,7835
Norway,Telenor Mobile,242/01,2015-6,-143.56,-14.07,0.78,0.26,0.93,0.92,0.08,0.96,0.45,0.97,908105,4472,71359,2673
Norway,NetCom TeliaSonera,242/02,2015-6,-95.39,-6.04,0.44,0.26,0.05,0.05,0.53,0.13,0.65,0.99,764058,7523,21497,2574
Oman,Nawras,422/03,2015-6,-131.18,-13.2,0.96,0.87,0.12,0.28,0.86,0.8,0.69,0.46,781152,7630,78180,7380
Oman,Oman Mobile - GTO (Omantel),422/02,2015-6,-103.87,-8.36,0.05,0.38,0.01,0.32,0.57,0.87,0.66,0.85,848844,2588,92585,5383
Philippines,Smart,515/03,2015-6,-80.67,-7.27,0.44,0.27,0.15,0.07,0.73,0.7,0.1,0.62,827981,2636,99296,9643
Poland,"T-Mobile (ERA,PTC)",260/02,2015-6,-87.7,-13.55,0.83,0.23,0.58,0.74,0.38,0.2,0.44,0.57,813584,6316,72190,1592
Poland,Orange/Centertel,260/03,2015-6,-137.65,-12.19,0.96,0.23,0.25,0.77,0.93,0.58,0.93,0.32,774750,3650,96575,5809
Portugal,Vodafone(PORTUGAL),268/01,2015-6,-127.53,-13.6,0.56,0.01,0.38,0.16,0.72,0.81,0.75,0.22,382213,7218,71270,2745
Portugal,Optimus (Sonecom),268/03,2015-6,-79.06,-9.11,0.6,0.6,0.55,0.54,0.88,0.08,0.31,0.67,419854,7085,49693,8926
Qatar,Vodafone(QATAR),427/02,2015-6,-69.62,-9.59,0.85,0.47,0.54,0.06,0.69,0.73,0.4,0.31,276123,4442,76590,6642
Qatar,Q-Tel,427/01,2015-6,-60.28,-12.13,0.43,0.81,0.01,0.14,0.47,0.94,0.56,0.8,276531,7766,15065,5037
Romania,Orange (Mobilrom),226/10,2015-6,-86.47,-9.87,0.21,0.19,0.74,0.07,0.17,0.34,0.64,0.95,227416,3916,77668,7150
Russia,MTS(RUSSIA),250/01,2015-6,-74.85,-14.89,0.05,0.44,0.29,0.57,0.3,0.35,0.92,0.42,623186,5721,66442,4870
Russia,MegaFon,250/02,2015-6,-116.73,-11.81,0.89,0.91,0.24,0.14,0.18,0.23,0.09,0.67,720471,9565,89541,1381
Russia,Vimpelcom Beeline (KB Impuls),250/99,2015-6,-72.55,-10.4,0.21,0.17,0.22,0.28,0.34,0.46,0.18,0.25,283502,8976,83121,8498
Saudi Arabia,Saudi Telecom Company,420/01,2015-6,-96.66,-14.33,0.07,0.89,0.48,0.43,0.7,0.85,0.98,0.85,438165,5160,60239,3626
Saudi Arabia,Mobily,420/03,2015-6,-124.42,-8.46,0.16,0.91,0.13,0.19,0.83,0.26,0.25,0.88,708174,7343,15762,4881
SERBIA,Telenor Serbia,220/01,2015-6,-127.1,-9.71,0.11,0.24,0.28,0.16,0.43,0.99,0.31,0.92,539718,7522,78654,3006
Singapore,Mobile One,525/03,2015-6,-151.41,-13.3,0.85,0.25,0.93,0.1,0.69,0.68,0.63,0.17,415948,3556,71324,5336
Singapore,Starhub,525/05,2015-6,-132.84,-9.39,0.2,0.92,0.71,0.22,0.64,0.7,0.47,0.66,125569,1252,35011,5449
Singapore,SingTel,525/01,2015-6,-116.85,-14.87,0.29,0.93,0.84,0.24,0.91,0.07,0.34,0.1,571187,3945,22871,9316
Slovak Republic,Orange (ex Globtel),231/01,2015-6,-156.02,-12.7,0.16,0.26,0.51,0.26,0.44,0.89,0.24,0.53,605408,8540,20289,6284
Slovenia,SI Mobil,293/40,2015-6,-152.93,-10.05,0.06,0.25,0.24,0.03,0.72,0.69,0.33,0.83,979133,9399,32166,6609
South Africa,Vodacom(SOUTH AFRICA),655/01,2015-6,-100.47,-12.98,0.91,0.21,0.78,0.35,0.63,0.7,0.55,0.09,147082,1051,18508,4785
South Africa,MTN(SOUTH AFRICA),655/10,2015-6,-80.29,-13.23,0.72,0.09,0.16,0.77,0.32,0.5,0.45,0.65,738352,6960,61862,8338
South Korea,KT (KTF),450/08,2015-6,-94.28,-8.62,0.24,0.12,0.62,0.04,0.3,0.77,0.88,0.86,174055,2811,49894,6890
South Korea,SK Telecom,450/05,2015-6,-117.19,-9.23,0.45,0.26,0.42,0.59,0.78,0.54,0.56,0.82,641595,8596,24993,3901
Spain,Orange/Amena,214/03,2015-6,-146.14,-14.03,0.08,0.38,0.76,0.81,0.71,0.81,0.25,0.42,608035,5455,90543,4523
Spain,Vodafone (AirTel),214/01,2015-6,-64.65,-13.68,0.75,0.92,0.41,0.74,0.36,0.13,0.37,0.6,173194,5374,21744,8019
Spain,Xfera Yoigo,214/04,2015-6,-103.4,-7.73,0.28,0.77,0.14,0.2,0.59,0.54,0.39,0.13,361370,4152,39464,1488
Spain,Telefonica Moviles(SPAIN),214/07,2015-6,-151.75,-10.42,0.73,0.17,0.07,0.61,0.23,0.15,0.77,0.4,386589,8354,52042,8857
Sweden,Tele2 - Comviq,240/07,2015-6,-98.74,-13.53,0.98,0.96,0.14,0.26,0.89,0.4,0.12,0.25,579774,1728,28847,3990
Sweden,"Telenor (Vodafone,Europolitn)",240/08,2015-6,-145.28,-14.56,0.95,0.44,0.22,0.57,0.91,0.18,0.37,0.9,795131,7566,65433,8349
Sweden,TeliaSonera Mobile,240/01,2015-6,-63.91,-12.69,0.05,0.3,0.8,0.25,0.68,0.03,0.81,0.04,650552,9544,14608,2463
Switzerland,Swisscom,228/01,2015-6,-80.01,-8.17,0.9,0.46,0.96,0.58,0.83,0.24,0.92,0.34,642597,5623,57855,1575
Switzerland,Sunrise DiAx,228/02,2015-6,-80.84,-6.49,0.95,0.32,0.31,0.46,0.94,0.25,0.24,0.25,490330,7922,67425,7085
Switzerland,Orange(SWITZERLAND),228/03,2015-6,-126.9,-12.03,0.15,0.35,0.29,0.13,0.96,0.46,0.23,0.14,980050,5491,32885,2844
Thailand,True Move  HSPA,520/00,2015-6,-121.29,-11.16,0.93,0.01,0.6,0.83,0.5,0.05,0.05,0.44,147178,3514,47579,9399
Thailand, AIS,520/03,2015-6,-151.75,-11.43,0.11,0.84,0.57,0.59,0.45,0.77,0.88,0.66,319919,2529,61166,7857
Turkey,Vodafone (TelSim),286/02,2015-6,-132.29,-10.05,0.13,0.91,0.33,0.25,0.46,0.24,0.41,0.15,803959,6021,49141,6316
Turkey,Turkcel,286/01,2015-6,-66.33,-14.62,0.21,0.99,0.64,0.9,0.41,0.08,0.37,0.19,417581,4736,17023,9362
United Arab Emirates,Etisalat(UAE),424/02,2015-6,-107.36,-14.19,0.36,0.4,0.71,0.97,0.15,0.19,0.44,0.47,390522,1188,83200,6054
United Arab Emirates,Du,424/03,2015-6,-118.41,-11.59,0.58,0.13,0.02,0.26,0.4,0.38,0.12,0.95,757047,2195,98379,3464
United Kingdom,Vodafone(UK),234/15,2015-6,-74.12,-6.4,0.01,0.2,0.32,0.46,0.19,0.83,0.88,0.91,105055,5298,59189,8110
United Kingdom,Everything Everywhere,234/30,2015-6,-78.67,-10.75,0.66,0.03,0.71,0.7,0.19,0.35,0.53,0.72,920402,9738,58617,4267
United Kingdom,Telefonica O2 (CellNet),234/10,2015-6,-66.25,-12.42,0.1,0.04,0.13,0.19,0.51,0.61,0.91,0.85,769818,4655,20804,1734
United Kingdom,Everything Everywhere (ex-Orange),234/33,2015-6,-84.58,-7.43,0.89,0.6,0.52,0.21,0.77,0.61,0.66,0.85,354702,7943,70288,4679
Unted States,AT&T,310/410,2015-6,-75.22,-11.84,0.45,0.08,0.13,0.87,0.63,0.66,0.33,0.16,733788,5648,35796,6983
Unted States,Guamcell Cellular and Paging,310/370,2015-6,-134.63,-11.18,0.2,0.17,0.53,0.18,0.94,0.52,0.36,1,785443,3286,83919,4191
Unted States,T-Mobile,310/260,2015-6,-78.7,-9.72,0.29,0.23,0.41,0.42,0.77,0.94,0.09,0.38,242899,5093,29153,9126
Unted States,Verizon Wireless,311/48,2015-6,-157.21,-13.74,0.9,0.43,0.37,0.16,0.26,0.45,0.7,0.45,953292,8192,28185,3226
Albania,Vodafone(ALBANIA),276/02,2015-7,-113.62,-10.85,0.79,0.63,0.87,0.65,0.9,0.74,0.65,0.55,431446,8684,46630,4962
Australia,Vodafone Hutchison,505/03,2015-7,-69.56,-13.67,0.73,0.85,0.77,0.16,0.08,0.39,0.64,0.56,487207,4369,54996,8393
Australia,Optus,505/02,2015-7,-153.75,-11.24,0.92,0.49,0.69,0.45,0.68,0.48,0.65,0.29,109021,5502,96282,4466
Australia,Telstra,505/01,2015-7,-80.38,-9.9,0.63,0.3,0.05,0.57,0.2,0.99,0.18,0.15,364524,6734,32739,8152
Austria,A1 Austria Telekom (Mobilkom),232/01,2015-7,-127.21,-12.08,0.07,0.54,0.01,0.04,0.26,0.52,0.41,0.91,657374,5762,19843,6578
Austria,H3G(AUSTRIA),232/10,2015-7,-129.75,-7.65,0.33,0.96,0.04,0.86,0.11,0.78,0.26,0.32,728121,8532,80943,6190
Bahrain,Viva,426/04,2015-7,-73.05,-10.49,0.43,0.81,0.28,0.33,0.62,0.95,0.44,0.73,241608,6227,55537,8243
Bahrain,Batelco,426/01,2015-7,-130.51,-9.46,0.14,0.19,0.55,0.55,0.71,0.41,0.42,0.21,715468,8834,40715,7618
Bahrain,Zain/Vodafone/MTC,426/02,2015-7,-110.96,-13.56,0.79,0.95,0.21,0.57,0.26,0.85,0.41,0.1,991682,9849,80987,6668
Belgium,"Base (KPN,Orange)",206/20,2015-7,-159.68,-11.55,0.75,0.53,0.12,0.61,0.75,0.92,0.83,0.6,175654,5785,63693,1643
Belgium,Mobistar S.A.,206/10,2015-7,-97.6,-11.42,0.47,0.32,0.69,0.47,0.06,0.34,0.34,0.6,417470,9439,34053,8510
Belgium,Belgacom Mobile,206/01,2015-7,-62.73,-11.46,0.24,0.57,0.9,0.75,0.16,0.76,0.19,0.24,530560,9820,11163,4723
Brazil,Vivo S.A,724/10,2015-7,-116.45,-11.08,0.76,0.01,1,0.49,0.68,0.68,0.57,0.52,749939,1521,13469,7961
Brazil,TIM,724/04,2015-7,-111.32,-11.38,0.94,0.37,0.09,0.21,0.19,0.85,0.91,1,774645,2667,69657,8053
Bulgaria,Mobiltel,284/01,2015-7,-149.69,-7.7,0.92,0.29,0.91,0.43,0.47,0.84,0.85,0.15,361367,8431,24977,5271
Canada,Bell Mobility,302/610,2015-7,-85.88,-11.46,0.48,0.25,0.17,0.3,0.38,0.24,0.73,0.04,385242,1149,85231,3349
Canada,Telus Mobility,302/220,2015-7,-137.86,-13.74,0.18,0.05,0.56,0.51,1,0.67,0.14,0.83,684871,2839,95016,9645
China,China Mobile,460/07,2015-7,-66.91,-10.42,0.06,0.95,0.69,0.81,0.7,0.46,0.35,0.4,317226,9473,36158,2418
China,China Unicom,460/01,2015-7,-109.8,-6.26,0.71,0.61,0.54,0.12,0.25,0.84,0.82,0.27,564227,5134,14785,6495
China,China Mobile,460/02,2015-7,-94.74,-11.66,0.41,0.47,0.4,0.67,0.43,0.5,0.59,0.49,569195,1977,98748,4648
China,China Mobile,460/00,2015-7,-89.62,-6.1,0.16,0.52,0.76,0.28,0.73,0.58,0.63,0.63,416993,2459,43559,8927
Croatia,Croatian Telecom (ex T- Mobile),219/01,2015-7,-105.96,-10.52,0.05,0.84,0.8,0.64,1,0.33,0.61,0.08,374909,6646,33804,8502
Croatia,VIP-net,219/10,2015-7,-83.54,-14.05,0.7,0.5,0.51,0.25,0.6,0.15,0.05,0.07,158416,7530,82096,7085
Czech Republic,Telefonica O2 (Eurotel),230/02,2015-7,-74.64,-10.13,0.75,0.28,0.4,0.79,0.86,0.86,0.95,0.56,733089,6967,17082,6982
Denmark,Telenor (Sonofon),238/02,2015-7,-142.99,-14.41,0.26,0.74,0.54,0.18,0.14,0.18,0.3,0.48,567430,1579,73390,9062
Dominica Rep.,"Orange Dominicana, S.A.",370/01,2015-7,-141.65,-14.31,0.06,0.67,0.16,0.49,0.97,0.56,0.13,0.47,528866,2501,18176,7747
Egypt,Vodafone(EGYPT),602/02,2015-7,-86.51,-14.93,0.84,0.41,0.67,0.41,0.76,0.56,0.1,0.41,261629,6211,35773,3334
Egypt,Etisalat Misr,602/03,2015-7,-108.54,-13.19,0.82,0.93,0.23,0.07,0.27,0.83,0.46,0.11,146413,6824,78857,8148
Estonia,Tele2(ESTONIA),248/03,2015-7,-147.56,-6.12,0.22,0.87,0.34,0.36,0.51,0.51,0.78,0.13,196391,5123,63305,3596
France,SFR (Cegetel),208/10,2015-7,-102.7,-6.03,0.58,0.98,1,0.88,0.28,0.21,0.74,0.12,215532,6624,61214,6162
France,Orange (Iteneris),208/01,2015-7,-159.69,-13.8,0.23,0.48,0.26,0.3,0.83,0.05,0.24,0.84,349373,7413,95266,3275
France,Free Mobile,208/15,2015-7,-83.67,-13.32,0.14,0.48,0.21,0.86,0.52,0.68,0.7,0.18,565317,6318,55561,4908
France,Bouygues,208/20,2015-7,-145.36,-10.2,0.25,0.76,0.25,0.93,0.2,0.29,0.73,0.2,621122,5497,20093,4786
Germany,Telekom Deutschland (T-Mobile),262/01,2015-7,-101.72,-14.6,0.39,0.44,0.16,0.72,0.29,0.74,0.34,0.5,314643,3984,15418,3050
Germany,Vodafone(GERMANY),262/02,2015-7,-61.94,-10.56,0.69,0.7,0.99,0.33,0.02,0.46,0.88,0.37,157184,8067,74055,3082
Germany,Telefonica O2/viag,262/07,2015-7,-95.64,-11.89,0.49,0.04,0.46,0.88,0.68,0.7,0.32,0.36,772119,8530,21277,7719
Germany,E-Plus,262/03,2015-7,-84.61,-11.6,0.9,0.48,0.42,0.2,0.6,0.47,0.56,0.08,445116,1834,20236,6673
Hongkong,China Mobile - Peoples,454/12,2015-7,-123.56,-14.95,0.2,0.38,0.97,0.24,0.33,0.2,0.35,0.45,413325,2084,32470,6758
Hongkong,H3G(HONG KONG),454/03,2015-7,-83.98,-8.42,0.32,0.05,0.37,0.09,0.09,0.94,0.52,0.52,582516,6584,84339,3176
Hongkong,PCCW-HKT Telephone Limited,454/19,2015-7,-73.85,-13.98,0.82,0.37,0.84,0.21,0.85,0.91,0.23,0.45,931354,5620,75620,4106
Hongkong,SmarTone - Vodafone,454/06,2015-7,-118.38,-11.62,0.45,0.69,0.21,0.21,0.3,0.24,0.63,0.34,815423,3473,86705,8395
Hongkong,CSL (C&W),454/00,2015-7,-71.78,-14.37,0.21,0.89,0.2,0.55,0.44,0.7,0.27,0.87,875324,8691,41966,8957
Hungary,Vodafone(HUNGARY),216/70,2015-7,-142.04,-12.68,0.87,0.26,0.82,0.49,0.37,0.88,0.73,1,965993,1551,81414,7881
Hungary,T-Mobile(HUNGARY),216/30,2015-7,-119.5,-7.11,0.04,0.24,0.75,0.21,0.52,0.4,0.75,0.42,212199,6765,13449,2599
India,Airtel (Karnataka),404/45,2015-7,-148.48,-7.56,0.46,0.02,0.87,0.55,0.56,0.75,0.03,0.42,503598,9217,93885,7123
India,Airtel (Delhi),404/10,2015-7,-83.5,-13.39,0.61,0.55,0.66,0.01,1,0.44,0.66,0.59,384915,1799,24971,6602
Indonesia,Indosat (IDNSL),510/01,2015-7,-88,-14.62,0.9,0.6,0.19,0.49,0.81,0.04,0.37,0.09,529091,3682,93585,1485
Ireland,Vodafone(IRELAND),272/01,2015-7,-79.49,-6.61,0.55,0.02,0.45,0.58,0.48,0.57,0.33,0.48,585321,6902,36649,6723
Ireland,Meteor,272/03,2015-7,-153.05,-14.9,0.3,0.5,0.26,0.49,0.42,0.95,0.91,0.96,316707,9114,71944,2358
