2015-1,Operator,MCC/MNC,TIME,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (kbps),Data UL Throughput (kbps)
South Africa,Vodacom(SOUTH AFRICA),655/01,3-Aug,-102.01,-6.26,0.79,0.76,0.59,0.18,0.78,0.84,0.19,0.49,743564,2634,44541,4199
South Africa,MTN(SOUTH AFRICA),655/10,3-Aug,-112.2,-11.01,0.17,0.99,0.29,0.54,0.85,0.62,0.88,0.35,656511,7163,29535,3496
South Korea,KT (KTF),450/08,3-Aug,-144.75,-13.87,0.72,0.02,0.44,0.12,0.99,0.51,0.31,0.87,339468,3090,67756,5023
South Korea,SK Telecom,450/05,3-Aug,-76.57,-9.04,0.43,0.84,0.4,0.08,0.78,0.88,0.28,0.4,999998,8872,73744,4966
Spain,Orange/Amena,214/03,3-Aug,-157.83,-12.11,0.73,0.76,0.19,0.92,0.3,0.86,0.59,0.48,937737,9617,17632,8623
Spain,Vodafone (AirTel),214/01,3-Aug,-86.5,-13.62,0.45,0.97,0.85,0.68,0.84,0.19,0.98,0.16,423209,7913,14785,2402
Spain,Xfera Yoigo,214/04,3-Aug,-153.41,-11.51,0.85,0.62,0.07,0.54,0.32,0.12,0.07,0.14,230833,5001,14157,1789
Spain,Telefonica Moviles(SPAIN),214/07,3-Aug,-133.34,-9.26,0.5,0.36,0.79,0.7,0.86,0.73,0.39,0.07,774831,4800,72884,4175
Sweden,Tele2 - Comviq,240/07,3-Aug,-75.35,-13.61,0.57,0.86,0.83,0.51,0.74,0.77,0.5,0.87,939362,5361,11695,8868
Sweden,"Telenor (Vodafone,Europolitn)",240/08,3-Aug,-89.38,-14.58,0.89,0.92,0.5,0.37,0.83,0.2,0.76,0.9,229218,6751,92102,7156
Sweden,TeliaSonera Mobile,240/01,3-Aug,-91.09,-13.11,0.2,0.07,0.74,0.32,0.09,0.59,0.47,0.76,111759,5147,27101,7751
Switzerland,Swisscom,228/01,3-Aug,-97.72,-11.49,0.38,0.81,0.2,0.75,0.51,0.51,0.35,0.99,746257,4143,92342,9624
Switzerland,Sunrise DiAx,228/02,3-Aug,-156.46,-13.78,0.04,0.94,0.59,0.68,0.52,0.93,0.5,0.38,383741,3477,59681,6813
Switzerland,Orange(SWITZERLAND),228/03,3-Aug,-84.01,-6.45,0.53,0.95,0.74,0.03,0.21,0.56,0.02,0.44,872096,9527,34906,4615
Thailand,True Move  HSPA,520/00,3-Aug,-126.23,-13.27,0.56,0.38,0.82,0.92,0.6,0.87,0.55,0.85,496209,1518,68131,1279
Thailand, AIS,520/03,3-Aug,-69.88,-9.81,0.67,0.09,0.88,0.41,0.74,0.92,0.04,0.73,186942,1099,15883,5958
Turkey,Vodafone (TelSim),286/02,3-Aug,-130.56,-7.5,0.8,0.69,0.78,0.81,0.37,0.09,0.77,0.94,882805,4234,43546,9297
Turkey,Turkcel,286/01,3-Aug,-140.1,-9.64,0.12,0.94,0.55,0.3,0.6,0.48,0.52,0.55,488283,5270,11839,2976
United Arab Emirates,Etisalat(UAE),424/02,3-Aug,-159.39,-13.98,0.64,0.17,0.86,0.51,0.7,0.26,0.29,0.62,207401,6363,74602,3358
United Arab Emirates,Du,424/03,3-Aug,-84.76,-6.44,0.59,0.38,0.32,0.64,0.82,0.06,0.53,0.84,226310,5619,47590,5718
United Kingdom,Vodafone(UK),234/15,3-Aug,-70.81,-8.42,1,0.45,0.67,0.78,0.62,0.41,0.7,0.56,509060,2630,26161,3908
United Kingdom,Everything Everywhere,234/30,3-Aug,-112.59,-11.31,0.44,0.59,0.95,0.33,0.23,0.79,0.4,0.56,987521,4219,24857,5221
United Kingdom,Telefonica O2 (CellNet),234/10,3-Aug,-140.89,-7.75,0.42,0.3,0.9,0.28,0.48,0.82,0.62,0.33,660687,9302,91626,7622
United Kingdom,Everything Everywhere (ex-Orange),234/33,3-Aug,-101.84,-8.79,0.25,0.2,0.22,0.68,0.13,0.07,0.22,0.75,981880,3950,91664,9633
Unted States,AT&T,310/410,3-Aug,-151.77,-9.52,0.96,0.93,0.65,0.69,0.93,0.08,0.9,0.44,859338,2454,36786,7362
Unted States,Guamcell Cellular and Paging,310/370,3-Aug,-118.33,-9.5,0.77,0.6,0.93,0.61,0.67,0.65,0.57,0.57,956499,6105,11647,4394
Unted States,T-Mobile,310/260,3-Aug,-158.79,-9.73,0.41,0.94,0.3,0.91,0.4,0.78,0.23,0.39,445254,5154,75466,5667
Unted States,Verizon Wireless,311/48,3-Aug,-79.84,-9.56,0.49,0.01,0.5,0.02,0.36,0.68,0.21,0.27,301997,2209,33717,2887
Albania,Vodafone(ALBANIA),276/02,4-Aug,-100.01,-6.23,0.8,0.38,0.5,0.35,0.65,0.05,0.83,0.6,589212,7032,53925,2297
Australia,Vodafone Hutchison,505/03,4-Aug,-95.8,-10.01,0.52,0.41,0.95,0.25,0.5,0.28,0.2,0.63,248833,3758,95406,4027
Australia,Optus,505/02,4-Aug,-77.83,-13.39,0.41,0.98,0.33,0.06,0.42,0.4,0.41,0.51,459415,4775,56273,5437
Australia,Telstra,505/01,4-Aug,-140.36,-13.73,0.54,0.18,0.59,0.54,0.06,0.6,0.14,0.02,653849,5605,35201,8162
Austria,A1 Austria Telekom (Mobilkom),232/01,4-Aug,-102.66,-6.78,0.21,0.44,0.79,0.45,0.14,0.64,0.05,0.31,991928,7431,94779,9421
Austria,H3G(AUSTRIA),232/10,4-Aug,-82.58,-6.86,0.13,0.22,0.16,0.23,0.41,0.68,0.67,0.35,179232,8519,18907,3778
Bahrain,Viva,426/04,4-Aug,-133.48,-7.61,0.61,0.72,0.62,0.82,0.55,0.01,0.26,0.29,976809,3541,47083,1240
Bahrain,Batelco,426/01,4-Aug,-134.12,-13.27,0.67,0.25,0.59,0.77,0.71,0.03,0.27,0.04,241009,2859,99417,6590
Bahrain,Zain/Vodafone/MTC,426/02,4-Aug,-116.34,-13.66,0.72,0.3,0.45,0.11,0.94,0.13,0.01,0.82,985443,5983,81324,1646
Belgium,"Base (KPN,Orange)",206/20,4-Aug,-70.34,-12.94,0.55,0.62,0.2,0.66,0.24,0.22,0.31,0.4,306927,6391,15218,1020
Belgium,Mobistar S.A.,206/10,4-Aug,-110.42,-14.36,0.73,0.44,0.9,0.18,0.47,0.58,0.9,0.18,296003,3922,92466,2602
Belgium,Belgacom Mobile,206/01,4-Aug,-120.38,-7.97,0.28,0.62,0.59,0.24,0.18,0.72,0.06,0.44,607122,1152,91583,7220
Brazil,Vivo S.A,724/10,4-Aug,-137.95,-7.38,0.69,0.53,0.71,0.63,0.35,0.96,0.59,0.42,523974,8393,81037,2357
Brazil,TIM,724/04,4-Aug,-158.26,-12.34,0.03,0.1,0.73,0.24,0.19,0.62,0.79,0.85,617844,9134,94073,2218
Bulgaria,Mobiltel,284/01,4-Aug,-128.98,-10.35,0.9,0.77,0.38,0.82,0.61,0.34,0.97,0.01,499019,5639,68893,6953
Canada,Bell Mobility,302/610,4-Aug,-63.82,-6.8,0.61,0.79,0.22,0.59,0.26,0.98,0.96,0.79,837215,9371,26888,4230
Canada,Telus Mobility,302/220,4-Aug,-70.06,-11.94,0.54,0.42,0.25,0.32,0.85,0.79,0.76,0.62,238355,4237,92638,2376
China,China Mobile,460/07,4-Aug,-80.71,-10.16,0.81,0.27,0.77,0.21,0.9,0.73,0.35,0.17,288286,7700,99929,5531
China,China Unicom,460/01,4-Aug,-106.33,-11.89,0.39,0.8,0.45,0.72,0.45,0.18,0.96,0.01,188944,9446,80297,7009
China,China Mobile,460/02,4-Aug,-127.2,-11.62,0.54,0.34,0.95,0.01,0.66,0.12,0.89,0.69,755311,8176,80300,2826
China,China Mobile,460/00,4-Aug,-88.86,-6.08,0.15,0.25,0.04,0.75,0.98,0.55,0.71,0.77,644114,5047,95739,3016
Croatia,Croatian Telecom (ex T- Mobile),219/01,4-Aug,-62.25,-12.67,0.29,0.83,0.1,0.06,0.16,0.11,0.3,0.81,199632,7812,47460,8421
Croatia,VIP-net,219/10,4-Aug,-121.27,-12.38,0.31,0.53,0.64,1,0.11,0.55,0.67,0.2,755609,6578,86324,5889
Czech Republic,Telefonica O2 (Eurotel),230/02,4-Aug,-65.75,-12.05,0.51,0.59,0.84,0.92,0.97,0.49,0.48,0.54,311518,8767,99559,8925
Denmark,Telenor (Sonofon),238/02,4-Aug,-66.5,-8.43,0.45,0.88,0.02,0.85,0.29,0.26,0.68,0.45,965981,1081,42570,3740
Dominica Rep.,"Orange Dominicana, S.A.",370/01,4-Aug,-109.98,-9.59,0.76,0.09,0.86,0.77,0.8,0.12,0.64,0.83,767157,1176,75676,3018
Egypt,Vodafone(EGYPT),602/02,4-Aug,-75.12,-6.97,0.36,0.05,0.5,0.14,0.92,0.05,0.38,0.28,347309,3031,76172,9067
Egypt,Etisalat Misr,602/03,4-Aug,-131.31,-6.8,0.81,0.66,0.09,0.45,0.68,0.36,0.62,0.04,590875,2417,18636,4305
Estonia,Tele2(ESTONIA),248/03,4-Aug,-116.54,-8.63,0.45,0.84,0.98,0.87,0.73,0.07,0.63,0.08,320329,6643,37643,1147
France,SFR (Cegetel),208/10,4-Aug,-97.1,-8.35,0.51,0.43,0.3,0.69,0.99,0.71,0.91,0.11,426123,1469,75161,1007
France,Orange (Iteneris),208/01,4-Aug,-92.7,-7.05,0.47,0.42,0.96,0.74,0.72,0.22,0.85,0.25,202748,4191,13430,4255
France,Free Mobile,208/15,4-Aug,-117.85,-11.67,0.09,0.03,1,0.25,0.06,0.06,0.49,0.82,240980,3971,81945,8434
France,Bouygues,208/20,4-Aug,-71.93,-12.96,0.3,0.15,0.7,0.59,0.34,0.34,0.55,0.25,158314,2349,34722,2460
Germany,Telekom Deutschland (T-Mobile),262/01,4-Aug,-139.22,-13.03,0.5,0.13,0.64,0.58,0.09,0.81,0.42,0.63,585530,2481,34720,6024
Germany,Vodafone(GERMANY),262/02,4-Aug,-128.69,-9.25,0.76,0.15,0.88,0.54,0.9,0.09,0.07,0.65,753380,8578,37185,2703
Germany,Telefonica O2/viag,262/07,4-Aug,-123.29,-11.88,0.12,0.13,0.91,0.64,0.16,0.04,0.25,0.93,546540,8322,74933,5156
Germany,E-Plus,262/03,4-Aug,-99.14,-13.67,0.27,0.96,0.06,0.97,0.03,0.66,0.01,0.72,977947,2684,39438,2430
Hongkong,China Mobile - Peoples,454/12,4-Aug,-115.31,-13.49,0.22,0.98,0.21,0.91,0.99,0.05,1,0.72,624400,6309,63975,6624
Hongkong,H3G(HONG KONG),454/03,4-Aug,-129.05,-11.25,0.48,0.48,0.73,0.52,0.15,0.07,0.44,0.12,932540,6910,71926,1338
Hongkong,PCCW-HKT Telephone Limited,454/19,4-Aug,-125.18,-9.11,0.75,0.56,0.35,0.89,0.97,0.16,0.85,0.8,354390,7825,78913,1402
Hongkong,SmarTone - Vodafone,454/06,4-Aug,-113.44,-14.37,0.47,0.62,0.61,0.61,0.96,0.89,0.02,0.72,253886,1856,18728,9144
Hongkong,CSL (C&W),454/00,4-Aug,-105.85,-7.04,0.85,0.21,0.25,0.74,0.29,0.54,0.19,0.79,888980,5435,24249,1891
Hungary,Vodafone(HUNGARY),216/70,4-Aug,-110.01,-11.66,0.16,0.29,0.76,0.56,0.55,0.53,0.53,0.17,581157,8332,99493,2770
Hungary,T-Mobile(HUNGARY),216/30,4-Aug,-100.3,-10.72,0.33,0.86,0.21,0.34,0.93,0.44,0.27,0.06,134870,8421,67513,4239
India,Airtel (Karnataka),404/45,4-Aug,-80.12,-12.71,0.87,0.98,0.42,0.16,0.38,0.15,0.87,0.25,282125,1902,40317,7033
India,Airtel (Delhi),404/10,4-Aug,-78.49,-8.79,0.96,0.96,0.78,0.11,0.16,0.71,0.36,0.21,222610,2977,69516,7656
Indonesia,Indosat (IDNSL),510/01,4-Aug,-92.66,-6.49,0.68,0.79,0.69,0.64,0.93,0.95,0.43,0.75,438002,6511,62273,8712
Ireland,Vodafone(IRELAND),272/01,4-Aug,-66.86,-13.95,0.25,0.67,0.15,0.88,0.65,0.64,0.34,0.04,345717,2043,43876,5216
Ireland,Meteor,272/03,4-Aug,-115.3,-8.6,0.5,0.52,0.88,0.48,0.41,0.63,0.73,0.92,214663,5691,61495,3641
Ireland,Telefonica O2 (East DigiFone),272/02,4-Aug,-154.14,-11.08,0.8,0.2,0.64,0.42,0.96,0.29,0.34,0.54,443274,2699,59145,7979
Italy,Vodafone Omnitel,222/10,4-Aug,-62.17,-10.5,0.92,0.86,0.51,0.15,0.17,0.27,0.43,0.52,870402,4005,73212,6680
Italy,Wind,222/88,4-Aug,-111.38,-12.48,0.96,0.53,0.95,0.87,0.74,0.53,0.19,0.42,392954,8009,44354,1518
Japan,KDDI Corporation,440/51,4-Aug,-88.75,-9.88,0.55,0.27,0.82,0.94,0.28,0.33,0.08,0.14,565018,5164,77971,5517
Japan,Soft Bank (Vodafone KK),440/20,4-Aug,-82.26,-7.84,0.17,0.09,0.7,0.79,0.67,0.65,0.41,0.95,328131,5101,96774,8440
Japan,KDDI,440/50,4-Aug,-68.05,-10.16,0.64,0.06,0.4,0.43,0.66,0.78,0.04,0.94,749654,8601,71997,2443
Japan,NTT Docomo,440/10,4-Aug,-103.7,-11.69,0.64,0.38,0.65,0.74,0.32,0.17,0.82,0.99,700914,7307,97592,9306
Jordan,Zain (Fastlink),416/01,4-Aug,-64.4,-12.45,0.94,0.56,0.07,0.29,0.77,0.22,0.41,0.75,499614,1316,64662,4413
Jordan,Orange (MobileCom),416/77,4-Aug,-152.43,-8.35,0.13,0.68,0.53,0.58,0.11,0.33,0.4,0.65,756449,1259,65002,2326
Kazakhstan ,K-Cell,401/02,4-Aug,-93.68,-8.51,0.84,0.11,0.33,0.19,0.98,0.74,0.91,0.62,256399,7714,91890,7903
Kuwait,MTC/Zain,419/02,4-Aug,-114.95,-7.66,0.3,0.64,0.87,0.35,0.63,0.43,0.73,0.09,199991,4504,66444,7604
Kuwait,Viva (KTC),419/04,4-Aug,-106.29,-10.19,0.15,0.85,0.63,0.48,0.69,0.3,0.23,0.18,845919,4786,36750,3240
Lebanon,MTC (MIC 2 Touch),415/03,4-Aug,-76,-14.63,0.09,0.21,0.39,0.64,0.64,0.77,0.69,0.3,807679,7351,65109,5883
Luxembourg,Tango,270/77,4-Aug,-73.58,-12.43,0.32,0.36,0.45,0.6,0.58,0.67,0.84,0.45,308166,3996,22528,8295
Macao,CTM,455/01,4-Aug,-88.46,-6.63,0.32,1,0.18,0.51,0.15,0.09,0.31,0.19,429718,1460,52090,1466
Macao,Hutchison 3,455/03,4-Aug,-115.05,-8.03,0.34,0.23,0.33,0.9,0.14,0.12,0.19,0.48,148317,8638,93062,9865
Malaysia,Celcom,502/19,4-Aug,-99.93,-10.68,0.18,0.33,0.21,0.82,0.32,0.89,0.32,0.55,395358,6607,48734,2645
Malaysia,DiGi  Telecommunication,502/16,4-Aug,-68.05,-8.94,0.4,0.26,0.17,0.63,0.07,0.22,0.67,0.75,491116,4930,55548,3954
Malaysia,Maxis,502/12,4-Aug,-109.1,-14.23,0.09,0.01,0.38,0.82,0.58,0.97,0.65,0.74,423451,6812,17880,2715
Malta,Vodafone(MALTA),278/01,4-Aug,-129.44,-6.19,0.71,0.86,0.2,0.12,0.14,0.87,0.62,0.6,782159,7941,75730,7492
Mauritius,Cellplus Orange,617/01,4-Aug,-84.8,-6.55,0.82,0.96,0.67,0.2,0.02,0.07,0.69,0.41,206151,1929,41055,3117
Netherlands,Vodafone(NETHERLANDS),204/04,4-Aug,-81.27,-8.85,0.89,0.5,0.48,0.34,0.6,0.29,0.74,0.54,527535,6504,54169,5943
Netherlands,T-mobile (ex Ben),204/16,4-Aug,-145.15,-7.7,0.16,0.28,0.21,0.76,0.18,0.69,0.25,0.36,777524,6242,25943,5759
New Zealand,Vodafone(NEW ZEALAND),530/01,4-Aug,-69.55,-8.27,0.16,0.67,0.6,0.16,0.95,0.78,0.06,0.26,508023,4382,69081,9676
Nigeria,EMTS,621/60,4-Aug,-84.9,-13.6,0.65,0.02,0.66,0.77,0.4,0.64,0.53,0.46,865263,4301,14227,2566
Norway,Telenor Mobile,242/01,4-Aug,-134.37,-11.61,0.08,0.64,0.67,0.03,0.4,0.62,0.44,0.5,479161,9146,27633,3180
Norway,NetCom TeliaSonera,242/02,4-Aug,-137.72,-8.52,0.21,0.65,0.73,0.74,0.21,0.71,0.37,0.08,652813,2341,41169,2253
Oman,Nawras,422/03,4-Aug,-141.11,-11.15,0.92,0.6,0.25,0.46,0.81,0.7,0.14,0.15,497825,1520,14952,8463
Oman,Oman Mobile - GTO (Omantel),422/02,4-Aug,-126.61,-13.44,0.35,0.64,0.16,0.59,0.61,0.13,0.92,0.83,969075,8348,41390,7884
Philippines,Smart,515/03,4-Aug,-107.94,-14.69,0.5,0.28,0.4,0.11,0.7,0.14,0.53,0.45,514312,3234,56265,1231
Poland,"T-Mobile (ERA,PTC)",260/02,4-Aug,-152.89,-8.38,0.95,0.61,0.97,0.23,0.2,0.17,0.85,0.78,283047,1495,65830,9616
Poland,Orange/Centertel,260/03,4-Aug,-124.1,-13.36,0.95,0.04,0.09,0.98,0.36,0.14,0.49,0.12,161138,3350,42427,4051
Portugal,Vodafone(PORTUGAL),268/01,4-Aug,-157.25,-12.76,0.09,0.54,0.07,0.2,0.78,0.75,0.81,0.18,231173,9044,20856,5997
Portugal,Optimus (Sonecom),268/03,4-Aug,-111.2,-9.55,0.46,0.04,0.36,0.83,0.95,0.72,0.31,0.98,518433,3608,88189,3198
Qatar,Vodafone(QATAR),427/02,4-Aug,-159.58,-13.45,0.12,0.53,0.73,0.72,0.54,0.81,0.26,0.06,638873,9078,32951,7864
Qatar,Q-Tel,427/01,4-Aug,-152.3,-13.14,0.32,0.05,0.52,0.85,0.09,0.51,0.5,0.45,935799,2683,12410,8045
Romania,Orange (Mobilrom),226/10,4-Aug,-125.03,-9.12,0.73,0.49,0.19,0.55,0.13,0.75,0.06,0.91,380335,2605,23425,7917
Russia,MTS(RUSSIA),250/01,4-Aug,-85.02,-11.56,0.45,0.76,0.95,0.44,0.43,0.08,0.8,0.17,376522,7667,65663,7906
Russia,MegaFon,250/02,4-Aug,-108.51,-12.21,0.88,0.79,0.37,0.25,0.16,0.98,0.6,0.29,364947,4884,32017,4608
Russia,Vimpelcom Beeline (KB Impuls),250/99,4-Aug,-105.36,-7.43,0.17,0.37,0.79,0.69,0.91,0.73,0.6,0.35,401416,7469,98654,1130
Saudi Arabia,Saudi Telecom Company,420/01,4-Aug,-91.21,-13.49,0.96,0.3,0.5,0.8,0.36,0.68,0.86,0.5,985310,1143,71238,2844
Saudi Arabia,Mobily,420/03,4-Aug,-63.65,-7.68,0.39,0.71,0.18,0.88,0.69,0.06,0.08,0.37,231277,8714,11815,6221
SERBIA,Telenor Serbia,220/01,4-Aug,-79.72,-9.06,0.8,0.71,0.31,0.01,0.87,0.22,0.46,0.52,862987,8654,46852,9453
Singapore,Mobile One,525/03,4-Aug,-158.38,-8.07,0.92,0.21,0.65,0.05,0.68,0.2,0.82,0.27,772939,6893,51079,8724
Singapore,Starhub,525/05,4-Aug,-84.99,-6.32,0.93,0.96,0.07,0.27,0.33,0.48,0.65,0.97,955923,1051,95718,4980
Singapore,SingTel,525/01,4-Aug,-103.66,-6.29,0.79,0.14,0.06,0.85,0.15,0.73,0.67,0.4,872790,3345,98994,2829
Slovak Republic,Orange (ex Globtel),231/01,4-Aug,-119.29,-8.89,0.96,0.79,0.68,1,0.18,0.2,0.89,0.74,578243,5956,80628,4191
Slovenia,SI Mobil,293/40,4-Aug,-75.48,-11.79,0.16,0.92,0.22,0.36,0.53,0.42,0.95,0.06,795176,6201,94369,3461
South Africa,Vodacom(SOUTH AFRICA),655/01,4-Aug,-140.88,-8.37,0.17,0.99,0.04,0.2,0.33,0.72,0.87,0.38,260302,6697,75102,7937
South Africa,MTN(SOUTH AFRICA),655/10,4-Aug,-103.73,-9.65,0.66,0.11,0.34,0.73,0.78,0.58,0.17,0.36,332763,9823,51929,9985
South Korea,KT (KTF),450/08,4-Aug,-77.2,-14.66,0.77,0.97,0.65,0.06,0.56,0.96,0.37,0.21,576960,5405,97327,4767
South Korea,SK Telecom,450/05,4-Aug,-110.24,-8.29,0.32,0.98,0.5,0.52,0.49,0.48,0.7,0.14,230663,7405,84172,1792
Spain,Orange/Amena,214/03,4-Aug,-134.16,-10.55,0.91,0.13,0.06,0.75,0.72,0.81,0.93,0.45,581830,7053,70414,1854
Spain,Vodafone (AirTel),214/01,4-Aug,-108.23,-7.9,0.12,0.33,0.48,0.41,0.06,0.15,0.72,0.1,705950,6805,14523,1558
Spain,Xfera Yoigo,214/04,4-Aug,-120.53,-6.26,0.75,0.86,0.13,0.2,0.47,0.78,0.36,0.6,304401,4559,39614,1752
Spain,Telefonica Moviles(SPAIN),214/07,4-Aug,-105.02,-9.07,0.77,0.76,1,0.97,0.65,0.02,0.34,0.88,596698,6624,36175,8475
Sweden,Tele2 - Comviq,240/07,4-Aug,-98.88,-7.55,0.03,0.86,0.74,0.6,0.5,0.91,0.46,0.97,871223,7544,49260,5811
Sweden,"Telenor (Vodafone,Europolitn)",240/08,4-Aug,-125.25,-6.09,0.14,0.79,0.6,0.21,0.39,0.11,0.23,0.63,573672,6554,16149,7721
Sweden,TeliaSonera Mobile,240/01,4-Aug,-94.16,-14.4,0.91,0.02,0.73,0.69,0.27,0.02,0.63,0.68,779216,8237,48931,9199
Switzerland,Swisscom,228/01,4-Aug,-86.68,-10.01,0.59,0.06,0.17,0.27,0.89,0.27,0.42,0.66,830282,2775,36371,6599
Switzerland,Sunrise DiAx,228/02,4-Aug,-94.46,-12.31,0.6,0.7,0.41,0.02,0.39,0.77,0.72,0.51,234530,9501,81584,6191
Switzerland,Orange(SWITZERLAND),228/03,4-Aug,-148.63,-7.37,0.54,0.73,0.82,0.89,0.26,0.55,0.71,0.97,494388,1623,29775,6932
Thailand,True Move  HSPA,520/00,4-Aug,-128.05,-11.18,0.99,0.19,0.63,0.98,0.02,0.81,0.74,0.07,738862,2015,22014,5873
Thailand, AIS,520/03,4-Aug,-78.91,-10.45,0.22,0.81,0.99,0.77,0.23,0.87,0.57,0.68,900234,5840,52637,6270
Turkey,Vodafone (TelSim),286/02,4-Aug,-119.69,-7.91,0.02,0.82,0.09,0.82,0.08,0.02,0.75,0.68,305813,8949,32433,6196
Turkey,Turkcel,286/01,4-Aug,-80.38,-14.15,0.49,0.81,0.27,0.13,0.82,0.24,0.67,0.59,577916,9893,85135,1010
United Arab Emirates,Etisalat(UAE),424/02,4-Aug,-74.59,-11.04,0.83,0.79,0.11,0.78,0.75,0.73,0.19,0.85,548793,3053,49821,3375
United Arab Emirates,Du,424/03,4-Aug,-95.93,-6.2,0.98,0.66,0.84,0.56,0.95,0.55,0.11,0.15,954702,8083,35583,2474
United Kingdom,Vodafone(UK),234/15,4-Aug,-87.32,-10.46,0.77,0.03,0.99,0.12,0.98,0.35,0.83,0.03,824559,6319,99503,3170
United Kingdom,Everything Everywhere,234/30,4-Aug,-80.77,-11.2,0.59,0.73,0.93,0.82,0.46,0.3,0.03,0.08,490849,4949,83714,1360
United Kingdom,Telefonica O2 (CellNet),234/10,4-Aug,-103.69,-10.41,0.78,0.18,0.87,0.14,0.53,0.16,0.08,0.96,310689,3075,71404,3242
United Kingdom,Everything Everywhere (ex-Orange),234/33,4-Aug,-141.9,-8.56,0.07,0.57,0.8,0.98,0.67,0.08,0.1,0.57,602254,8774,17331,1876
Unted States,AT&T,310/410,4-Aug,-157.8,-10.49,0.69,0.06,0.81,0.34,0.38,0.87,0.37,0.92,838355,5763,34388,1340
Unted States,Guamcell Cellular and Paging,310/370,4-Aug,-60.72,-7.9,0.53,0.37,0.05,0.06,0.45,0.05,0.33,0.02,523595,5394,16152,2924
Unted States,T-Mobile,310/260,4-Aug,-104.48,-6.43,0.99,0.31,0.09,0.2,0.53,0.84,0.1,0.37,630879,3507,66858,8015
Unted States,Verizon Wireless,311/48,4-Aug,-107.11,-10.19,0.29,0.3,0.92,0.51,0.98,0.63,0.17,0.46,815011,7955,87473,9872
Albania,Vodafone(ALBANIA),276/02,5-Aug,-157.63,-11.36,0.65,0.96,0.95,0.22,0.7,0.07,0.04,0.28,788202,8998,50479,8665
Australia,Vodafone Hutchison,505/03,5-Aug,-66.83,-9.43,0.09,0.12,0.53,0.58,0.83,0.52,0.64,0.87,877777,2105,41488,5433
Australia,Optus,505/02,5-Aug,-146.67,-11.28,0.92,0.53,0.29,0.12,0.48,0.77,0.74,0.21,370566,3590,50301,6784
Australia,Telstra,505/01,5-Aug,-64.45,-14.98,0.45,0.4,0.68,0.53,0.17,0.9,0.9,0.12,930717,5370,86603,8921
Austria,A1 Austria Telekom (Mobilkom),232/01,5-Aug,-155.73,-14.26,0.65,0.58,0.66,0.17,0.84,0.11,0.44,0.51,913998,9388,73030,5536
Austria,H3G(AUSTRIA),232/10,5-Aug,-135.34,-10.91,0.37,0.14,0.11,0.17,0.53,0.88,0.28,0.32,981431,1235,93447,2275
Bahrain,Viva,426/04,5-Aug,-142.95,-8.85,0.04,0.76,0.44,0.3,0.5,0.67,0.03,0.96,740610,3552,10134,9405
Bahrain,Batelco,426/01,5-Aug,-68.87,-11.92,0.54,0.51,0.95,0.38,0.4,0.64,0.23,0.75,578083,2044,65244,8544
Bahrain,Zain/Vodafone/MTC,426/02,5-Aug,-80.79,-11.62,0.73,0.88,0.1,0.72,0.29,0.75,0.33,0.18,743498,2914,29637,2212
Belgium,"Base (KPN,Orange)",206/20,5-Aug,-135.97,-6.5,0.94,0.18,0.56,0.71,0.41,0.13,0.36,0.9,621482,8070,54870,6415
Belgium,Mobistar S.A.,206/10,5-Aug,-124.78,-12.07,0.17,0.65,0.87,0.48,0.92,0.73,0.54,0.72,319048,9965,61917,8744
Belgium,Belgacom Mobile,206/01,5-Aug,-70.58,-10.53,0.05,0.4,0.73,0.47,0.43,0.98,0.6,0.6,196146,5236,65262,7542
Brazil,Vivo S.A,724/10,5-Aug,-157.79,-8.31,0.04,0.44,0.23,0.56,0.16,0.07,0.9,0.65,209511,6954,47001,9781
Brazil,TIM,724/04,5-Aug,-144.64,-9.63,0.48,0.41,0.04,0.08,0.09,0.65,0.89,0.39,976159,8022,29286,8648
Bulgaria,Mobiltel,284/01,5-Aug,-98.33,-6.65,0.61,0.2,0.67,0.33,0.33,0.76,0.41,0.22,949552,6057,35627,9745
Canada,Bell Mobility,302/610,5-Aug,-105.74,-10.3,0.66,0.88,0.2,0.64,0.48,0.53,0.91,0.22,952816,4240,14352,1067
Canada,Telus Mobility,302/220,5-Aug,-118.53,-11.12,0.77,0.32,0.76,0.32,0.99,0.49,0.71,0.42,966641,7509,37123,7134
China,China Mobile,460/07,5-Aug,-92.85,-11.88,0.8,0.11,0.12,0.17,0.87,0.16,0.17,0.51,237967,3346,68309,6940
China,China Unicom,460/01,5-Aug,-158.52,-9.35,0.59,0.15,0.05,0.6,0.06,0.31,0.66,0.59,799899,8501,55485,4889
China,China Mobile,460/02,5-Aug,-125.23,-12.63,0.09,0.81,0.89,0.13,0.78,0.82,0.55,0.41,264530,4318,87206,7420
China,China Mobile,460/00,5-Aug,-88.68,-12.74,0.28,0.27,0.67,0.34,0.48,0.21,0.17,0.01,977759,3876,55817,9897
Croatia,Croatian Telecom (ex T- Mobile),219/01,5-Aug,-112.4,-13.58,0.88,0.84,0.87,0.55,0.71,0.86,0.56,0.69,487534,9314,70310,1047
