Region,Time,Subscriber_Prepaid,Subscriber_Postpaid,Subscriber_Combo1,Subscriber_Combo2,Subscriber_Combo3,Subscriber_Combo4,Subscriber_Combo5,Subscriber_Combo6,Subscriber_Combo12,VoLTE Holding Time_VoLTE holding Time,Data_Downlink traffic,Data_Uplink traffic,Coverage_Avg RSRP,Coverage_SINR,Quality_Avg RSRQ,VoLTE_Call setup success rate,VoLTE_Call completion success rate,VoLTE_Call setup time ,VoLTE_Drop call rate,VoLTE_IMS registration latency ,VoLTE_IMS registration success rate,VoLTE_HO interruption time,VoLTE_MOS,VoLTE_Speech path delay,Data_Call setup success rate,Data_Call completion success rate,Data_Call setup time ,Data_Drop call rate,Data_HO interruption time ,Data_Low throughput samples rate,Data_Retransmission rate,Streaming_Startup time,Streaming_MOS,Streaming_Freeze rate ,Streaming_Number of video stall,Streaming_Dropped frame rate,Streaming_Reproduction start failure rate,Streaming_Reproduction start delay,Streaming_Buffering time,Streaming_number of re-buffering,Streaming_Synchronization index,Streaming_Throughput,Streaming_Inter packet delay,Streaming_Jitter,Streaming_Packet loss rate,Streaming_Round trip time,Gaming_Startup time,Gaming_MOS,Gaming_Dropped frame rate,Gaming_Reproduction start failure rate,Gaming_Reproduction start delay,Gaming_Throughput,Gaming_Inter packet delay,Gaming_Jitter,Gaming_Packet loss rate,Gaming_Round trip time,Chatting_DNS lookup attempt,Chatting_Avg ping time,Chatting_App login time
AYE,5:00,3998,34156,21139,2446,1480,1756,2156,2552,2626,142.82,1902.04,418.50,-78.71,17.37,-8.57,98.8,99.16,284.93,0.45,38.33,98.41,61.92,4,51.54,98.93,99.77,242.1,0.59,68.38,1.96,0.2,986.5,4,0.08,1,0.62,0.94,500.62,853.24,1,0.32,2.35,69.04,32.77,0.12,31.27,730.94,4,0.92,0.13,907.46,2.28,80.21,89.06,0.38,85.76,1,79.36,89.88
BDK,5:00,3883,31846,18384,2102,2571,2502,1912,2302,2072,87.55,1995.18,380.93,-74.04,22.21,-10.35,98.7,98.92,187.05,0.34,94.24,97.61,50.7,4,58.99,98.06,97.77,229.28,0.23,94.62,1.18,0.21,821.65,5,0.89,1,0.36,0.12,455.36,522.65,2,0.29,7.54,55.16,61.11,0.7,42.01,577.6,5,0.14,0.79,657.61,6.2,45.36,95.46,0.98,84.46,3,66.17,39.03
BKK,5:00,2454,30946,19715,1978,1538,2157,2235,1856,1468,71.83,1472.12,433.34,-76.83,22.75,-8.27,97.03,97.72,226.54,0.73,71.79,97.66,68.7,4,58.52,99.67,99.28,193.31,0.76,94.21,1.58,0.19,956.86,5,0.69,1,0.53,0.56,938.34,640.04,3,0.56,1.4,71.63,81.29,0.3,89.47,468.11,5,0.59,0.49,739.01,5.96,71.98,93.91,0.57,97.14,1,79.73,31.89
BKT,5:00,1950,32352,20374,2097,2395,2553,2236,1901,797,166.44,2023.60,382.11,-78.85,16.78,-11.97,98.68,98.24,227.88,1,84.23,99.9,96.41,5,61.92,99.68,97.15,192.51,0.1,53.88,1.47,0.22,645.19,5,0.83,2,0.45,0.3,829.77,929.64,3,0.98,6.01,63.68,62.93,0.09,56.43,899.81,5,0.81,0.75,744.76,5.89,45.62,33.19,0.95,74.04,2,98.05,32.81
BLT,5:00,3514,32633,19075,1719,3165,2021,2580,1893,2181,4.57,2450.71,396.33,-84.59,20.29,-8.3,98.75,97.05,291.38,0.2,75.94,97.58,60.99,4,61.28,99.63,97.64,237.38,1,63.26,1.85,0.1,655.18,4,0.66,1,0.21,0.65,483.34,869.37,1,0.43,4.62,93.6,98.57,0.94,56.26,458.19,5,0.58,0.74,312.64,1.96,98.46,59.29,0.62,97.37,1,91.04,57.63
BLY,5:00,1444,31801,19525,1644,2156,2286,2498,1955,1737,88.60,2323.67,418.47,-71.59,20.02,-11.26,100,98.63,280.72,0.15,86.62,97.79,82.21,4,88.59,98.95,99.29,213.94,0.52,40.98,1.53,0.17,360.99,5,0.16,2,0.55,0.92,894.51,665.05,2,0.14,8.14,58.45,68.25,0.77,74.1,959.88,5,0.72,0.27,748.42,7.5,88.06,32.62,0.35,57.13,1,42.54,72.04
BSN,5:00,2661,34012,20687,2289,2554,2709,2713,1509,1550,30.18,1687.37,381.75,-78.85,16.34,-8.89,100,97.27,173.94,0.26,54.15,98.24,81.68,4,54.11,99.04,98.91,239.19,0.43,72.11,1.98,0.26,678.28,4,0.88,1,0.78,0.37,529.01,990.31,2,0.75,9.37,86.71,65.76,0.68,74.5,761.16,4,0.41,0.29,528.39,9.71,80.79,83.67,0.89,58.96,2,60.95,40.42
BTB,5:00,2482,31447,20396,2273,2027,1425,1902,1486,1938,131.34,2404.31,445.88,-78.55,17.47,-9.13,100,98.97,234.36,0.46,44.28,97.79,41.28,4,73,99.08,99.77,163.37,0.25,32.54,1.73,0.49,841.66,4,0.39,1,0.73,0.99,341.22,550.75,1,0.42,8.71,94.97,86.95,0.98,58.76,318.81,4,0.72,0.45,564.97,8.48,77.75,82.66,0.18,30.18,3,88.42,37.92
BTP,5:00,3336,29665,19606,1532,1906,1906,1386,1938,1390,111.53,992.54,437.79,-79.38,23.3,-10.53,100,97.95,214.66,0.46,77.15,97.04,76.5,4,96.49,97.49,97.04,232.33,0.32,51.26,1.02,0.36,407.6,5,0.37,2,0.33,0.51,370.32,835.75,3,0.18,2.18,50.92,41.13,0.72,93.55,634.76,4,0.12,0.55,929.77,2.12,69.38,96.79,0.94,55.88,3,92.36,41.32
CCK,5:00,2101,34310,19999,1929,2263,3009,2825,2065,2219,147.15,1558.61,410.82,-77.12,23.43,-8.31,100,97.86,236.09,0.61,88.54,99.06,34.54,5,78,99.15,98.07,263.8,0.77,31.82,1.36,0.35,776.86,5,0.95,2,0.74,0.57,591.65,553.81,1,0.13,7.25,86.83,33.61,0.44,83.55,418.2,5,0.19,0.64,670.79,8.32,90.3,51.65,0.6,96.87,1,85.81,88.13
CLM,5:00,3350,31737,20259,2019,1563,2095,2245,2102,1454,149.06,2386.29,390.79,-75.46,19.61,-9.57,100,98.49,214.15,0.59,37.46,98.35,75.32,4,71.02,99.94,98.44,164.87,0.98,81.64,1.15,0.48,998.43,4,0.8,1,0.58,0.27,852.05,688.49,3,0.6,3.15,54.41,44.94,0.95,72.21,596.47,4,0.57,0.89,586.32,2.5,70.67,90.34,0.28,75.27,1,84.95,87.61
CNG,5:00,2851,31137,20015,2013,1785,1757,1628,2211,1728,115.05,2242.75,406.77,-82.75,23.18,-11.28,100,98.4,210.53,0.74,40.84,97.39,93.07,4,81.01,99.29,99.07,179.11,0.57,68.31,1.89,0.32,545.14,5,0.59,1,0.48,0.81,626.03,538.92,2,0.26,6.41,68.38,55.74,0.51,53.19,722.99,4,0.8,0.09,866.3,6.72,61.56,81.73,0.88,83.31,2,34.68,46.31
CTH,5:00,2322,34616,20130,1800,2640,2869,1506,2861,2810,105.03,2689.85,388.61,-76.78,22.79,-9.13,100,98.49,249.89,0.6,51.16,99.16,90.54,5,30.7,98.86,97.47,156.43,0.46,51.37,1.85,0.39,666.49,5,0.51,3,0.71,0.92,949.87,455.47,2,0.62,9.79,50.21,97.02,0.2,33.1,889.18,5,0.76,0.33,680.76,8.26,34.91,50.41,0.75,99.7,1,68.2,76.55
ECS,5:00,3331,33033,18800,2193,1900,3009,2521,2044,2565,43.05,2387.27,390.96,-73.33,16.25,-10.98,100,97.17,271.77,0.76,93.85,99.33,42.4,4,64.36,99.4,99.57,239.4,0.69,71.55,1.8,0.29,541.27,5,0.4,1,0.97,0.77,648.45,376.35,1,0.16,5.32,58.91,57.45,0.94,62.13,300.32,5,0.51,0.54,514.15,8.34,45.53,55.4,0.52,91.16,3,67.8,73.55
GUL,5:00,3518,29995,19397,1742,1616,2620,1960,1508,1153,15.91,1991.24,380.38,-81.85,23.23,-11.95,100,98.58,199.1,0.22,75.68,98.73,72.72,5,37.12,98.32,99.67,289.97,0.81,85.58,1.53,0.48,357.1,4,0.22,1,0.09,0.2,767.47,982.2,3,0.51,5.97,68.88,51.11,0.38,92.5,331.9,5,0.7,0.64,415.78,4.66,69.41,52.98,0.96,93.6,2,81.72,69.81
HGG,5:00,3094,32975,20038,2084,2726,1611,2331,2092,2092,30.20,1191.44,395.34,-70.9,18.2,-9.8,100,98.04,168.36,0.86,92.77,98.28,84.75,4,72.76,99.88,98.75,284.48,0.69,40.92,1.73,0.17,328.37,4,0.45,2,0.17,0.74,506.27,826.05,3,0.42,4.4,48.49,96.3,0.44,57.43,603.58,5,0.73,0.25,914.54,1.14,64.57,37.81,0.09,71.66,1,55.14,39.84
HLV,5:00,2212,29598,18970,1797,2237,1744,1716,2098,1035,59.10,2384.54,398.03,-75.63,21.78,-11.59,100,98.63,223.05,0.26,74.5,98.17,95.16,4,94.01,97.05,97.64,194.99,0.41,44.83,1.86,0.22,346.15,4,1,2,0.56,0.79,425.62,556.21,2,0.29,5.16,67.21,40.95,0.71,50.23,959.05,4,0.75,0.57,833.68,5.65,37.25,54.71,0.38,73.88,2,58.32,67.64
JRE,5:00,3399,31571,19313,2155,2300,1760,1234,2366,2442,69.08,842.98,402.21,-82.11,18.53,-9.16,98.38,97.7,209.8,0.59,76.8,98.94,79.13,4,65.18,99.74,97.56,196.25,0.67,66.13,1.07,0.21,781.21,4,0.99,2,0.73,0.84,566.11,387.48,1,0.82,7.55,51.09,82.76,0.68,90.69,578.07,4,0.15,0.82,311.58,8.86,68.78,89.07,0.2,73.13,2,89.44,39.68
JRI,5:00,4584,34243,20623,2074,1683,2841,2648,2106,2268,47.24,1371.86,438.25,-88.56,19.44,-8.36,99.96,98.18,281.81,0.56,55.63,98.99,47.22,4,90.61,97.19,98.7,187.45,0.76,35.33,1.76,0.31,992.47,4,0.1,3,0.95,0.14,901.1,534.8,2,0.59,7.06,49.77,95.59,0.7,80.74,325.25,5,0.79,0.9,388.13,9.76,65.73,30.17,0.45,46.73,3,53.97,90.9
JRW,5:00,3531,34550,21590,2273,2851,1241,1694,2374,2527,105.84,1834.09,413.89,-84.14,18.14,-9.23,98.88,98.74,286.14,0.47,33.85,98.99,37.3,5,90.15,99.46,98.63,223.99,0.08,88.63,1.46,0.39,908.09,5,0.54,1,0.71,0.97,952.17,779.27,3,0.35,7.14,41.11,59.38,0.24,37.81,739.85,4,0.38,0.13,313.92,2.65,73.35,42.88,0.47,70.27,1,45.41,97.17
KLG,5:00,5554,32185,19211,2431,1890,1703,2673,2427,1850,43.33,2384.20,375.49,-73.69,23.26,-9.67,98.24,99.82,265.49,0.97,85.38,99.01,36.34,5,63.18,97.14,98.11,182.42,0.09,89.64,1.81,0.14,790.99,4,0.97,1,0.14,0.64,933.94,623.24,2,0.57,7.37,47.33,99.6,0.13,46.5,349.8,5,0.96,0.79,779.97,9.75,32.1,35.5,0.72,42.4,2,99.23,30.46
KRD,5:00,2713,33046,19315,2462,2462,1962,1930,2389,2527,220.74,1846.91,404.74,-77.46,23.27,-9.62,97.92,97.5,275.61,0.48,46.57,98.5,54.14,4,95.98,99.78,99.86,296.76,0.91,59.97,1.65,0.28,349.94,4,0.73,1,0.46,0.28,478.81,342.42,3,0.68,2.77,51.96,57.28,0.38,46.12,864.01,4,0.32,0.55,381.32,4.31,91.64,45.99,0.86,87.78,2,60.99,65.77
KRJ,5:00,3218,33480,21624,1933,2153,1466,2592,1253,2460,-8.90,2585.86,423.56,-77.01,16.45,-8.57,97.49,97.34,194.85,0.37,63.76,98.55,67.3,4,80.2,97.5,97.73,167.91,0.15,42.69,1.6,0.45,398.19,4,0.7,3,0.21,0.52,595.27,920.74,3,0.74,3.63,34.65,61.37,0.49,88.86,308.54,4,0.15,0.52,970.57,4.02,70.21,47.94,0.16,96.62,3,97.91,61.06
LCK,5:00,4516,30159,19803,529,2182,3278,1257,1031,2078,70.84,1637.66,378.46,-88.35,22.64,-10.98,99.32,97.71,258.31,0.55,75.25,98.78,90.56,4,85.9,97.92,98.4,250.49,0.78,37.48,1.41,0.18,986.16,4,0.29,2,0.13,0.07,327.54,838.03,3,0.5,4.84,78.71,37.83,0.26,40.05,466.92,5,0.9,0.36,714.66,7.01,45.22,55.41,0.8,81.82,2,82.67,78.68
LTG,5:00,3370,31452,19003,1562,2348,2800,1533,2870,1336,142.73,2228.65,386.35,-82.91,20.84,-9.59,99.81,98.22,246.03,0.19,91.46,98.62,58.75,4,64.73,98.63,97.59,226.27,0.83,90.71,1.06,0.36,737.82,4,0.07,3,0.84,0.39,609.12,742.12,3,0.45,7.9,78.37,79.88,0.2,50.43,404.31,5,0.81,0.24,970.64,1.96,61.54,47.83,0.72,88.26,2,81.36,57.43
MBY,5:00,3067,30251,19194,1669,2582,1998,2284,866,1659,35.60,663.86,377.50,-83.96,21.44,-11.42,97.57,99.12,257.71,0.41,67.32,99.2,50.42,5,74.82,97.37,97.59,285.31,0.16,39.98,1.71,0.18,712.39,5,0.37,2,0.44,0.91,978.7,551.35,3,0.4,4.65,35.08,63.77,0.85,74.73,381.76,4,0.83,0.92,799.68,6.19,55.56,82.57,0.76,87.37,3,60,86.02
MND,5:00,3367,33292,20773,1603,2765,1773,2592,1926,1860,150.24,2534.03,414.43,-72.03,16.22,-9.74,98.72,98.94,183.44,0.77,82.08,99.12,71.32,5,35.8,97.4,99.26,298.87,0.38,70.8,1.88,0.42,532.64,4,0.31,2,0.75,0.25,613.84,400.37,2,0.31,7.67,55.47,96.67,0.79,99.05,486.65,4,0.58,0.3,396.53,6.91,65.79,77.1,0.96,94.37,3,53.22,86.61
MPR,5:00,2864,33770,21801,2145,1909,2245,1479,2663,1529,203.67,1856.15,393.73,-72.64,16.05,-8.51,99.43,98.62,253.47,0.32,30.15,98.83,54.19,4,99.11,97.21,98.4,181.87,0.86,89.13,1.18,0.31,804.6,4,0.95,1,0.78,0.81,663.86,657.42,1,0.63,6.07,40.49,57.65,0.65,85.5,708.63,4,0.4,0.31,305.04,1.56,33.4,83.85,0.58,30.28,2,87.76,52.76
MSL,5:00,3881,29665,18696,2459,854,971,2827,1898,1960,73.43,1713.77,363.54,-79.13,16.14,-11.95,97.42,99.68,274.52,0.87,64.72,99.14,47.95,4,52.58,99.34,98.91,193.33,0.62,97.92,1.34,0.18,660.58,5,0.18,3,0.58,0.55,400.25,445.67,1,0.29,3.08,71.44,52.79,0.59,97.81,664.81,5,0.48,0.9,961.53,8.19,96.71,80.49,0.82,57.22,3,56.44,74.07
ORC,5:00,3238,30571,18235,1624,1625,3504,2205,1401,1976,186.73,2260.15,405.05,-80.63,20.51,-10.07,98.25,98.86,212.43,0.28,96.53,97.92,37.64,4,41.57,97.39,97.96,186.87,0.68,61.9,1,0.46,874.96,5,0.39,2,0.07,0.75,961.18,933.35,1,0.9,1.57,84.2,89.01,0.92,36.48,659.2,4,0.59,0.87,680.03,3.22,43.54,41.91,0.29,78.8,2,40.94,90.02
PGL,5:00,2798,38574,23116,2509,2574,1919,2680,3193,2584,113.24,2058.52,378.74,-73.14,22.87,-9.48,97.53,97.13,295.53,0.49,81.14,99.72,38.09,4,81.27,98.21,99.38,281.59,0.58,93.61,1.45,0.15,448.5,4,0.88,1,0.39,0.51,310.99,832.51,1,0.22,7.9,39,99.43,0.54,33.99,435.02,4,0.5,0.78,367.26,5.41,77.71,40.6,0.55,83.63,1,45.89,78.59
PLB,5:00,2158,32967,21514,1696,2214,2265,1415,2335,1529,148.27,2490.48,420.33,-87.02,19.18,-8.25,98.46,99.95,264.06,0.91,44.62,98.33,74.76,4,37.05,97.48,98.13,281.52,0.87,85.02,1.58,0.48,941.4,5,0.74,1,0.46,0.61,540.13,396.59,1,0.55,5.47,95.54,58.16,0.6,68.69,728.41,5,0.14,0.99,390.69,5.42,95.5,44.09,0.79,31.19,3,81.16,87.34
PNR,5:00,3916,32249,20132,1813,1915,1670,2478,1837,2405,111.95,2364.62,412.62,-76.57,19.79,-10.27,99.35,98.85,227.71,0.2,85.62,99.03,92.82,4,53.44,99.6,98.89,203.81,0.55,33.79,1.54,0.37,485.18,5,0.65,2,0.13,0.39,668.74,702.06,1,0.59,1.3,32.07,41.67,0.33,73.19,789.41,4,0.2,0.2,582.41,2.55,60.81,61.45,0.18,30.85,1,34.66,73.23
PRS,5:00,3230,29616,18624,1984,1702,1756,1338,2100,2112,189.66,1704.52,395.32,-87.73,16.3,-9.1,97.63,97.2,220.76,0.43,58.15,99.44,49.53,4,59.41,98.47,98.77,186.36,0.43,81.85,1.85,0.12,405.22,4,0.85,1,0.95,0.63,709.45,630.56,1,0.19,3.87,36.49,71.26,0.83,33.24,943.31,4,0.18,0.81,801.85,5.48,48.14,51.19,0.07,47.36,1,79.43,61.46
PTK,5:00,2649,30781,20429,1643,1095,2160,1705,1704,2044,4.30,1751.12,394.47,-73.18,16.38,-8.98,97.78,98.37,200.64,0.96,38.97,97.67,38.1,5,82.38,99.28,98.53,152.03,0.91,75.83,1.08,0.43,397.24,5,0.34,1,0.27,0.73,537.78,561.85,3,0.68,7.57,77.9,99.74,0.9,95.25,609.8,4,0.13,0.25,345.55,7.03,31.7,31.99,0.89,87.94,3,92.67,96.66
PUB,5:00,2575,31640,19493,2183,1697,1404,3253,1527,2084,103.31,1915.94,396.37,-76.57,17.18,-9.51,99.66,97.77,216.52,0.31,75.5,98.4,93,5,84.86,97.04,97.54,222.39,0.87,87.97,1.69,0.43,936.08,5,0.43,1,0.68,0.82,609.33,801.5,1,0.28,2.36,68.43,46.2,0.79,89.5,474.86,5,0.3,0.94,756.52,4.06,68.22,54.67,0.68,30.33,2,89.11,96.78
SDM,5:00,3524,33029,20025,2147,2128,2470,2366,1952,1942,84.56,2354.68,391.06,-73.46,22.4,-8.4,98.52,99.9,151.4,0.54,80.82,98.72,57.85,4,81.34,99.73,99.94,215.98,0.13,96.02,1.43,0.13,951.93,4,0.9,2,0.21,0.57,966.27,977.17,1,0.95,6.07,42.03,40.07,0.41,83.66,907.56,5,0.92,0.82,368.64,2.68,80.34,40.6,0.85,46.53,3,68.41,90.41
SHW,5:00,2470,31718,19929,2887,2622,1972,2014,1198,1096,108.27,3072.75,407.22,-82.36,23.63,-9.35,98.53,98.78,276.12,0.8,44.55,98.24,92.29,4,38.67,99.63,99.4,225.83,0.3,59.78,1.29,0.38,837.31,4,0.33,2,0.21,0.17,560.97,564.92,2,0.7,2.52,65.88,42.64,0.26,48.38,831.5,5,0.89,0.41,661.64,2.97,47.56,87,0.58,49.4,1,92.45,38.74
SKG,5:00,3611,35048,21625,2337,1913,2457,1895,1996,2824,-16.24,2349.02,419.36,-71.85,19.08,-8.82,97.88,99.97,212.64,0.62,82.38,97.19,56.13,5,78.12,98.9,98.95,193.2,0.9,50.1,1.36,0.41,997.84,4,0.21,1,0.55,0.54,812.55,646.37,1,0.97,3.81,72.47,80.34,1,39.8,667.87,5,0.28,0.17,976.91,7.9,58.26,42.29,0.71,73.05,3,89.24,58.72
SMB,5:00,2967,31450,18995,2057,1735,2181,2156,1606,2720,79.10,1916.98,423.29,-74.46,20.6,-11.29,99.55,97.13,240.17,0.94,70.5,99.97,92.71,5,97.86,99.29,97.66,280.64,0.49,78.3,1.6,0.29,642.98,5,0.43,1,0.92,0.61,960.39,836.2,2,0.35,8.53,95.97,87.25,0.22,88.75,701.95,5,0.85,0.7,508.22,1.72,74.46,80.45,0.66,65.86,3,47.74,85.02
SMI,5:00,3520,32119,19802,2217,2459,1705,2221,1892,1822,125.24,1894.03,400.97,-74.75,17.7,-10.97,98.01,98.41,249.54,0.54,77.4,98.45,93.22,5,36.19,99.44,99.41,189.95,0.48,48.83,1.63,0.11,970.8,4,0.78,1,0.3,0.16,954.96,370.9,3,0.12,7.04,91.38,95.32,0.37,68.85,886.69,4,0.91,0.17,394.42,4.59,50.59,89.02,0.25,37.62,2,42.48,92.2
SRG,5:00,2398,30929,18318,1747,2476,1372,1966,2356,2695,53.45,2432.97,378.17,-85.97,16.74,-9.13,99.62,97.49,220.16,0.38,67,97.07,91.98,4,86.57,97.49,98.93,164.21,0.11,58.97,1.46,0.11,721.72,5,0.95,1,0.51,0.43,555.11,965.6,1,0.75,4.72,85.89,30,0.71,50.39,470.27,4,0.35,0.1,661.57,6.83,62.47,47.21,0.63,48.42,3,40.99,72.11
STS,5:00,3928,31576,19117,1803,2352,2314,2247,2119,1625,145.14,1587.49,351.13,-75.42,16.41,-11.04,98.6,99.1,208.47,0.3,58.43,98.15,49.21,5,75.27,98.02,97.88,233.41,0.57,35,1.92,0.16,863.2,4,0.2,2,0.81,0.23,395.84,620.17,1,0.91,3.59,85.55,90.76,0.72,61.03,368.69,5,0.44,0.45,635.04,1.26,86.37,82.73,0.49,80.29,2,86.54,86.92
TBL,5:00,2756,32523,19969,3212,1280,1846,1905,2023,2288,140.27,1702.19,422.35,-80.02,18.19,-9.04,97.09,97.2,212.36,0.13,39.23,99.19,90.8,5,44.2,98.95,99.01,190.26,0.65,78.97,1.5,0.33,902.87,4,0.67,3,0.82,0.14,473.34,512.5,1,0.41,1.49,95.92,76.79,0.78,56.28,407.05,5,0.49,0.13,680.64,4.5,51,58.49,0.36,39.04,2,51.13,43.94
TGL,5:00,1091,31561,19705,2793,906,2321,2034,2377,1425,143.59,2028.89,386.50,-77.99,19.87,-11.35,98.45,97.76,260.18,0.23,36.82,98.85,97.13,5,33.9,99.64,97.9,277.45,0.74,70.64,1.15,0.35,389.42,4,0.73,2,0.7,0.22,944.96,866.11,1,0.76,2.96,48.45,48.82,0.97,56.49,667.39,5,0.74,0.25,954.42,1.42,77.16,74.02,0.61,50.17,3,46.08,71.97
TMP,5:00,3835,35493,21004,1218,3125,1839,3315,2549,2443,120.45,2092.22,432.18,-72.97,17.57,-8.22,99.12,97.12,227.01,0.08,97.36,98.88,50.76,5,83.81,97.75,99.64,169.54,0.47,96.31,1.26,0.22,917.93,5,0.38,2,0.34,0.49,726.75,825.14,2,0.68,2.41,99.01,86.61,0.33,68.1,925.85,5,0.08,0.67,624.95,3.35,96.8,37.9,0.77,61.56,1,98.43,95.49
TMS,5:00,2511,29974,18455,1703,1219,1763,2322,2086,2427,104.48,1437.77,392.00,-70.36,21.98,-8.97,97.64,97.42,158.63,0.63,83.38,97.62,57.47,5,72.76,97.87,99.39,218,0.67,51.85,1.66,0.1,529.94,4,0.61,3,0.74,0.9,362.83,825.3,3,0.44,9.66,56.52,61.2,0.64,76.54,884.99,4,0.33,0.98,743.05,1.82,61.9,87.79,0.49,43.65,1,65.52,93.48
TPY,5:00,2971,33356,20850,3233,2028,1554,2177,1267,2247,88.04,2294.35,402.39,-89.25,23.09,-10.32,97.34,98.7,202.4,0.94,95.15,97.17,36.58,4,86.77,98.87,99.27,280.1,0.18,78.43,1.96,0.32,598.77,5,0.39,3,0.85,0.53,815.64,919.63,2,0.21,7.86,54.21,77.28,1,92.96,807.79,4,0.29,0.96,576.74,4,75.89,83.1,0.99,60.78,2,80.06,47.11
TUS,5:00,4484,33554,20711,1392,1774,2487,2776,1480,2934,13.80,2541.01,397.07,-76.38,23.5,-10.95,97.48,97.26,296.58,0.43,97.04,99.73,92.19,4,91.06,97.31,98.46,274.51,0.15,81.71,1.34,0.2,858.37,4,0.89,3,0.2,0.18,937.51,710.66,2,0.22,7.52,75.74,97.61,0.1,69.88,920.36,5,0.32,0.78,921.62,2.98,55.94,67.54,0.73,97.67,1,70.83,41.85
WLD,5:00,3832,32601,20846,2315,1675,2162,1522,2610,1472,143.99,2241.54,396.61,-88.76,20.28,-9.12,98.23,98.37,230.12,0.09,87.77,97.8,91.11,4,47.53,99.34,98.49,246.81,0.46,61.89,1.8,0.14,618.86,4,0.5,1,0.8,0.17,514.33,627.78,2,0.73,7.13,61.74,45.86,0.98,32.09,585.68,4,0.5,0.85,812.02,6.17,39.3,56.37,0.12,79.21,3,78.74,76.57
YCK,5:00,3460,32582,20645,2131,2389,2029,1427,1807,2154,176.94,2042.70,441.09,-73.33,23.6,-8.85,99.6,99.34,284.41,0.97,53.69,99.68,72.29,5,96.26,99.45,97.42,209.19,0.52,85.36,1.23,0.16,668.57,5,0.15,1,0.36,0.7,609.59,558.68,2,0.91,4.76,95.47,34.49,0.79,76.54,322.04,5,0.14,0.74,563.5,9.68,74.36,67.05,0.44,92.72,3,51.02,59.5
YSH,5:00,3168,31897,19982,1212,2551,2370,2558,2265,960,52.37,2011.73,415.29,-89.37,17.29,-9.39,98.89,98.41,192.14,0.78,84.2,97.6,39.47,5,89.44,97.44,98.26,231.52,0.86,34.07,1.83,0.13,930.58,5,0.96,2,0.56,0.25,547.28,377.8,1,0.75,7.21,80.79,80.5,0.39,35.95,723.53,5,0.89,0.6,791.41,2.77,50.9,62.21,0.62,79.94,3,87.27,54.96
ALX,6:00,2123,29572,18931,2360,1415,906,2397,1875,1689,48.70,1724.15,389.38,-89.71,18.31,-11.1,99.53,98.48,211.53,0.43,40.39,99.23,94.23,4,85.44,97.17,97.8,264.17,0.26,78.21,1.45,0.23,748.83,4,0.92,2,0.86,0.71,474.34,922.27,3,0.87,8.43,67.67,70.39,0.5,66.46,796.03,5,0.62,0.87,765.14,7.16,77.08,60.41,0.31,83.78,1,31.12,81.02
AMK,6:00,2880,31050,19926,2189,1948,1626,1740,1887,1733,97.03,2332.33,377.74,-84.38,21.98,-11.49,98.84,98.34,158.74,0.42,93.52,98.26,75.43,4,94.23,98.68,98.73,169.54,0.88,63.28,1.59,0.31,742.47,4,0.41,3,0.75,0.13,445.74,706.5,2,0.72,9.98,99.38,60.07,0.3,84.16,844.91,5,0.19,0.28,515.76,4.92,61.9,39.51,0.87,93.22,2,99.49,85.19
ART,6:00,366,33879,22354,2041,2374,1320,1965,2405,1421,69.20,2674.09,368.09,-72.6,20.35,-8.7,97.69,97.29,177.46,0.38,52.78,99.5,39.83,4,90.52,99.27,98.81,153.63,0.84,89.76,1.71,0.26,751.74,5,0.53,3,0.99,0.88,372.05,761.44,1,0.64,5.67,42.64,76.93,0.48,50.62,924.94,5,0.94,0.47,327.74,9.72,64.33,81.51,0.76,59.31,3,81.53,66.04
AYE,6:00,3452,30424,19173,1855,2025,1502,2077,1626,2167,120.71,1778.64,420.00,-79.25,16.77,-11.53,98.15,99.57,195.76,0.23,74.06,99.39,65.56,5,62.34,99.31,97.68,238.06,0.08,33.01,1.33,0.31,574.45,5,0.24,3,0.32,0.61,339.15,502.27,1,0.14,4.58,72.49,33.17,0.07,56.14,877.95,5,0.83,0.52,967.11,5.98,64.03,36.15,0.65,43.9,2,87.94,82.95
BDK,6:00,1935,32102,19842,2557,1779,2179,1996,2357,1393,1.76,2750.02,434.31,-81.49,21.98,-9.09,99.91,98.34,175.9,0.28,61.59,99.92,32.07,4,65.88,98.87,98.46,189.87,0.19,89.32,1.43,0.24,982.28,5,0.24,2,0.81,0.43,352.17,322.01,2,0.72,2.44,96.41,50.1,0.73,88.25,578.32,4,0.47,0.83,992.78,1.37,84.33,85.16,0.3,97.26,3,43.43,86.93
BKK,6:00,2990,33090,19538,2507,2186,1915,2092,2829,2023,44.99,2913.26,398.46,-72.26,20.13,-8.56,97.83,98.21,259.35,0.8,43.55,99.26,33.79,4,76.57,98.4,99.3,162.58,0.46,73.1,1.72,0.24,837.5,4,0.97,3,0.79,0.49,836.57,802.81,1,0.8,1.19,92.26,94.03,0.23,65.24,886.8,4,0.37,0.21,458.4,7.08,56.67,95,0.72,35.55,2,37.54,93.87
BKT,6:00,3288,28662,17852,2013,1561,1437,1868,1929,2002,51.99,1806.77,383.49,-72.4,21.43,-8.7,99.67,98.92,209.49,0.09,76.5,97.82,70.46,4,61.86,97.91,99.94,187.05,0.65,38.2,1.75,0.23,467.67,4,0.74,2,0.68,0.98,660.09,991.55,1,0.61,2.25,37.9,92.85,0.18,40.61,844.45,4,0.22,0.69,796.72,4.17,78.63,74.08,0.1,68.2,3,81.24,72.16
