Country,Operator,MCC/MNC,TIME,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (kbps),Data UL Throughput (kbps)
Ireland,Vodafone(IRELAND),272/01,W8,-107.76,-9.8,0.67,0.77,0.79,0.46,0.86,0.56,0.52,0.05,675883,5325,28853,6345
Ireland,Meteor,272/03,W8,-108.66,-9.29,0.17,0.12,0.01,0.69,0.62,0.22,0.32,0.91,599062,9088,63092,7544
Ireland,Telefonica O2 (East DigiFone),272/02,W8,-150.43,-11.46,0.44,0.88,0.56,0.94,0.69,0.83,0.42,0.33,860640,2856,61690,8001
Italy,Vodafone Omnitel,222/10,W8,-86,-9.85,0.71,0.61,0.1,0.76,0.99,0.52,0.04,0.83,912354,6095,90781,6707
Italy,Wind,222/88,W8,-110.03,-7.88,0.99,0.13,0.55,0.38,0.62,0.89,0.52,0.73,293733,4898,57915,8355
Japan,KDDI Corporation,440/51,W8,-143.85,-7.26,0.94,0.43,0.67,0.13,0.39,0.75,0.66,0.21,788537,9379,48406,7620
Japan,Soft Bank (Vodafone KK),440/20,W8,-130.52,-9.71,0.15,0.01,0.51,0.04,0.19,0.42,0.29,0.13,725071,5021,72533,1834
Japan,KDDI,440/50,W8,-103.96,-10.73,0.26,0.88,0.09,0.54,0.19,0.81,0.62,0.51,161748,4535,44922,7188
Japan,NTT Docomo,440/10,W8,-149.21,-6.77,0.76,0.12,0.53,0.12,0.14,0.15,0.81,0.06,533361,5134,94558,3832
Jordan,Zain (Fastlink),416/01,W8,-103.6,-11.86,0.61,0.76,0.71,0.27,0.04,0.28,0.05,0.53,146927,3924,17514,5910
Jordan,Orange (MobileCom),416/77,W8,-127.16,-6.79,0.62,0.94,0.44,0.6,0.92,0.51,0.61,0.78,482560,4462,51436,7508
Kazakhstan ,K-Cell,401/02,W8,-154.02,-13.77,0.94,0.75,0.83,0.32,0.09,0.46,0.67,0.88,705747,1408,55527,1005
Kuwait,MTC/Zain,419/02,W8,-140.43,-11.06,0.84,0.15,0.11,0.02,0.26,0.23,0.53,0.14,868225,5768,37136,3642
Kuwait,Viva (KTC),419/04,W8,-100.98,-13.21,0.06,0.51,0.42,0.51,0.59,0.41,0.68,0.92,911850,7725,82880,2156
Lebanon,MTC (MIC 2 Touch),415/03,W8,-113.04,-11.06,0.33,0.35,0.61,0.99,0.51,0.9,0.28,0.8,411957,6495,51736,9645
Luxembourg,Tango,270/77,W8,-142.98,-14.13,0.89,0.64,0.22,0.03,0.37,0.79,0.02,0.15,978521,7932,59843,6356
Macao,CTM,455/01,W8,-117.59,-11.72,0.1,0.21,0.06,0.61,0.29,0.02,0.66,1,345292,2585,93803,8617
Macao,Hutchison 3,455/03,W8,-76.56,-9.37,0.82,0.45,0.69,0.81,0.09,0.48,0.89,0.75,801855,1187,84489,1697
Malaysia,Celcom,502/19,W8,-107.23,-6.21,0.81,0.75,0.66,0.08,0.53,0.2,0.19,0.96,945632,2881,71503,8857
Malaysia,DiGi  Telecommunication,502/16,W8,-70.57,-12.05,0.7,0.3,0.48,0.67,0.2,0.4,0.84,0.41,119989,3648,23525,9446
Malaysia,Maxis,502/12,W8,-69.05,-10.56,0.4,0.27,0.14,0.98,0.43,0.24,0.8,0.68,539319,6530,80038,7589
Malta,Vodafone(MALTA),278/01,W8,-158.42,-7.59,0.11,0.21,0.8,0.43,0.96,0.45,0.62,0.79,632497,4309,46953,6229
Mauritius,Cellplus Orange,617/01,W8,-125.79,-14.68,0.99,0.96,0.02,0.98,0.19,0.73,0.21,0.3,455312,3045,38519,1128
Netherlands,Vodafone(NETHERLANDS),204/04,W8,-142.75,-7.58,0.27,0.77,0.34,0.91,0.75,0.56,0.23,0.55,857178,6624,24290,4093
Netherlands,T-mobile (ex Ben),204/16,W8,-127.31,-10.37,0.29,0.59,0.92,0.93,0.36,0.64,0.97,0.27,488991,2668,60463,9389
New Zealand,Vodafone(NEW ZEALAND),530/01,W8,-94.36,-8.19,0.71,0.23,0.06,0.29,0.79,0.52,0.22,0.4,257828,5079,75181,8801
Nigeria,EMTS,621/60,W8,-87,-9.69,0.01,0.15,0.73,0.87,0.91,0.48,0.41,0.53,159030,1755,79754,5612
Norway,Telenor Mobile,242/01,W8,-137.47,-13.82,0.38,0.65,0.08,0.13,0.57,0.1,0.88,0.26,767535,2271,45061,5436
Norway,NetCom TeliaSonera,242/02,W8,-148.22,-11.43,0.42,0.62,0.6,0.23,0.85,0.24,0.48,0.83,254898,2444,75152,7629
Oman,Nawras,422/03,W8,-123.93,-11.58,0.45,0.57,0.24,0.65,0.09,0.34,0.67,0.08,151280,9733,70206,7790
Oman,Oman Mobile - GTO (Omantel),422/02,W8,-80.09,-6.03,0.82,0.24,0.41,0.63,0.66,0.79,0.3,1,475432,5368,90557,1824
Philippines,Smart,515/03,W8,-130.52,-13.54,0.39,0.5,0.57,0.16,0.37,0.27,0.66,0.04,637869,4306,18168,8106
Poland,"T-Mobile (ERA,PTC)",260/02,W8,-129.02,-14.43,0.83,0.3,0.31,0.39,0.9,0.11,0.68,0.31,648870,8644,81557,2498
Poland,Orange/Centertel,260/03,W8,-61.16,-11.11,0.21,0.95,0.38,0.12,0.18,0.86,0.8,0.47,429782,5124,94650,4742
Portugal,Vodafone(PORTUGAL),268/01,W8,-126.63,-13.99,0.24,0.56,0.26,0.97,0.64,0.12,0.69,0.64,659577,6900,49995,6525
Portugal,Optimus (Sonecom),268/03,W8,-69.86,-11.77,0.12,0.29,0.1,0.38,0.16,0.21,0.23,0.06,314570,1234,35159,4769
Qatar,Vodafone(QATAR),427/02,W8,-119.66,-9.86,0.55,0.01,0.24,0.49,0.26,0.11,0.1,0.99,213731,2221,16124,1318
Qatar,Q-Tel,427/01,W8,-92.14,-14.17,0.57,0.89,0.78,0.85,0.35,1,0.94,0.43,837880,9773,43609,1252
Romania,Orange (Mobilrom),226/10,W8,-96.98,-7.61,0.3,0.91,0.44,0.5,0.56,0.85,0.1,0.36,741864,7688,48267,4674
Russia,MTS(RUSSIA),250/01,W8,-130.39,-8.21,0.45,0.66,0.01,0.56,0.66,0.72,0.61,0.52,590912,1598,93387,3216
Russia,MegaFon,250/02,W8,-90.76,-14.23,0.59,0.57,0.11,0.26,0.29,0.47,0.54,0.72,397089,3757,13629,2052
Russia,Vimpelcom Beeline (KB Impuls),250/99,W8,-136.68,-10.32,0.08,0.72,0.03,0.33,0.79,0.74,0.53,0.92,734009,1860,92954,2861
Saudi Arabia,Saudi Telecom Company,420/01,W8,-64.91,-9.54,0.79,0.26,0.19,0.81,0.24,0.95,0.11,0.82,313463,5632,78343,8377
Saudi Arabia,Mobily,420/03,W8,-134.06,-6.8,0.54,0.52,0.74,0.21,0.86,0.47,0.53,0.35,350770,4372,32630,4654
SERBIA,Telenor Serbia,220/01,W8,-70.49,-6.73,0.06,0.39,0.53,0.89,0.84,0.85,0.98,0.48,517771,2111,46575,9055
Singapore,Mobile One,525/03,W8,-127.54,-12.13,0.27,0.2,0.44,0.04,0.68,0.44,0.56,0.44,561637,5563,50761,6113
Singapore,Starhub,525/05,W8,-93.16,-7.61,0.47,0.9,0.86,0.77,0.33,0.28,0.18,0.36,494920,7635,87084,3734
Singapore,SingTel,525/01,W8,-134.6,-9.59,0.74,0.09,0.75,0.23,0.43,0.71,0.46,0.05,320633,4054,66296,5263
Slovak Republic,Orange (ex Globtel),231/01,W8,-136.93,-10.22,0.1,0.23,0.67,0.7,0.91,0.26,0.35,0.28,297120,9857,55496,2370
Slovenia,SI Mobil,293/40,W8,-77.3,-11.47,0.68,0.2,0.53,0.09,0.66,0.59,0.67,0.14,704706,4280,81443,4479
South Africa,Vodacom(SOUTH AFRICA),655/01,W8,-103.48,-6.27,0.58,0.33,0.44,0.61,0.06,0.62,0.9,1,231366,1566,61055,8024
South Africa,MTN(SOUTH AFRICA),655/10,W8,-135.59,-13.81,0.59,0.34,0.27,0.91,0.79,0.91,0.69,0.99,370128,6860,94411,8034
South Korea,KT (KTF),450/08,W8,-68.25,-13.16,0.84,0.64,0.42,0.43,0.79,0.72,0.08,0.76,788876,1690,40563,3625
South Korea,SK Telecom,450/05,W8,-126,-6.33,0.75,0.58,0.8,0.96,0.61,0.34,0.95,0.28,964821,9960,34960,8500
Spain,Orange/Amena,214/03,W8,-113.39,-9.82,0.98,0.97,0.45,0.28,0.94,0.85,0.55,0.25,323510,7989,15141,3464
Spain,Vodafone (AirTel),214/01,W8,-74.29,-10.8,0.79,0.59,0.22,0.21,0.89,0.84,0.76,0.27,234055,1549,73199,7492
Spain,Xfera Yoigo,214/04,W8,-95.26,-12.03,0.72,0.34,0.21,0.12,0.75,0.54,0.48,0.36,594695,9818,18043,6736
Spain,Telefonica Moviles(SPAIN),214/07,W8,-70.22,-10.3,0.37,0.7,0.13,0.27,0.08,0.84,0.73,0.17,506189,6616,23929,3703
Sweden,Tele2 - Comviq,240/07,W8,-69.2,-14.34,0.4,0.54,0.25,0.39,0.83,0.19,0.78,0.09,946081,6399,75611,5638
Sweden,"Telenor (Vodafone,Europolitn)",240/08,W8,-120.68,-14.58,0.3,0.26,0.24,0.59,0.33,0.09,0.09,0.98,141879,3501,78642,4129
Sweden,TeliaSonera Mobile,240/01,W8,-133.97,-7.97,1,0.13,0.53,0.83,0.6,0.52,0.6,0.3,738567,7395,42592,3288
Switzerland,Swisscom,228/01,W8,-142.51,-9.35,0.89,0.88,0.22,0.37,0.29,0.84,0.26,0.09,353796,9640,10989,4072
Switzerland,Sunrise DiAx,228/02,W8,-151.71,-9.75,0.56,0.31,0.35,0.02,0.34,1,0.23,0.68,742011,5125,21024,3500
Switzerland,Orange(SWITZERLAND),228/03,W8,-138.79,-13.29,0.03,0.74,0.98,0.79,0.55,0.29,0.68,0.42,784095,9958,37683,6431
Thailand,True Move  HSPA,520/00,W8,-159.66,-11.77,0.47,0.41,0.63,0.89,0.48,0.15,0.33,0.42,943662,8186,19241,2284
Thailand, AIS,520/03,W8,-75.54,-11.61,0.62,0.52,0.49,0.02,0.19,0.34,0.22,0.24,667386,2935,83467,7738
Turkey,Vodafone (TelSim),286/02,W8,-132.37,-7.82,0.37,0.32,0.14,0.6,0.34,0.75,0.31,0.52,785916,6981,91859,8265
Turkey,Turkcel,286/01,W8,-158.17,-7.77,0.72,0.64,0.65,0.38,0.27,0.1,0.52,0.92,407718,6286,31649,9756
United Arab Emirates,Etisalat(UAE),424/02,W8,-66.24,-7.81,1,0.52,0.93,0.96,0.95,0.02,0.71,0.26,434776,7270,79909,6294
United Arab Emirates,Du,424/03,W8,-111.58,-7.83,0.69,0.39,0.85,0.43,0.6,0.54,0.35,0.96,120316,5911,80822,9310
United Kingdom,Vodafone(UK),234/15,W8,-114.73,-8.82,0.15,0.87,0.3,0.82,0.85,0.43,0.87,0.47,961099,9859,72980,7568
United Kingdom,Everything Everywhere,234/30,W8,-104.08,-14.66,0.79,0.78,0.71,0.92,0.96,0.58,0.4,0.81,178342,5752,53432,6077
United Kingdom,Telefonica O2 (CellNet),234/10,W8,-75.77,-8.91,0.13,0.71,0.75,0.09,0.56,0.41,0.18,0.61,424079,1664,71210,8567
United Kingdom,Everything Everywhere (ex-Orange),234/33,W8,-105.57,-10.19,0.91,0.64,0.2,0.37,0.06,0.37,0.38,0.87,552665,6408,10967,1814
Unted States,AT&T,310/410,W8,-102.06,-12.53,0.88,0.78,0.7,0.62,0.39,0.08,0.27,0.5,231640,9600,34518,8855
Unted States,Guamcell Cellular and Paging,310/370,W8,-72.89,-14.68,0.64,0.81,0.23,0.53,0.89,0.64,0.17,0.36,629256,6064,26000,2486
Unted States,T-Mobile,310/260,W8,-123.49,-8.75,0.79,0.56,0.9,0.29,0.5,0.59,0.93,0.86,346992,2224,27254,1151
Unted States,Verizon Wireless,311/48,W8,-130.15,-8.2,0.53,0.11,0.85,0.43,0.66,0.12,0.73,0.39,804808,2719,11325,7072
Albania,Vodafone(ALBANIA),276/02,W9,-69.09,-6.61,0.05,0.74,0.98,0.21,0.14,0.82,0.88,0.73,357847,6011,29162,5968
Australia,Vodafone Hutchison,505/03,W9,-158.87,-11.68,0.3,0.33,0.79,0.04,0.5,0.4,0.12,0.51,234783,7306,10067,6076
Australia,Optus,505/02,W9,-120.61,-9.82,0.23,0.67,0.83,0.83,0.63,0.65,0.4,0.34,273930,6542,53690,7589
Australia,Telstra,505/01,W9,-102.45,-6.22,0.81,0.83,0.84,0.49,0.07,0.15,0.98,0.2,339986,3478,44098,8423
Austria,A1 Austria Telekom (Mobilkom),232/01,W9,-82.98,-14.73,0.87,0.76,0.02,0.64,0.62,0.2,1,0.91,873704,6813,59528,3233
Austria,H3G(AUSTRIA),232/10,W9,-122.22,-7.56,0.85,0.85,0.41,0.2,0.47,0.79,0.58,0.91,410377,5892,34591,2657
Bahrain,Viva,426/04,W9,-127.08,-14.45,0.43,0.23,0.51,0.41,0.18,0.02,1,0.86,403865,4251,63002,2622
Bahrain,Batelco,426/01,W9,-75.51,-13.44,0.75,0.05,0.11,0.59,0.14,0.52,0.7,0.27,845647,9530,69235,7687
Bahrain,Zain/Vodafone/MTC,426/02,W9,-100.73,-14.63,0.04,0.02,0.36,0.81,0.62,0.26,0.74,0.56,808010,3180,21956,9964
Belgium,"Base (KPN,Orange)",206/20,W9,-122.74,-7.11,0.74,0.34,0.74,0.06,0.23,0.81,0.34,0.25,179579,2635,41322,1109
Belgium,Mobistar S.A.,206/10,W9,-85.96,-7.02,0.58,0.7,0.77,0.16,0.11,0.75,0.95,0.34,210151,5637,61295,6157
Belgium,Belgacom Mobile,206/01,W9,-120.47,-9.6,0.05,0.79,0.25,0.45,0.2,0.42,0.96,0.11,774805,9079,53421,9407
Brazil,Vivo S.A,724/10,W9,-83.47,-9.93,0.54,0.39,0.6,0.76,0.45,0.59,0.93,0.33,740874,6492,30087,7620
Brazil,TIM,724/04,W9,-128.47,-6.9,0.54,0.14,1,0.84,0.28,0.02,0.24,0.08,412288,4020,42459,3426
Bulgaria,Mobiltel,284/01,W9,-122.42,-9.06,0.74,0.73,0.25,0.23,0.05,0.41,0.12,0.75,223362,3927,90256,2748
Canada,Bell Mobility,302/610,W9,-140.97,-10.19,0.12,0.49,0.48,0.66,0.43,0.27,0.87,0.73,931049,8824,35526,3004
Canada,Telus Mobility,302/220,W9,-148.36,-10.77,0.98,0.22,0.01,0.24,0.75,0.97,0.48,0.8,483224,9386,24630,5668
China,China Mobile,460/07,W9,-119.06,-6.33,0.49,1,0.14,0.94,0.27,0.68,0.29,0.83,473631,7465,34558,9012
China,China Unicom,460/01,W9,-99.31,-6.23,0.49,0.61,0.26,0.28,0.49,0.5,0.88,0.84,861743,8804,13754,4354
China,China Mobile,460/02,W9,-102.35,-9.95,0.97,0.1,0.93,0.71,0.27,0.07,0.65,0.44,541387,1798,65677,4521
China,China Mobile,460/00,W9,-61.61,-14.58,0.12,0.69,0.4,0.15,0.44,0.01,0.52,0.86,947462,2747,99134,7428
Croatia,Croatian Telecom (ex T- Mobile),219/01,W9,-153.47,-10.09,0.31,0.11,0.43,0.57,0.39,0.59,0.3,0.58,705689,3861,31553,6942
Croatia,VIP-net,219/10,W9,-156.99,-14.81,0.55,0.61,0.24,0.5,0.9,0.82,0.55,0.15,310914,1643,59822,3030
Czech Republic,Telefonica O2 (Eurotel),230/02,W9,-68.73,-11.39,0.17,0.09,0.16,0.68,0.74,0.34,0.67,0.56,882772,2189,12429,7712
Denmark,Telenor (Sonofon),238/02,W9,-139.65,-9.11,0.14,0.15,0.22,0.24,0.92,0.09,0.8,0.45,919664,8339,81771,9096
Dominica Rep.,"Orange Dominicana, S.A.",370/01,W9,-105.97,-12.3,0.69,0.44,0.86,0.77,0.84,0.34,0.5,0.65,775255,8518,20361,3632
Egypt,Vodafone(EGYPT),602/02,W9,-111.95,-7.16,0.36,0.01,0.1,0.25,0.78,0.27,0.52,0.28,855730,8260,27796,5649
Egypt,Etisalat Misr,602/03,W9,-135.81,-13.65,0.25,0.22,0.29,0.53,0.49,0.74,0.9,0.28,810570,8885,23851,6246
Estonia,Tele2(ESTONIA),248/03,W9,-139.64,-13.29,0.26,0.33,0.93,0.85,0.08,0.22,0.72,0.33,279835,8028,17182,7774
France,SFR (Cegetel),208/10,W9,-76.32,-7.92,0.24,0.72,0.15,0.11,0.1,0.29,1,0.27,175096,3645,70786,1108
France,Orange (Iteneris),208/01,W9,-79.48,-6.78,0.19,0.16,0.39,0.79,0.44,0.83,0.44,0.11,771419,1735,89480,1796
France,Free Mobile,208/15,W9,-135.43,-11.99,0.16,0.02,0.56,0.35,0.76,0.67,0.07,0.53,440550,5335,91562,1273
France,Bouygues,208/20,W9,-155.31,-11.47,0.29,0.77,0.12,0.55,0.34,0.6,0.14,0.25,513865,5599,52179,8628
Germany,Telekom Deutschland (T-Mobile),262/01,W9,-122.05,-14.3,0.88,0.74,0.81,0.53,0.35,0.48,0.95,0.89,346483,1663,67123,9572
Germany,Vodafone(GERMANY),262/02,W9,-104.12,-12.6,0.3,0.97,0.02,0.35,0.76,0.05,0.36,0.55,104365,5970,86343,1354
Germany,Telefonica O2/viag,262/07,W9,-112.33,-8.13,0.9,0.04,0.58,0.75,0.8,0.94,0.06,0.73,387997,2934,53873,8213
Germany,E-Plus,262/03,W9,-115.96,-9.72,0.63,0.31,0.11,0.99,0.49,0.93,0.56,0.33,864350,5446,38114,9577
Hongkong,China Mobile - Peoples,454/12,W9,-114.54,-6.67,0.65,0.79,0.84,0.56,0.92,0.08,0.01,0.73,451510,4678,60749,4094
Hongkong,H3G(HONG KONG),454/03,W9,-77.7,-13.39,0.69,0.04,0.93,0.23,0.71,0.76,0.97,0.4,686102,6178,96962,7589
Hongkong,PCCW-HKT Telephone Limited,454/19,W9,-102.79,-8.36,0.99,0.56,0.36,0.19,0.41,0.55,0.82,0.06,457691,1509,80475,4193
Hongkong,SmarTone - Vodafone,454/06,W9,-84.97,-8.96,0.65,0.76,0.88,0.35,0.01,0.5,0.91,0.5,839730,5480,75379,3792
Hongkong,CSL (C&W),454/00,W9,-136.58,-12.72,0.88,0.45,0.33,0.44,0.74,0.71,0.02,0.91,172084,2275,49370,9861
Hungary,Vodafone(HUNGARY),216/70,W9,-61.21,-9.48,0.44,0.52,0.77,0.95,0.08,0.58,0.2,0.49,667533,6297,21711,7314
Hungary,T-Mobile(HUNGARY),216/30,W9,-159.85,-8.54,0.95,0.36,0.32,0.07,0.12,0.89,0.97,0.41,119585,4935,53899,6311
India,Airtel (Karnataka),404/45,W9,-131.26,-8.64,0.45,0.24,0.03,0.94,0.06,0.19,0.92,0.71,605258,8133,25707,7093
India,Airtel (Delhi),404/10,W9,-124.81,-13.89,0.51,0.78,0.87,0.43,0.4,0.62,0.4,0.54,684644,6219,91634,8700
Indonesia,Indosat (IDNSL),510/01,W9,-144.64,-6.34,0.72,0.89,0.95,0.05,0.14,0.8,0.54,0.51,899666,5015,90033,3348
Ireland,Vodafone(IRELAND),272/01,W9,-66.22,-6.43,0.46,0.24,0.99,0.25,0.4,0.74,0.37,0.37,350569,1694,31626,3404
Ireland,Meteor,272/03,W9,-145.81,-12.04,0.65,0.22,0.25,0.85,0.4,0.4,0.96,0.27,336822,1136,88150,9408
Ireland,Telefonica O2 (East DigiFone),272/02,W9,-128.98,-10.46,0.87,0.7,0.79,0.49,0.96,0.01,0.59,0.71,942129,5742,83466,7773
Italy,Vodafone Omnitel,222/10,W9,-152.1,-14.17,0.28,0.68,0.43,0.22,0.48,0.76,0.82,0.92,993314,2999,52361,8107
Italy,Wind,222/88,W9,-118.16,-9,0.08,0.21,0.84,0.95,0.43,0.14,0.8,0.74,568925,1441,64260,6721
Japan,KDDI Corporation,440/51,W9,-99,-12.36,0.86,0.73,0.34,0.53,0.43,0.41,0.88,0.78,828979,7244,19691,9010
Japan,Soft Bank (Vodafone KK),440/20,W9,-83.74,-13.4,0.71,0.79,0.28,0.29,0.97,0.39,0.6,0.43,552058,5975,18106,6397
Japan,KDDI,440/50,W9,-131.15,-13.94,0.6,0.66,0.82,0.97,0.32,0.39,0.62,0.29,647937,5421,48800,2751
Japan,NTT Docomo,440/10,W9,-127.7,-9.33,0.88,0.78,0.98,0.95,0.41,0.41,0.46,0.22,569466,4752,15991,4430
Jordan,Zain (Fastlink),416/01,W9,-138.17,-11.15,0.88,0.74,0.24,0.54,0.94,0.34,0.4,0.8,430113,9936,92590,4545
Jordan,Orange (MobileCom),416/77,W9,-65.81,-11.45,0.02,0.73,0.47,0.17,1,0.91,0.55,0.42,115833,4448,34803,4466
Kazakhstan ,K-Cell,401/02,W9,-119.93,-7.66,0.45,0.02,0.32,0.43,0.77,0.92,0.99,0.69,237022,5149,66666,1441
Kuwait,MTC/Zain,419/02,W9,-81.26,-6.53,0.41,0.95,0.54,0.83,0.62,0.42,0.18,0.46,745043,9000,95147,9073
Kuwait,Viva (KTC),419/04,W9,-103.04,-8.93,0.62,0.84,0.06,0.36,0.75,0.79,0.19,0.47,552486,1416,25112,7179
Lebanon,MTC (MIC 2 Touch),415/03,W9,-102.49,-9.69,0.29,0.76,0.03,0.48,0.95,0.91,0.25,0.52,281533,7868,11704,5483
Luxembourg,Tango,270/77,W9,-113.19,-14.85,0.76,0.6,0.61,0.36,0.91,0.46,0.02,0.97,327817,1236,79428,8825
Macao,CTM,455/01,W9,-71.56,-11.8,0.22,0.35,0.7,0.87,0.48,0.5,0.96,0.09,886605,4547,96031,1446
Macao,Hutchison 3,455/03,W9,-155.6,-13.4,0.17,0.43,0.3,0.08,0.95,0.54,0.15,0.83,381811,8411,62821,8524
Malaysia,Celcom,502/19,W9,-144.74,-7.38,0.26,0.51,0.14,1,0.87,0.85,0.14,0.34,623422,6494,63136,4234
Malaysia,DiGi  Telecommunication,502/16,W9,-65.43,-11.65,0.78,0.32,0.68,0.83,0.21,0.09,0.61,0.79,770584,7156,17194,4916
Malaysia,Maxis,502/12,W9,-129.13,-11,0.72,0.74,0.72,0.18,0.23,0.24,0.86,0.47,986136,1952,11453,3460
Malta,Vodafone(MALTA),278/01,W9,-98.87,-8.11,0.59,0.24,0.02,0.26,0.25,0.41,0.48,0.37,540780,6860,46858,2876
Mauritius,Cellplus Orange,617/01,W9,-112.35,-9.88,0.6,0.75,0.4,0.17,0.69,0.8,0.84,0.84,234377,8083,99010,4886
Netherlands,Vodafone(NETHERLANDS),204/04,W9,-101.46,-14.82,0.94,0.82,0.4,0.51,0.63,0.44,0.47,0.79,398742,3292,61416,9855
Netherlands,T-mobile (ex Ben),204/16,W9,-73.96,-13.13,0.83,0.04,0.92,0.11,0.94,0.47,0.58,0.92,158570,4298,27315,2496
New Zealand,Vodafone(NEW ZEALAND),530/01,W9,-147.77,-10.44,0.52,0.74,0.59,0.8,0.37,0.2,0.19,0.12,574751,4362,25456,5853
Nigeria,EMTS,621/60,W9,-77.88,-9.96,0.07,0.62,0.83,0.33,0.43,0.22,0.88,0.04,931621,7210,41308,4263
Norway,Telenor Mobile,242/01,W9,-145.75,-8.95,0.02,0.14,0.43,0.68,0.64,0.94,0.13,0.42,493562,9699,18605,9789
Norway,NetCom TeliaSonera,242/02,W9,-67.07,-13.2,0.85,0.6,0.94,0.42,0.11,0.96,0.65,0.14,346166,3231,35925,4292
Oman,Nawras,422/03,W9,-60.99,-10.07,0.08,0.03,0.52,0.77,0.89,0.1,0.71,0.78,153679,6126,81375,4934
Oman,Oman Mobile - GTO (Omantel),422/02,W9,-97.5,-6.72,0.46,0.3,0.42,0.91,0.98,0.59,0.81,0.95,754580,3343,21060,7918
Philippines,Smart,515/03,W9,-115.06,-10.61,0.37,0.36,0.52,0.49,0.49,0.68,0.49,0.03,664726,1354,68856,6699
Poland,"T-Mobile (ERA,PTC)",260/02,W9,-155.28,-13.81,0.6,0.82,0.28,0.35,0.27,0.19,0.72,0.67,239583,7971,47535,8359
Poland,Orange/Centertel,260/03,W9,-144.09,-13.15,0.31,0.27,0.02,0.76,0.72,0.73,0.27,0.88,430956,3914,14710,6895
Portugal,Vodafone(PORTUGAL),268/01,W9,-99.03,-10.38,0.96,0.84,0.31,0.45,0.74,0.94,0.72,0.08,514298,5798,34528,8887
Portugal,Optimus (Sonecom),268/03,W9,-142.1,-11.49,0.58,0.9,0.23,0.1,0.45,0.45,0.62,0.18,982266,8190,16702,1888
Qatar,Vodafone(QATAR),427/02,W9,-61.12,-9.65,0.96,0.21,0.75,0.63,0.24,0.24,0.22,0.6,256292,6846,98087,9901
Qatar,Q-Tel,427/01,W9,-107.87,-14.52,0.58,0.76,0.06,0.41,0.4,0.1,0.49,0.37,324000,6674,19197,5999
Romania,Orange (Mobilrom),226/10,W9,-62.44,-14.04,0.28,0.99,0.96,0.15,0.17,0.34,0.52,0.8,636593,9707,27227,5999
Russia,MTS(RUSSIA),250/01,W9,-146.48,-6.91,0.13,0.96,0.28,0.39,0.1,0.11,0.36,0.42,712841,1981,94548,5197
Russia,MegaFon,250/02,W9,-159.25,-13.59,0.01,0.33,0.44,0.48,0.77,0.3,0.86,0.38,585382,9324,51112,8384
Russia,Vimpelcom Beeline (KB Impuls),250/99,W9,-101.59,-12.41,0.16,0.96,0.32,0.29,0.73,0.08,0.92,0.72,567538,4541,88691,7418
Saudi Arabia,Saudi Telecom Company,420/01,W9,-85.76,-12.95,0.01,0.99,0.59,0.27,0.46,0.98,0.89,0.07,834437,8256,56268,5515
Saudi Arabia,Mobily,420/03,W9,-109.94,-6.89,0.19,0.23,1,0.29,0.18,0.7,0.18,0.33,929904,3663,44267,5455
SERBIA,Telenor Serbia,220/01,W9,-124.61,-12.47,0.41,0.26,0.2,0.02,0.96,0.65,0.13,0.53,163162,7042,11230,8471
Singapore,Mobile One,525/03,W9,-113.13,-7.83,0.78,0.32,0.11,0.87,0.41,0.54,0.66,0.38,287074,9279,65249,2428
Singapore,Starhub,525/05,W9,-63.59,-6.76,0.03,0.95,0.67,1,0.28,0.64,0.59,0.41,391418,6463,78665,4291
Singapore,SingTel,525/01,W9,-115.01,-9.44,0.92,0.41,0.76,0.81,0.14,0.93,0.33,0.12,113585,5552,41886,8526
Slovak Republic,Orange (ex Globtel),231/01,W9,-111.94,-8.86,0.18,0.61,0.09,0.44,0.36,0.88,0.8,0.39,440652,5679,61168,7784
Slovenia,SI Mobil,293/40,W9,-61.31,-13.26,0.47,0.78,0.87,0.02,0.59,0.02,0.79,0.77,361906,3810,53637,6952
South Africa,Vodacom(SOUTH AFRICA),655/01,W9,-143.35,-9.31,0.7,0.83,0.9,0.25,0.55,0.81,0.88,0.83,199717,2839,14534,3402
South Africa,MTN(SOUTH AFRICA),655/10,W9,-96.4,-10.86,0.2,0.11,0.27,0.93,0.7,0.84,0.1,0.25,610352,3104,65455,3246
South Korea,KT (KTF),450/08,W9,-111.96,-9.58,0.29,0.15,0.73,0.64,0.12,0.7,0.05,0.14,276646,1320,99510,5670
South Korea,SK Telecom,450/05,W9,-64.16,-9.15,0.94,0.48,0.56,0.06,0.95,0.57,0.19,0.03,401347,1517,86230,1521
Spain,Orange/Amena,214/03,W9,-68.28,-8.52,0.56,0.87,0.06,0.2,0.94,0.81,0.53,0.64,329867,4399,66755,9573
Spain,Vodafone (AirTel),214/01,W9,-137.94,-8.04,0.63,0.32,0.86,0.22,0.69,0.83,0.84,0.79,529029,8026,77003,6520
Spain,Xfera Yoigo,214/04,W9,-69.65,-12.8,0.36,0.86,0.56,0.09,0.19,0.65,0.51,0.15,742644,7672,75237,3035
